tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
14784,note_on,0,0,1,,,,,,,,,0,,65,100
14784,note_on,0,0,2,,,,,,,,,1,,50,100
14808,note_on,0,0,1,,,,,,,,,0,,72,100
14808,note_on,24,0,1,,,,,,,,,0,,65,0
14832,note_on,0,0,2,,,,,,,,,1,,48,100
14832,note_on,48,0,2,,,,,,,,,1,,50,0
14832,note_on,24,0,1,,,,,,,,,0,,72,0
14832,note_on,0,0,1,,,,,,,,,0,,63,100
14856,note_on,0,0,1,,,,,,,,,0,,72,100
14856,note_on,24,0,1,,,,,,,,,0,,63,0
14880,note_on,0,0,2,,,,,,,,,1,,50,100
14880,note_on,48,0,2,,,,,,,,,1,,48,0
14880,note_on,0,0,1,,,,,,,,,0,,65,100
14880,note_on,24,0,1,,,,,,,,,0,,72,0
14904,note_on,24,0,1,,,,,,,,,0,,65,0
14904,note_on,0,0,1,,,,,,,,,0,,72,100
14928,note_on,0,0,2,,,,,,,,,1,,51,100
14928,note_on,48,0,2,,,,,,,,,1,,50,0
14928,note_on,24,0,1,,,,,,,,,0,,72,0
14928,note_on,0,0,1,,,,,,,,,0,,67,100
14952,note_on,24,0,1,,,,,,,,,0,,67,0
14952,note_on,0,0,1,,,,,,,,,0,,72,100
14976,note_on,0,0,1,,,,,,,,,0,,68,100
14976,note_on,24,0,1,,,,,,,,,0,,72,0
14976,note_on,48,0,2,,,,,,,,,1,,51,0
14976,note_on,0,0,2,,,,,,,,,1,,53,100
15000,note_on,0,0,1,,,,,,,,,0,,72,100
15000,note_on,24,0,1,,,,,,,,,0,,68,0
15024,note_on,0,0,1,,,,,,,,,0,,65,100
15024,note_on,24,0,1,,,,,,,,,0,,72,0
15024,note_on,0,0,2,,,,,,,,,1,,56,100
15024,note_on,48,0,2,,,,,,,,,1,,53,0
15048,note_on,24,0,1,,,,,,,,,0,,65,0
15048,note_on,0,0,1,,,,,,,,,0,,74,100
15072,note_on,48,0,2,,,,,,,,,1,,56,0
15072,note_on,0,0,2,,,,,,,,,1,,53,100
15072,note_on,24,0,1,,,,,,,,,0,,74,0
15072,note_on,0,0,1,,,,,,,,,0,,72,100
15096,note_on,24,0,1,,,,,,,,,0,,72,0
15096,note_on,0,0,1,,,,,,,,,0,,74,100
15120,note_on,0,0,2,,,,,,,,,1,,55,100
15120,note_on,24,0,1,,,,,,,,,0,,74,0
15120,note_on,0,0,1,,,,,,,,,0,,71,100
15120,note_on,48,0,2,,,,,,,,,1,,53,0
15144,note_on,24,0,1,,,,,,,,,0,,71,0
15144,note_on,0,0,1,,,,,,,,,0,,80,100
15168,note_on,24,0,1,,,,,,,,,0,,80,0
15168,note_on,0,0,1,,,,,,,,,0,,79,100
15168,note_on,0,0,2,,,,,,,,,1,,59,100
15168,note_on,48,0,2,,,,,,,,,1,,55,0
15192,note_on,24,0,1,,,,,,,,,0,,79,0
15192,note_on,0,0,1,,,,,,,,,0,,77,100
15216,note_on,24,0,1,,,,,,,,,0,,77,0
15216,note_on,0,0,1,,,,,,,,,0,,75,100
15216,note_on,0,0,2,,,,,,,,,1,,60,100
15216,note_on,48,0,2,,,,,,,,,1,,59,0
15240,note_on,24,0,1,,,,,,,,,0,,75,0
15240,note_on,0,0,1,,,,,,,,,0,,74,100
15264,note_on,48,0,2,,,,,,,,,1,,60,0
15264,note_on,0,0,2,,,,,,,,,1,,53,100
15264,note_on,24,0,1,,,,,,,,,0,,74,0
15264,note_on,0,0,1,,,,,,,,,0,,72,100
15288,note_on,24,0,1,,,,,,,,,0,,72,0
15288,note_on,0,0,1,,,,,,,,,0,,74,100
15312,note_on,0,0,1,,,,,,,,,0,,67,100
15312,note_on,0,0,2,,,,,,,,,1,,55,100
15312,note_on,48,0,2,,,,,,,,,1,,53,0
15312,note_on,24,0,1,,,,,,,,,0,,74,0
15360,note_on,0,0,2,,,,,,,,,1,,43,100
