tick,type,time,control,value,channel,meta,track,program,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,data,tempo,note,velocity
5888,note_off,128,,,0,0,0,,,,,,,,78,64
5888,note_off,0,,,2,0,0,,,,,,,,55,64
5952,note_on,64,,,2,0,0,,,,,,,,55,75
6080,note_off,128,,,2,0,0,,,,,,,,55,64
6144,note_on,64,,,0,0,0,,,,,,,,76,75
6144,note_on,0,,,2,0,0,,,,,,,,49,75
6272,note_off,128,,,2,0,0,,,,,,,,49,64
6336,note_on,64,,,2,0,0,,,,,,,,49,75
6464,note_off,128,,,2,0,0,,,,,,,,49,64
6528,note_on,64,,,2,0,0,,,,,,,,49,75
6656,note_off,128,,,0,0,0,,,,,,,,83,64
6656,note_off,0,,,2,0,0,,,,,,,,49,64
6720,note_on,64,,,2,0,0,,,,,,,,49,75
6848,note_off,128,,,2,0,0,,,,,,,,49,64
6908,note_off,60,,,1,0,0,,,,,,,,71,64
6912,note_on,4,,,0,0,0,,,,,,,,81,75
6912,note_on,0,,,1,0,0,,,,,,,,69,75
6912,note_on,0,,,2,0,0,,,,,,,,54,75
7040,note_off,128,,,2,0,0,,,,,,,,54,64
7104,note_on,64,,,2,0,0,,,,,,,,54,75
7172,note_off,68,,,0,0,0,,,,,,,,76,64
7232,note_off,60,,,2,0,0,,,,,,,,54,64
7296,note_on,64,,,2,0,0,,,,,,,,54,75
7424,note_off,128,,,2,0,0,,,,,,,,54,64
7488,note_on,64,,,2,0,0,,,,,,,,54,75
7616,note_off,128,,,2,0,0,,,,,,,,54,64
7680,note_on,64,,,0,0,0,,,,,,,,74,75
7680,note_on,0,,,2,0,0,,,,,,,,47,75
7808,note_off,128,,,2,0,0,,,,,,,,47,64
7872,note_on,64,,,2,0,0,,,,,,,,47,75
8000,note_off,128,,,2,0,0,,,,,,,,47,64
8064,note_on,64,,,2,0,0,,,,,,,,47,75
8192,note_off,128,,,0,0,0,,,,,,,,81,64
8192,note_off,0,,,1,0,0,,,,,,,,69,64
8192,note_off,0,,,2,0,0,,,,,,,,47,64
8256,note_on,64,,,2,0,0,,,,,,,,47,75
8384,note_off,128,,,2,0,0,,,,,,,,47,64
8448,note_on,64,,,0,0,0,,,,,,,,80,75
8448,note_on,0,,,1,0,0,,,,,,,,68,75
8448,note_on,0,,,2,0,0,,,,,,,,52,75
8576,note_off,128,,,2,0,0,,,,,,,,52,64
8640,note_on,64,,,2,0,0,,,,,,,,52,75
8708,note_off,68,,,0,0,0,,,,,,,,74,64
8768,note_off,60,,,2,0,0,,,,,,,,52,64
8832,note_on,64,,,2,0,0,,,,,,,,52,75
8960,note_off,128,,,0,0,0,,,,,,,,80,64
8960,note_off,0,,,1,0,0,,,,,,,,68,64
8960,note_off,0,,,2,0,0,,,,,,,,52,64
9024,note_on,64,,,2,0,0,,,,,,,,52,75
9152,note_off,128,,,2,0,0,,,,,,,,52,64
9216,note_on,64,,,0,0,0,,,,,,,,76,75
9216,note_on,0,,,0,0,0,,,,,,,,76,75
9216,note_on,0,,,1,0,0,,,,,,,,69,75
9216,note_on,0,,,2,0,0,,,,,,,,45,75
9344,note_off,128,,,2,0,0,,,,,,,,45,64
9408,note_on,64,,,2,0,0,,,,,,,,45,75
9536,note_off,128,,,2,0,0,,,,,,,,45,64
9600,note_on,64,,,2,0,0,,,,,,,,45,75
9728,note_off,128,,,1,0,0,,,,,,,,69,64
9728,note_off,0,,,2,0,0,,,,,,,,45,64
9792,note_on,64,,,2,0,0,,,,,,,,45,75
9920,note_off,128,,,2,0,0,,,,,,,,45,64
9984,note_on,64,,,1,0,0,,,,,,,,73,75
9984,note_on,0,,,2,0,0,,,,,,,,45,75
10112,note_off,128,,,2,0,0,,,,,,,,45,64
10176,note_on,64,,,2,0,0,,,,,,,,45,75
10304,note_off,128,,,2,0,0,,,,,,,,45,64
10368,note_on,64,,,2,0,0,,,,,,,,45,75
10496,note_off,128,,,1,0,0,,,,,,,,73,64
10496,note_off,0,,,2,0,0,,,,,,,,45,64
10560,note_on,64,,,2,0,0,,,,,,,,45,75
10688,note_off,128,,,2,0,0,,,,,,,,45,64
10752,note_on,64,,,1,0,0,,,,,,,,69,75
10752,note_on,0,,,2,0,0,,,,,,,,45,75
10880,note_off,128,,,2,0,0,,,,,,,,45,64
10944,note_on,64,,,2,0,0,,,,,,,,45,75
11008,note_off,64,,,1,0,0,,,,,,,,69,64
11072,note_off,64,,,2,0,0,,,,,,,,45,64
