tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,data,program,channel,control,value,note,velocity
4800,note_on,,,,,10,0,0,,,,0,,,76,88
4800,note_on,,,,,0,0,0,,,,0,,,67,88
4800,note_on,,,,,0,0,0,,,,0,,,48,88
5020,note_on,,,,,220,0,0,,,,0,,,48,0
5020,note_on,,,,,0,0,0,,,,0,,,67,0
5020,note_on,,,,,0,0,0,,,,0,,,76,0
5040,note_on,,,,,20,0,0,,,,0,,,79,88
5040,note_on,,,,,0,0,0,,,,0,,,72,88
5044,note_on,,,,,4,0,0,,,,0,,,60,88
5260,note_on,,,,,216,0,0,,,,0,,,72,0
5260,note_on,,,,,0,0,0,,,,0,,,79,0
5264,note_on,,,,,4,0,0,,,,0,,,60,0
5280,note_on,,,,,16,0,0,,,,0,,,84,88
5280,note_on,,,,,0,0,0,,,,0,,,76,88
5280,note_on,,,,,0,0,0,,,,0,,,48,88
5500,note_on,,,,,220,0,0,,,,0,,,48,0
5500,note_on,,,,,0,0,0,,,,0,,,76,0
5500,note_on,,,,,0,0,0,,,,0,,,84,0
5520,note_on,,,,,20,0,0,,,,0,,,79,88
5520,note_on,,,,,0,0,0,,,,0,,,72,88
5524,note_on,,,,,4,0,0,,,,0,,,60,88
5740,note_on,,,,,216,0,0,,,,0,,,72,0
5740,note_on,,,,,0,0,0,,,,0,,,79,0
5744,note_on,,,,,4,0,0,,,,0,,,60,0
5760,note_on,,,,,16,0,0,,,,0,,,74,88
5760,note_on,,,,,0,0,0,,,,0,,,71,88
5760,note_on,,,,,0,0,0,,,,0,,,43,88
5980,note_on,,,,,220,0,0,,,,0,,,43,0
5980,note_on,,,,,0,0,0,,,,0,,,71,0
5980,note_on,,,,,0,0,0,,,,0,,,74,0
6000,note_on,,,,,20,0,0,,,,0,,,77,88
6000,note_on,,,,,0,0,0,,,,0,,,74,88
6004,note_on,,,,,4,0,0,,,,0,,,55,88
6110,note_on,,,,,106,0,0,,,,0,,,74,0
6110,note_on,,,,,0,0,0,,,,0,,,77,0
6120,note_on,,,,,10,0,0,,,,0,,,76,88
6120,note_on,,,,,0,0,0,,,,0,,,72,88
6224,note_on,,,,,104,0,0,,,,0,,,55,0
6230,note_on,,,,,6,0,0,,,,0,,,72,0
6230,note_on,,,,,0,0,0,,,,0,,,76,0
6240,note_on,,,,,10,0,0,,,,0,,,74,88
6240,note_on,,,,,0,0,0,,,,0,,,71,88
6240,note_on,,,,,0,0,0,,,,0,,,43,88
6460,note_on,,,,,220,0,0,,,,0,,,43,0
6460,note_on,,,,,0,0,0,,,,0,,,71,0
6460,note_on,,,,,0,0,0,,,,0,,,74,0
6480,note_on,,,,,20,0,0,,,,0,,,81,88
6480,note_on,,,,,0,0,0,,,,0,,,77,88
6484,note_on,,,,,4,0,0,,,,0,,,55,88
6590,note_on,,,,,106,0,0,,,,0,,,77,0
6590,note_on,,,,,0,0,0,,,,0,,,81,0
6600,note_on,,,,,10,0,0,,,,0,,,79,88
6600,note_on,,,,,0,0,0,,,,0,,,76,88
6704,note_on,,,,,104,0,0,,,,0,,,55,0
6710,note_on,,,,,6,0,0,,,,0,,,76,0
6710,note_on,,,,,0,0,0,,,,0,,,79,0
6720,note_on,,,,,10,0,0,,,,0,,,77,88
6720,note_on,,,,,0,0,0,,,,0,,,74,88
6720,note_on,,,,,0,0,0,,,,0,,,43,88
6940,note_on,,,,,220,0,0,,,,0,,,43,0
6940,note_on,,,,,0,0,0,,,,0,,,74,0
6940,note_on,,,,,0,0,0,,,,0,,,77,0
6960,note_on,,,,,20,0,0,,,,0,,,83,88
6960,note_on,,,,,0,0,0,,,,0,,,79,88
6964,note_on,,,,,4,0,0,,,,0,,,55,88
7180,note_on,,,,,216,0,0,,,,0,,,79,0
7180,note_on,,,,,0,0,0,,,,0,,,83,0
7184,note_on,,,,,4,0,0,,,,0,,,55,0
7200,note_on,,,,,16,0,0,,,,0,,,84,88
7200,note_on,,,,,0,0,0,,,,0,,,81,88
7200,note_on,,,,,0,0,0,,,,0,,,43,88
7420,note_on,,,,,220,0,0,,,,0,,,43,0
7420,note_on,,,,,0,0,0,,,,0,,,81,0
7420,note_on,,,,,0,0,0,,,,0,,,84,0
7440,note_on,,,,,20,0,0,,,,0,,,86,88
7440,note_on,,,,,0,0,0,,,,0,,,83,88
7444,note_on,,,,,4,0,0,,,,0,,,55,88
7660,note_on,,,,,216,0,0,,,,0,,,83,0
7660,note_on,,,,,0,0,0,,,,0,,,86,0
7664,note_on,,,,,4,0,0,,,,0,,,55,0
7680,note_on,,,,,16,0,0,,,,0,,,74,88
7680,note_on,,,,,0,0,0,,,,0,,,71,88
7680,note_on,,,,,0,0,0,,,,0,,,43,88
7900,note_on,,,,,220,0,0,,,,0,,,43,0
7900,note_on,,,,,0,0,0,,,,0,,,71,0
7900,note_on,,,,,0,0,0,,,,0,,,74,0
7920,note_on,,,,,20,0,0,,,,0,,,77,88
7920,note_on,,,,,0,0,0,,,,0,,,74,88
7924,note_on,,,,,4,0,0,,,,0,,,55,88
8030,note_on,,,,,106,0,0,,,,0,,,74,0
8030,note_on,,,,,0,0,0,,,,0,,,77,0
8040,note_on,,,,,10,0,0,,,,0,,,76,88
8040,note_on,,,,,0,0,0,,,,0,,,72,88
8144,note_on,,,,,104,0,0,,,,0,,,55,0
8150,note_on,,,,,6,0,0,,,,0,,,72,0
8150,note_on,,,,,0,0,0,,,,0,,,76,0
8160,note_on,,,,,10,0,0,,,,0,,,74,88
8160,note_on,,,,,0,0,0,,,,0,,,71,88
8160,note_on,,,,,0,0,0,,,,0,,,43,88
8380,note_on,,,,,220,0,0,,,,0,,,43,0
8380,note_on,,,,,0,0,0,,,,0,,,71,0
8380,note_on,,,,,0,0,0,,,,0,,,74,0
8400,note_on,,,,,20,0,0,,,,0,,,81,88
8400,note_on,,,,,0,0,0,,,,0,,,77,88
8404,note_on,,,,,4,0,0,,,,0,,,55,88
8510,note_on,,,,,106,0,0,,,,0,,,77,0
8510,note_on,,,,,0,0,0,,,,0,,,81,0
8520,note_on,,,,,10,0,0,,,,0,,,79,88
8520,note_on,,,,,0,0,0,,,,0,,,76,88
8624,note_on,,,,,104,0,0,,,,0,,,55,0
8630,note_on,,,,,6,0,0,,,,0,,,76,0
8630,note_on,,,,,0,0,0,,,,0,,,79,0
8640,note_on,,,,,10,0,0,,,,0,,,77,88
8640,note_on,,,,,0,0,0,,,,0,,,74,88
8640,note_on,,,,,0,0,0,,,,0,,,43,88
8860,note_on,,,,,220,0,0,,,,0,,,43,0
8860,note_on,,,,,0,0,0,,,,0,,,74,0
8860,note_on,,,,,0,0,0,,,,0,,,77,0
8880,note_on,,,,,20,0,0,,,,0,,,83,88
8880,note_on,,,,,0,0,0,,,,0,,,79,88
8884,note_on,,,,,4,0,0,,,,0,,,55,88
9100,note_on,,,,,216,0,0,,,,0,,,79,0
9100,note_on,,,,,0,0,0,,,,0,,,83,0
9104,note_on,,,,,4,0,0,,,,0,,,55,0
9120,note_on,,,,,16,0,0,,,,0,,,84,88
9120,note_on,,,,,0,0,0,,,,0,,,81,88
9120,note_on,,,,,0,0,0,,,,0,,,43,88
9340,note_on,,,,,220,0,0,,,,0,,,43,0
9340,note_on,,,,,0,0,0,,,,0,,,81,0
9340,note_on,,,,,0,0,0,,,,0,,,84,0
9360,note_on,,,,,20,0,0,,,,0,,,86,88
9360,note_on,,,,,0,0,0,,,,0,,,83,88
9364,note_on,,,,,4,0,0,,,,0,,,55,88
9580,note_on,,,,,216,0,0,,,,0,,,83,0
9580,note_on,,,,,0,0,0,,,,0,,,86,0
9584,note_on,,,,,4,0,0,,,,0,,,55,0
9600,note_on,,,,,16,0,0,,,,0,,,76,88
9600,note_on,,,,,0,0,0,,,,0,,,72,88
9600,note_on,,,,,0,0,0,,,,0,,,48,88
9820,note_on,,,,,220,0,0,,,,0,,,48,0
9820,note_on,,,,,0,0,0,,,,0,,,72,0
9820,note_on,,,,,0,0,0,,,,0,,,76,0
9840,note_on,,,,,20,0,0,,,,0,,,79,88
9840,note_on,,,,,0,0,0,,,,0,,,74,88
9844,note_on,,,,,4,0,0,,,,0,,,60,88
9950,note_on,,,,,106,0,0,,,,0,,,74,0
