tick,type,time,meta,track,program,channel,pitch,tempo,note,velocity
0,copyright,0,1,0,,,,,,
0,program_change,0,0,0,6,0,,,,
0,pitchwheel,0,0,0,,0,0,,,
0,program_change,0,0,0,6,1,,,,
0,pitchwheel,0,0,0,,1,-590,,,
0,program_change,0,0,0,6,2,,,,
0,pitchwheel,0,0,0,,2,-272,,,
0,program_change,0,0,0,6,3,,,,
0,pitchwheel,0,0,0,,3,-353,,,
0,program_change,0,0,0,6,4,,,,
0,pitchwheel,0,0,0,,4,-560,,,
0,program_change,0,0,0,6,5,,,,
0,pitchwheel,0,0,0,,5,-80,,,
0,program_change,0,0,0,6,6,,,,
0,pitchwheel,0,0,0,,6,-625,,,
0,program_change,0,0,0,6,7,,,,
0,pitchwheel,0,0,0,,7,-130,,,
0,program_change,0,0,0,6,8,,,,
0,pitchwheel,0,0,0,,8,-512,,,
0,program_change,0,0,0,6,10,,,,
0,pitchwheel,0,0,0,,10,-464,,,
0,program_change,0,0,0,6,11,,,,
0,pitchwheel,0,0,0,,11,-208,,,
0,program_change,0,0,0,6,12,,,,
0,pitchwheel,0,0,0,,12,-553,,,
0,set_tempo,0,1,0,,,,500000,,
82,note_on,82,0,0,,5,,,65,127
192,note_on,110,0,0,,0,,,84,127
301,note_off,109,0,0,,0,,,84,127
302,note_on,1,0,0,,11,,,82,127
411,note_off,109,0,0,,11,,,82,127
411,note_off,0,0,0,,5,,,65,127
412,note_on,1,0,0,,5,,,77,127
412,note_on,0,0,0,,10,,,81,127
521,note_off,109,0,0,,10,,,81,127
522,note_on,1,0,0,,7,,,79,127
631,note_off,109,0,0,,7,,,79,127
631,note_off,0,0,0,,5,,,77,127
632,note_on,1,0,0,,5,,,77,127
742,note_on,110,0,0,,10,,,81,127
797,note_on,55,0,0,,7,,,79,127
802,note_off,5,0,0,,10,,,81,127
852,note_on,50,0,0,,10,,,81,127
857,note_off,5,0,0,,7,,,79,127
907,note_on,50,0,0,,7,,,79,127
912,note_off,5,0,0,,10,,,81,127
962,note_on,50,0,0,,10,,,81,127
967,note_off,5,0,0,,7,,,79,127
1017,note_on,50,0,0,,7,,,79,127
1022,note_off,5,0,0,,10,,,81,127
1072,note_off,50,0,0,,5,,,77,127
1072,note_on,0,0,0,,4,,,76,127
1072,note_on,0,0,0,,10,,,81,127
1077,note_off,5,0,0,,7,,,79,127
1127,note_on,50,0,0,,7,,,79,127
1132,note_off,5,0,0,,10,,,81,127
1182,note_on,50,0,0,,10,,,81,127
1187,note_off,5,0,0,,7,,,79,127
1237,note_on,50,0,0,,7,,,79,127
1242,note_off,5,0,0,,10,,,81,127
1292,note_on,50,0,0,,5,,,77,127
1297,note_off,5,0,0,,7,,,79,127
1347,note_on,50,0,0,,7,,,79,127
1352,note_off,5,0,0,,5,,,77,127
1401,note_off,49,0,0,,4,,,76,127
1402,note_on,1,0,0,,5,,,77,127
1402,note_on,0,0,0,,10,,,81,127
1407,note_off,5,0,0,,7,,,79,127
1511,note_off,104,0,0,,10,,,81,127
1512,note_on,1,0,0,,0,,,84,127
1621,note_off,109,0,0,,0,,,84,127
1622,note_on,1,0,0,,11,,,82,127
1731,note_off,109,0,0,,11,,,82,127
1731,note_off,0,0,0,,5,,,77,127
1732,note_on,1,0,0,,10,,,69,127
1732,note_on,0,0,0,,10,,,81,127
1841,note_off,109,0,0,,10,,,81,127
1842,note_on,1,0,0,,7,,,79,127
1951,note_off,109,0,0,,7,,,79,127
1952,note_on,1,0,0,,5,,,77,127
2061,note_off,109,0,0,,5,,,77,127
2061,note_off,0,0,0,,10,,,69,127
2062,note_on,1,0,0,,11,,,70,127
2062,note_on,0,0,0,,10,,,81,127
2117,note_on,55,0,0,,7,,,79,127
2122,note_off,5,0,0,,10,,,81,127
2172,note_on,50,0,0,,10,,,81,127
2177,note_off,5,0,0,,7,,,79,127
2227,note_on,50,0,0,,7,,,79,127
2232,note_off,5,0,0,,10,,,81,127
2282,note_on,50,0,0,,10,,,81,127
2287,note_off,5,0,0,,7,,,79,127
2337,note_on,50,0,0,,7,,,79,127
2342,note_off,5,0,0,,10,,,81,127
2391,note_off,49,0,0,,11,,,70,127
2392,note_on,1,0,0,,0,,,72,127
2392,note_on,0,0,0,,10,,,81,127
2397,note_off,5,0,0,,7,,,79,127
2447,note_on,50,0,0,,7,,,79,127
2452,note_off,5,0,0,,10,,,81,127
2502,note_on,50,0,0,,10,,,81,127
2507,note_off,5,0,0,,7,,,79,127
2557,note_on,50,0,0,,7,,,79,127
2562,note_off,5,0,0,,10,,,81,127
2612,note_on,50,0,0,,5,,,77,127
2617,note_off,5,0,0,,7,,,79,127
2667,note_on,50,0,0,,4,,,76,127
2672,note_off,5,0,0,,5,,,77,127
2721,note_off,49,0,0,,0,,,72,127
2722,note_on,1,0,0,,5,,,53,127
2722,note_on,0,0,0,,5,,,77,127
2727,note_off,5,0,0,,4,,,76,127
2824,note_off,97,0,0,,5,,,77,127
2832,note_on,8,0,0,,0,,,72,127
2941,note_off,109,0,0,,0,,,72,127
2942,note_on,1,0,0,,11,,,70,127
3051,note_off,109,0,0,,11,,,70,127
3051,note_off,0,0,0,,5,,,53,127
3052,note_on,1,0,0,,5,,,65,127
3052,note_on,0,0,0,,10,,,69,127
3161,note_off,109,0,0,,10,,,69,127
3162,note_on,1,0,0,,7,,,67,127
3271,note_off,109,0,0,,7,,,67,127
3271,note_off,0,0,0,,5,,,65,127
3272,note_on,1,0,0,,5,,,65,127
3382,note_on,110,0,0,,10,,,69,127
3437,note_on,55,0,0,,7,,,67,127
3442,note_off,5,0,0,,10,,,69,127
3492,note_on,50,0,0,,10,,,69,127
3497,note_off,5,0,0,,7,,,67,127
3547,note_on,50,0,0,,7,,,67,127
3552,note_off,5,0,0,,10,,,69,127
3602,note_on,50,0,0,,10,,,69,127
3607,note_off,5,0,0,,7,,,67,127
3657,note_on,50,0,0,,7,,,67,127
3662,note_off,5,0,0,,10,,,69,127
3711,note_off,49,0,0,,5,,,65,127
3712,note_on,1,0,0,,4,,,64,127
3712,note_on,0,0,0,,10,,,69,127
3717,note_off,5,0,0,,7,,,67,127
3767,note_on,50,0,0,,7,,,67,127
3772,note_off,5,0,0,,10,,,69,127
3822,note_on,50,0,0,,10,,,69,127
3827,note_off,5,0,0,,7,,,67,127
3877,note_on,50,0,0,,7,,,67,127
3882,note_off,5,0,0,,10,,,69,127
3932,note_on,50,0,0,,5,,,65,127
3937,note_off,5,0,0,,7,,,67,127
3987,note_on,50,0,0,,7,,,67,127
3992,note_off,5,0,0,,5,,,65,127
4041,note_off,49,0,0,,4,,,64,127
4042,note_on,1,0,0,,5,,,65,127
4042,note_on,0,0,0,,10,,,69,127
4047,note_off,5,0,0,,7,,,67,127
4151,note_off,104,0,0,,10,,,69,127
4152,note_on,1,0,0,,0,,,72,127
4261,note_off,109,0,0,,0,,,72,127
