tick,type,time,meta,track,program,channel,pitch,tempo,note,velocity
0,copyright,0,1,0,,,,,,
0,program_change,0,0,0,6,0,,,,
0,pitchwheel,0,0,0,,0,0,,,
0,program_change,0,0,0,6,1,,,,
0,pitchwheel,0,0,0,,1,-590,,,
0,program_change,0,0,0,6,2,,,,
0,pitchwheel,0,0,0,,2,-272,,,
0,program_change,0,0,0,6,3,,,,
0,pitchwheel,0,0,0,,3,-353,,,
0,program_change,0,0,0,6,4,,,,
0,pitchwheel,0,0,0,,4,-560,,,
0,program_change,0,0,0,6,5,,,,
0,pitchwheel,0,0,0,,5,-80,,,
0,program_change,0,0,0,6,6,,,,
0,pitchwheel,0,0,0,,6,-625,,,
0,program_change,0,0,0,6,7,,,,
0,pitchwheel,0,0,0,,7,-130,,,
0,program_change,0,0,0,6,8,,,,
0,pitchwheel,0,0,0,,8,-512,,,
0,program_change,0,0,0,6,10,,,,
0,pitchwheel,0,0,0,,10,-464,,,
0,program_change,0,0,0,6,11,,,,
0,pitchwheel,0,0,0,,11,-208,,,
0,program_change,0,0,0,6,12,,,,
0,pitchwheel,0,0,0,,12,-553,,,
0,set_tempo,0,1,0,,,,500000,,
100,note_on,100,0,0,,4,,,76,127
101,note_on,1,0,0,,5,,,77,127
251,note_off,150,0,0,,5,,,77,127
298,note_off,47,0,0,,4,,,76,127
300,note_on,2,0,0,,2,,,74,127
398,note_off,98,0,0,,2,,,74,127
400,note_on,2,0,0,,4,,,76,127
498,note_off,98,0,0,,4,,,76,127
500,note_on,2,0,0,,0,,,72,127
672,note_off,172,0,0,,0,,,72,127
700,note_on,28,0,0,,7,,,79,127
701,note_on,1,0,0,,10,,,81,127
851,note_off,150,0,0,,10,,,81,127
898,note_off,47,0,0,,7,,,79,127
900,note_on,2,0,0,,5,,,77,127
998,note_off,98,0,0,,5,,,77,127
1000,note_on,2,0,0,,7,,,79,127
1098,note_off,98,0,0,,7,,,79,127
1100,note_on,2,0,0,,4,,,76,127
1277,note_off,177,0,0,,4,,,76,127
1300,note_on,23,0,0,,0,,,84,127
1498,note_off,198,0,0,,0,,,84,127
1500,note_on,2,0,0,,10,,,81,127
1698,note_off,198,0,0,,10,,,81,127
1700,note_on,2,0,0,,6,,,78,127
1883,note_off,183,0,0,,6,,,78,127
1901,note_on,18,0,0,,7,,,79,127
2099,note_off,198,0,0,,7,,,79,127
2101,note_on,2,0,0,,4,,,76,127
2299,note_off,198,0,0,,4,,,76,127
2301,note_on,2,0,0,,12,,,71,127
2494,note_off,193,0,0,,12,,,71,127
2501,note_on,7,0,0,,0,,,72,127
2699,note_off,198,0,0,,0,,,72,127
2701,note_on,2,0,0,,10,,,69,127
2899,note_off,198,0,0,,10,,,69,127
2901,note_on,2,0,0,,6,,,66,127
3089,note_off,188,0,0,,6,,,66,127
3102,note_on,13,0,0,,7,,,67,127
3102,note_on,0,0,0,,12,,,71,127
3103,note_on,1,0,0,,10,,,69,127
3203,note_off,100,0,0,,10,,,69,127
3300,note_off,97,0,0,,7,,,67,127
3302,note_on,2,0,0,,5,,,65,127
3400,note_off,98,0,0,,5,,,65,127
3402,note_on,2,0,0,,7,,,67,127
3500,note_off,98,0,0,,7,,,67,127
3500,note_off,0,0,0,,12,,,71,127
3502,note_on,2,0,0,,4,,,64,127
3502,note_on,0,0,0,,4,,,76,127
3700,note_off,198,0,0,,4,,,76,127
3700,note_off,0,0,0,,4,,,64,127
3702,note_on,2,0,0,,10,,,69,127
3702,note_on,0,0,0,,0,,,72,127
3900,note_off,198,0,0,,0,,,72,127
3900,note_off,0,0,0,,10,,,69,127
3902,note_on,2,0,0,,5,,,65,127
3902,note_on,0,0,0,,2,,,74,127
4100,note_off,198,0,0,,2,,,74,127
4100,note_off,0,0,0,,5,,,65,127
4102,note_on,2,0,0,,2,,,62,127
4102,note_on,0,0,0,,5,,,77,127
4300,note_off,198,0,0,,5,,,77,127
4300,note_off,0,0,0,,2,,,62,127
4302,note_on,2,0,0,,7,,,67,127
4302,note_on,0,0,0,,12,,,71,127
4500,note_off,198,0,0,,12,,,71,127
4500,note_off,0,0,0,,7,,,67,127
4502,note_on,2,0,0,,4,,,64,127
4502,note_on,0,0,0,,0,,,72,127
4700,note_off,198,0,0,,0,,,72,127
4700,note_off,0,0,0,,4,,,64,127
4702,note_on,2,0,0,,12,,,59,127
4702,note_on,0,0,0,,2,,,74,127
4900,note_off,198,0,0,,2,,,74,127
4900,note_off,0,0,0,,12,,,59,127
4902,note_on,2,0,0,,0,,,60,127
4902,note_on,0,0,0,,2,,,74,127
5100,note_off,198,0,0,,2,,,74,127
5100,note_off,0,0,0,,0,,,60,127
5102,note_on,2,0,0,,10,,,57,127
5102,note_on,0,0,0,,4,,,76,127
5300,note_off,198,0,0,,4,,,76,127
5300,note_off,0,0,0,,10,,,57,127
5302,note_on,2,0,0,,5,,,53,127
5302,note_on,0,0,0,,5,,,77,127
5500,note_off,198,0,0,,5,,,77,127
5500,note_off,0,0,0,,5,,,53,127
5502,note_on,2,0,0,,7,,,43,127
5502,note_on,0,0,0,,7,,,55,127
5502,note_on,0,0,0,,4,,,76,127
5732,note_off,230,0,0,,4,,,76,127
5734,note_on,2,0,0,,2,,,74,127
5792,note_on,58,0,0,,4,,,76,127
5832,note_off,40,0,0,,2,,,74,127
5851,note_on,19,0,0,,2,,,74,127
5891,note_off,40,0,0,,4,,,76,127
6039,note_off,148,0,0,,2,,,74,127
6102,note_off,63,0,0,,7,,,55,127
6102,note_off,0,0,0,,7,,,43,127
6104,note_on,2,0,0,,12,,,59,127
6104,note_on,0,0,0,,2,,,74,127
6304,note_on,200,0,0,,7,,,67,127
6500,note_off,196,0,0,,2,,,74,127
6504,note_on,4,0,0,,5,,,77,127
6700,note_off,196,0,0,,7,,,67,127
6702,note_off,2,0,0,,12,,,59,127
6704,note_on,2,0,0,,0,,,60,127
6902,note_off,198,0,0,,5,,,77,127
6904,note_on,2,0,0,,4,,,76,127
7002,note_off,98,0,0,,4,,,76,127
7004,note_on,2,0,0,,2,,,74,127
7102,note_off,98,0,0,,2,,,74,127
7104,note_on,2,0,0,,0,,,72,127
7302,note_off,198,0,0,,0,,,60,127
7304,note_on,2,0,0,,2,,,62,127
7458,note_off,154,0,0,,0,,,72,127
7504,note_on,46,0,0,,7,,,55,127
7504,note_on,0,0,0,,12,,,71,127
7700,note_off,196,0,0,,2,,,62,127
7702,note_off,2,0,0,,12,,,71,127
7702,note_off,0,0,0,,7,,,55,127
7704,note_on,2,0,0,,5,,,65,127
7704,note_on,0,0,0,,2,,,74,127
7902,note_off,198,0,0,,2,,,74,127
7904,note_on,2,0,0,,7,,,67,127
8102,note_off,198,0,0,,5,,,65,127
8104,note_on,2,0,0,,4,,,64,127
8202,note_off,98,0,0,,4,,,64,127
8204,note_on,2,0,0,,2,,,62,127
