tick,type,time,meta,track,program,channel,pitch,tempo,note,velocity
0,copyright,0,1,0,,,,,,
0,program_change,0,0,0,6,0,,,,
0,pitchwheel,0,0,0,,0,0,,,
0,program_change,0,0,0,6,1,,,,
0,pitchwheel,0,0,0,,1,-590,,,
0,program_change,0,0,0,6,2,,,,
0,pitchwheel,0,0,0,,2,-272,,,
0,program_change,0,0,0,6,3,,,,
0,pitchwheel,0,0,0,,3,-353,,,
0,program_change,0,0,0,6,4,,,,
0,pitchwheel,0,0,0,,4,-560,,,
0,program_change,0,0,0,6,5,,,,
0,pitchwheel,0,0,0,,5,-80,,,
0,program_change,0,0,0,6,6,,,,
0,pitchwheel,0,0,0,,6,-625,,,
0,program_change,0,0,0,6,7,,,,
0,pitchwheel,0,0,0,,7,-130,,,
0,program_change,0,0,0,6,8,,,,
0,pitchwheel,0,0,0,,8,-512,,,
0,program_change,0,0,0,6,10,,,,
0,pitchwheel,0,0,0,,10,-464,,,
0,program_change,0,0,0,6,11,,,,
0,pitchwheel,0,0,0,,11,-208,,,
0,program_change,0,0,0,6,12,,,,
0,pitchwheel,0,0,0,,12,-553,,,
0,set_tempo,0,1,0,,,,500000,,
230,note_on,230,0,0,,10,,,69,127
332,note_off,102,0,0,,10,,,69,127
345,note_on,13,0,0,,5,,,65,127
447,note_off,102,0,0,,5,,,65,127
460,note_on,13,0,0,,0,,,72,127
575,note_on,115,0,0,,10,,,69,127
592,note_off,17,0,0,,0,,,72,127
689,note_off,97,0,0,,10,,,69,127
690,note_on,1,0,0,,5,,,77,127
804,note_off,114,0,0,,5,,,77,127
805,note_on,1,0,0,,0,,,72,127
919,note_off,114,0,0,,0,,,72,127
920,note_on,1,0,0,,10,,,81,127
1035,note_on,115,0,0,,5,,,77,127
1052,note_off,17,0,0,,10,,,81,127
1149,note_off,97,0,0,,5,,,77,127
1150,note_on,1,0,0,,0,,,84,127
1264,note_off,114,0,0,,0,,,84,127
1265,note_on,1,0,0,,11,,,82,127
1379,note_off,114,0,0,,11,,,82,127
1380,note_on,1,0,0,,10,,,81,127
1495,note_on,115,0,0,,7,,,79,127
1500,note_off,5,0,0,,10,,,81,127
1603,note_off,103,0,0,,7,,,79,127
1610,note_on,7,0,0,,5,,,77,127
1718,note_off,108,0,0,,5,,,77,127
1725,note_on,7,0,0,,4,,,76,127
1833,note_off,108,0,0,,4,,,76,127
1840,note_on,7,0,0,,5,,,77,127
2070,note_on,230,0,0,,10,,,57,127
2172,note_off,102,0,0,,10,,,57,127
2185,note_on,13,0,0,,5,,,53,127
2287,note_off,102,0,0,,5,,,53,127
2300,note_on,13,0,0,,0,,,60,127
2414,note_off,114,0,0,,0,,,60,127
2415,note_on,1,0,0,,10,,,57,127
2529,note_off,114,0,0,,10,,,57,127
2530,note_on,1,0,0,,5,,,65,127
2644,note_off,114,0,0,,5,,,65,127
2645,note_on,1,0,0,,0,,,60,127
2759,note_off,114,0,0,,0,,,60,127
2760,note_on,1,0,0,,10,,,69,127
2874,note_off,114,0,0,,10,,,69,127
2875,note_on,1,0,0,,5,,,65,127
2989,note_off,114,0,0,,5,,,65,127
2990,note_on,1,0,0,,0,,,72,127
3104,note_off,114,0,0,,0,,,72,127
3105,note_on,1,0,0,,11,,,70,127
3219,note_off,114,0,0,,11,,,70,127
3220,note_on,1,0,0,,10,,,69,127
3334,note_off,114,0,0,,10,,,69,127
3334,note_off,0,0,0,,5,,,77,127
3335,note_on,1,0,0,,7,,,79,127
3335,note_on,0,0,0,,7,,,67,127
3449,note_off,114,0,0,,7,,,67,127
3449,note_off,0,0,0,,7,,,79,127
3450,note_on,1,0,0,,10,,,81,127
3450,note_on,0,0,0,,5,,,65,127
3564,note_off,114,0,0,,5,,,65,127
3564,note_off,0,0,0,,10,,,81,127
3565,note_on,1,0,0,,11,,,82,127
3565,note_on,0,0,0,,4,,,64,127
3679,note_off,114,0,0,,4,,,64,127
3679,note_off,0,0,0,,11,,,82,127
3680,note_on,1,0,0,,10,,,81,127
3680,note_on,0,0,0,,5,,,65,127
3794,note_off,114,0,0,,10,,,81,127
3795,note_on,1,0,0,,11,,,82,127
3909,note_off,114,0,0,,11,,,82,127
3910,note_on,1,0,0,,0,,,84,127
4024,note_off,114,0,0,,0,,,84,127
4025,note_on,1,0,0,,4,,,76,127
4139,note_off,114,0,0,,4,,,76,127
4139,note_off,0,0,0,,5,,,65,127
4140,note_on,1,0,0,,5,,,77,127
4140,note_on,0,0,0,,10,,,57,127
4254,note_off,114,0,0,,5,,,77,127
4255,note_on,1,0,0,,7,,,79,127
4369,note_off,114,0,0,,7,,,79,127
4370,note_on,1,0,0,,10,,,81,127
4484,note_off,114,0,0,,10,,,81,127
4485,note_on,1,0,0,,0,,,72,127
4599,note_off,114,0,0,,0,,,72,127
4599,note_off,0,0,0,,10,,,57,127
4600,note_on,1,0,0,,2,,,74,127
4600,note_on,0,0,0,,11,,,58,127
4714,note_off,114,0,0,,2,,,74,127
4715,note_on,1,0,0,,4,,,76,127
4829,note_off,114,0,0,,4,,,76,127
4830,note_on,1,0,0,,5,,,77,127
4944,note_off,114,0,0,,5,,,77,127
4945,note_on,1,0,0,,10,,,69,127
5059,note_off,114,0,0,,10,,,69,127
5059,note_off,0,0,0,,11,,,58,127
5060,note_on,1,0,0,,0,,,72,127
5060,note_on,0,0,0,,11,,,70,127
5060,note_on,0,0,0,,0,,,60,127
5174,note_off,114,0,0,,11,,,70,127
5174,note_off,0,0,0,,0,,,72,127
5175,note_on,1,0,0,,10,,,69,127
5289,note_off,114,0,0,,10,,,69,127
5290,note_on,1,0,0,,11,,,70,127
5404,note_off,114,0,0,,11,,,70,127
5405,note_on,1,0,0,,0,,,72,127
5519,note_off,114,0,0,,0,,,72,127
5519,note_off,0,0,0,,0,,,60,127
5520,note_on,1,0,0,,10,,,69,127
5520,note_on,0,0,0,,5,,,53,127
5634,note_off,114,0,0,,10,,,69,127
5635,note_on,1,0,0,,11,,,70,127
5749,note_off,114,0,0,,11,,,70,127
5750,note_on,1,0,0,,0,,,72,127
5864,note_off,114,0,0,,0,,,72,127
5865,note_on,1,0,0,,4,,,64,127
5979,note_off,114,0,0,,4,,,64,127
5979,note_off,0,0,0,,5,,,53,127
5980,note_on,1,0,0,,5,,,65,127
5980,note_on,0,0,0,,10,,,45,127
6094,note_off,114,0,0,,5,,,65,127
6095,note_on,1,0,0,,7,,,67,127
6209,note_off,114,0,0,,7,,,67,127
6210,note_on,1,0,0,,10,,,69,127
6324,note_off,114,0,0,,10,,,69,127
6325,note_on,1,0,0,,0,,,60,127
6439,note_off,114,0,0,,0,,,60,127
6439,note_off,0,0,0,,10,,,45,127
6440,note_on,1,0,0,,2,,,62,127
6440,note_on,0,0,0,,11,,,46,127
6554,note_off,114,0,0,,2,,,62,127
6555,note_on,1,0,0,,4,,,64,127
