tick,type,time,meta,track,program,channel,pitch,tempo,note,velocity
0,copyright,0,1,0,,,,,,
0,program_change,0,0,0,6,0,,,,
0,pitchwheel,0,0,0,,0,0,,,
0,program_change,0,0,0,6,1,,,,
0,pitchwheel,0,0,0,,1,-590,,,
0,program_change,0,0,0,6,2,,,,
0,pitchwheel,0,0,0,,2,-272,,,
0,program_change,0,0,0,6,3,,,,
0,pitchwheel,0,0,0,,3,-353,,,
0,program_change,0,0,0,6,4,,,,
0,pitchwheel,0,0,0,,4,-560,,,
0,program_change,0,0,0,6,5,,,,
0,pitchwheel,0,0,0,,5,-80,,,
0,program_change,0,0,0,6,6,,,,
0,pitchwheel,0,0,0,,6,-625,,,
0,program_change,0,0,0,6,7,,,,
0,pitchwheel,0,0,0,,7,-130,,,
0,program_change,0,0,0,6,8,,,,
0,pitchwheel,0,0,0,,8,-512,,,
0,program_change,0,0,0,6,10,,,,
0,pitchwheel,0,0,0,,10,-464,,,
0,program_change,0,0,0,6,11,,,,
0,pitchwheel,0,0,0,,11,-208,,,
0,program_change,0,0,0,6,12,,,,
0,pitchwheel,0,0,0,,12,-553,,,
0,set_tempo,0,1,0,,,,500000,,
85,note_on,85,0,0,,10,,,81,127
425,note_off,340,0,0,,10,,,81,127
426,note_on,1,0,0,,4,,,76,127
766,note_off,340,0,0,,4,,,76,127
767,note_on,1,0,0,,2,,,74,127
1107,note_off,340,0,0,,2,,,74,127
1108,note_on,1,0,0,,10,,,69,127
1108,note_on,0,0,0,,1,,,73,127
1448,note_off,340,0,0,,1,,,73,127
1448,note_off,0,0,0,,10,,,69,127
1449,note_on,1,0,0,,4,,,64,127
1449,note_on,0,0,0,,12,,,71,127
1789,note_off,340,0,0,,4,,,64,127
1790,note_on,1,0,0,,2,,,62,127
2009,note_off,219,0,0,,12,,,71,127
2131,note_off,122,0,0,,2,,,62,127
2132,note_on,1,0,0,,1,,,61,127
2132,note_on,0,0,0,,10,,,69,127
2302,note_off,170,0,0,,10,,,69,127
2303,note_on,1,0,0,,4,,,76,127
2473,note_off,170,0,0,,4,,,76,127
2473,note_off,0,0,0,,1,,,61,127
2474,note_on,1,0,0,,10,,,57,127
2474,note_on,0,0,0,,1,,,73,127
2644,note_off,170,0,0,,1,,,73,127
2645,note_on,1,0,0,,10,,,69,127
2815,note_off,170,0,0,,10,,,69,127
2815,note_off,0,0,0,,10,,,57,127
2816,note_on,1,0,0,,4,,,64,127
2816,note_on,0,0,0,,8,,,68,127
2986,note_off,170,0,0,,8,,,68,127
2987,note_on,1,0,0,,12,,,71,127
3157,note_off,170,0,0,,12,,,71,127
3157,note_off,0,0,0,,4,,,64,127
3158,note_on,1,0,0,,1,,,61,127
3158,note_on,0,0,0,,10,,,69,127
3328,note_off,170,0,0,,1,,,61,127
3329,note_on,1,0,0,,4,,,64,127
3499,note_off,170,0,0,,4,,,64,127
3500,note_on,1,0,0,,1,,,61,127
3670,note_off,170,0,0,,1,,,61,127
3671,note_on,1,0,0,,10,,,57,127
3781,note_off,110,0,0,,10,,,69,127
3841,note_off,60,0,0,,10,,,57,127
3842,note_on,1,0,0,,8,,,56,127
3842,note_on,0,0,0,,12,,,71,127
3955,note_off,113,0,0,,12,,,71,127
3956,note_on,1,0,0,,1,,,73,127
4012,note_off,56,0,0,,8,,,56,127
4013,note_on,1,0,0,,4,,,52,127
4069,note_off,56,0,0,,1,,,73,127
4070,note_on,1,0,0,,2,,,74,127
4183,note_off,113,0,0,,2,,,74,127
4183,note_off,0,0,0,,4,,,52,127
4184,note_on,1,0,0,,10,,,57,127
4184,note_on,0,0,0,,1,,,73,127
4354,note_off,170,0,0,,1,,,73,127
4355,note_on,1,0,0,,4,,,76,127
4525,note_off,170,0,0,,4,,,76,127
4526,note_on,1,0,0,,1,,,73,127
4696,note_off,170,0,0,,1,,,73,127
4697,note_on,1,0,0,,10,,,69,127
4867,note_off,170,0,0,,10,,,69,127
4867,note_off,0,0,0,,10,,,57,127
4868,note_on,1,0,0,,4,,,64,127
4868,note_on,0,0,0,,8,,,68,127
5038,note_off,170,0,0,,8,,,68,127
5039,note_on,1,0,0,,12,,,71,127
5209,note_off,170,0,0,,12,,,71,127
5209,note_off,0,0,0,,4,,,64,127
5210,note_on,1,0,0,,1,,,61,127
5210,note_on,0,0,0,,10,,,69,127
5380,note_off,170,0,0,,1,,,61,127
5381,note_on,1,0,0,,4,,,64,127
5551,note_off,170,0,0,,4,,,64,127
5552,note_on,1,0,0,,1,,,61,127
5722,note_off,170,0,0,,1,,,61,127
5723,note_on,1,0,0,,10,,,57,127
5798,note_off,75,0,0,,10,,,69,127
5893,note_off,95,0,0,,10,,,57,127
5894,note_on,1,0,0,,8,,,56,127
5894,note_on,0,0,0,,12,,,71,127
6007,note_off,113,0,0,,12,,,71,127
6008,note_on,1,0,0,,1,,,73,127
6064,note_off,56,0,0,,8,,,56,127
6065,note_on,1,0,0,,4,,,52,127
6121,note_off,56,0,0,,1,,,73,127
6122,note_on,1,0,0,,2,,,74,127
6235,note_off,113,0,0,,2,,,74,127
6235,note_off,0,0,0,,4,,,52,127
6236,note_on,1,0,0,,10,,,57,127
6236,note_on,0,0,0,,1,,,73,127
6406,note_off,170,0,0,,10,,,57,127
6407,note_on,1,0,0,,4,,,64,127
6577,note_off,170,0,0,,4,,,64,127
6577,note_off,0,0,0,,1,,,73,127
6578,note_on,1,0,0,,8,,,56,127
6578,note_on,0,0,0,,12,,,71,127
6748,note_off,170,0,0,,8,,,56,127
6749,note_on,1,0,0,,4,,,64,127
6919,note_off,170,0,0,,4,,,64,127
6920,note_on,1,0,0,,4,,,52,127
7033,note_off,113,0,0,,12,,,71,127
7034,note_on,1,0,0,,1,,,73,127
7090,note_off,56,0,0,,4,,,52,127
7091,note_on,1,0,0,,4,,,64,127
7147,note_off,56,0,0,,1,,,73,127
7148,note_on,1,0,0,,2,,,74,127
7261,note_off,113,0,0,,2,,,74,127
7261,note_off,0,0,0,,4,,,64,127
7262,note_on,1,0,0,,10,,,57,127
7262,note_on,0,0,0,,1,,,73,127
7432,note_off,170,0,0,,10,,,57,127
7433,note_on,1,0,0,,4,,,64,127
7603,note_off,170,0,0,,4,,,64,127
7603,note_off,0,0,0,,1,,,73,127
7604,note_on,1,0,0,,8,,,56,127
7604,note_on,0,0,0,,12,,,71,127
7774,note_off,170,0,0,,8,,,56,127
7775,note_on,1,0,0,,4,,,64,127
7945,note_off,170,0,0,,4,,,64,127
7946,note_on,1,0,0,,4,,,52,127
8059,note_off,113,0,0,,12,,,71,127
8060,note_on,1,0,0,,1,,,73,127
8116,note_off,56,0,0,,4,,,52,127
8117,note_on,1,0,0,,4,,,64,127
8173,note_off,56,0,0,,1,,,73,127
8174,note_on,1,0,0,,2,,,74,127
8287,note_off,113,0,0,,2,,,74,127
8287,note_off,0,0,0,,4,,,64,127
