tick,type,time,meta,track,program,channel,pitch,tempo,note,velocity
0,copyright,0,1,0,,,,,,
0,program_change,0,0,0,6,0,,,,
0,pitchwheel,0,0,0,,0,0,,,
0,program_change,0,0,0,6,1,,,,
0,pitchwheel,0,0,0,,1,-590,,,
0,program_change,0,0,0,6,2,,,,
0,pitchwheel,0,0,0,,2,-272,,,
0,program_change,0,0,0,6,3,,,,
0,pitchwheel,0,0,0,,3,-353,,,
0,program_change,0,0,0,6,4,,,,
0,pitchwheel,0,0,0,,4,-560,,,
0,program_change,0,0,0,6,5,,,,
0,pitchwheel,0,0,0,,5,-80,,,
0,program_change,0,0,0,6,6,,,,
0,pitchwheel,0,0,0,,6,-625,,,
0,program_change,0,0,0,6,7,,,,
0,pitchwheel,0,0,0,,7,-130,,,
0,program_change,0,0,0,6,8,,,,
0,pitchwheel,0,0,0,,8,-512,,,
0,program_change,0,0,0,6,10,,,,
0,pitchwheel,0,0,0,,10,-464,,,
0,program_change,0,0,0,6,11,,,,
0,pitchwheel,0,0,0,,11,-208,,,
0,program_change,0,0,0,6,12,,,,
0,pitchwheel,0,0,0,,12,-553,,,
0,set_tempo,0,1,0,,,,500000,,
128,note_on,128,0,0,,2,,,74,127
383,note_off,255,0,0,,2,,,74,127
384,note_on,1,0,0,,2,,,74,127
639,note_off,255,0,0,,2,,,74,127
640,note_on,1,0,0,,7,,,67,127
895,note_off,255,0,0,,7,,,67,127
896,note_on,1,0,0,,2,,,74,127
1407,note_off,511,0,0,,2,,,74,127
1408,note_on,1,0,0,,4,,,76,127
1492,note_off,84,0,0,,4,,,76,127
1493,note_on,1,0,0,,6,,,78,127
1577,note_off,84,0,0,,6,,,78,127
1578,note_on,1,0,0,,7,,,79,127
1662,note_off,84,0,0,,7,,,79,127
1663,note_on,1,0,0,,2,,,62,127
1663,note_on,0,0,0,,7,,,79,127
1918,note_off,255,0,0,,7,,,79,127
1918,note_off,0,0,0,,2,,,62,127
1919,note_on,1,0,0,,2,,,62,127
1919,note_on,0,0,0,,6,,,78,127
2174,note_off,255,0,0,,6,,,78,127
2174,note_off,0,0,0,,2,,,62,127
2175,note_on,1,0,0,,7,,,55,127
2175,note_on,0,0,0,,7,,,79,127
2430,note_off,255,0,0,,7,,,79,127
2430,note_off,0,0,0,,7,,,55,127
2431,note_on,1,0,0,,2,,,62,127
2431,note_on,0,0,0,,10,,,81,127
2686,note_off,255,0,0,,10,,,81,127
2687,note_on,1,0,0,,2,,,74,127
2942,note_off,255,0,0,,2,,,74,127
2942,note_off,0,0,0,,2,,,62,127
2943,note_on,1,0,0,,4,,,64,127
2943,note_on,0,0,0,,7,,,79,127
3027,note_off,84,0,0,,7,,,79,127
3027,note_off,0,0,0,,4,,,64,127
3028,note_on,1,0,0,,6,,,66,127
3028,note_on,0,0,0,,10,,,81,127
3112,note_off,84,0,0,,10,,,81,127
3112,note_off,0,0,0,,6,,,66,127
3113,note_on,1,0,0,,7,,,67,127
3113,note_on,0,0,0,,12,,,83,127
3177,note_off,64,0,0,,12,,,83,127
3197,note_off,20,0,0,,7,,,67,127
3198,note_on,1,0,0,,7,,,67,127
3198,note_on,0,0,0,,12,,,83,127
3453,note_off,255,0,0,,12,,,83,127
3453,note_off,0,0,0,,7,,,67,127
3454,note_on,1,0,0,,6,,,66,127
3454,note_on,0,0,0,,10,,,81,127
3709,note_off,255,0,0,,10,,,81,127
3709,note_off,0,0,0,,6,,,66,127
3710,note_on,1,0,0,,7,,,67,127
3710,note_on,0,0,0,,7,,,79,127
3965,note_off,255,0,0,,7,,,79,127
3965,note_off,0,0,0,,7,,,67,127
3966,note_on,1,0,0,,10,,,69,127
3966,note_on,0,0,0,,7,,,79,127
4221,note_off,255,0,0,,7,,,79,127
4222,note_on,1,0,0,,6,,,78,127
4477,note_off,255,0,0,,6,,,78,127
4477,note_off,0,0,0,,10,,,69,127
4478,note_on,1,0,0,,12,,,71,127
4478,note_on,0,0,0,,7,,,79,127
4733,note_off,255,0,0,,7,,,79,127
4733,note_off,0,0,0,,12,,,71,127
4734,note_on,1,0,0,,0,,,72,127
4734,note_on,0,0,0,,6,,,78,127
4989,note_off,255,0,0,,6,,,78,127
4990,note_on,1,0,0,,4,,,76,127
5245,note_off,255,0,0,,4,,,76,127
5245,note_off,0,0,0,,0,,,72,127
5246,note_on,1,0,0,,12,,,71,127
5246,note_on,0,0,0,,2,,,74,127
5501,note_off,255,0,0,,12,,,71,127
5502,note_on,1,0,0,,10,,,69,127
5753,note_off,251,0,0,,2,,,74,127
5757,note_off,4,0,0,,10,,,69,127
5758,note_on,1,0,0,,6,,,66,127
5758,note_on,0,0,0,,2,,,74,127
5821,note_off,63,0,0,,2,,,74,127
5822,note_on,1,0,0,,0,,,72,127
5885,note_off,63,0,0,,0,,,72,127
5886,note_on,1,0,0,,2,,,74,127
5949,note_off,63,0,0,,2,,,74,127
5950,note_on,1,0,0,,0,,,72,127
6013,note_off,63,0,0,,0,,,72,127
6013,note_off,0,0,0,,6,,,66,127
6014,note_on,1,0,0,,2,,,62,127
6014,note_on,0,0,0,,2,,,74,127
6077,note_off,63,0,0,,2,,,74,127
6078,note_on,1,0,0,,0,,,72,127
6141,note_off,63,0,0,,0,,,72,127
6142,note_on,1,0,0,,12,,,71,127
6205,note_off,63,0,0,,12,,,71,127
6206,note_on,1,0,0,,0,,,72,127
6269,note_off,63,0,0,,0,,,72,127
6269,note_off,0,0,0,,2,,,62,127
6270,note_on,1,0,0,,7,,,67,127
6270,note_on,0,0,0,,12,,,71,127
6525,note_off,255,0,0,,7,,,67,127
6526,note_on,1,0,0,,2,,,62,127
6781,note_off,255,0,0,,2,,,62,127
6782,note_on,1,0,0,,7,,,55,127
6857,note_off,75,0,0,,12,,,71,127
7037,note_off,180,0,0,,7,,,55,127
7038,note_on,1,0,0,,10,,,57,127
7038,note_on,0,0,0,,7,,,67,127
7101,note_off,63,0,0,,7,,,67,127
7102,note_on,1,0,0,,5,,,65,127
7165,note_off,63,0,0,,5,,,65,127
7166,note_on,1,0,0,,7,,,67,127
7229,note_off,63,0,0,,7,,,67,127
7230,note_on,1,0,0,,5,,,65,127
7293,note_off,63,0,0,,5,,,65,127
7293,note_off,0,0,0,,10,,,57,127
7294,note_on,1,0,0,,12,,,59,127
7294,note_on,0,0,0,,7,,,67,127
7357,note_off,63,0,0,,7,,,67,127
7358,note_on,1,0,0,,5,,,65,127
7421,note_off,63,0,0,,5,,,65,127
7422,note_on,1,0,0,,4,,,64,127
7485,note_off,63,0,0,,4,,,64,127
7486,note_on,1,0,0,,5,,,65,127
7549,note_off,63,0,0,,5,,,65,127
7549,note_off,0,0,0,,12,,,59,127
7550,note_on,1,0,0,,0,,,60,127
7550,note_on,0,0,0,,4,,,64,127
7805,note_off,255,0,0,,4,,,64,127
7805,note_off,0,0,0,,0,,,60,127
