tick,type,time,meta,track,program,channel,pitch,tempo,note,velocity
0,copyright,0,1,0,,,,,,
0,program_change,0,0,0,6,0,,,,
0,pitchwheel,0,0,0,,0,0,,,
0,program_change,0,0,0,6,1,,,,
0,pitchwheel,0,0,0,,1,-590,,,
0,program_change,0,0,0,6,2,,,,
0,pitchwheel,0,0,0,,2,-272,,,
0,program_change,0,0,0,6,3,,,,
0,pitchwheel,0,0,0,,3,-353,,,
0,program_change,0,0,0,6,4,,,,
0,pitchwheel,0,0,0,,4,-560,,,
0,program_change,0,0,0,6,5,,,,
0,pitchwheel,0,0,0,,5,-80,,,
0,program_change,0,0,0,6,6,,,,
0,pitchwheel,0,0,0,,6,-625,,,
0,program_change,0,0,0,6,7,,,,
0,pitchwheel,0,0,0,,7,-130,,,
0,program_change,0,0,0,6,8,,,,
0,pitchwheel,0,0,0,,8,-512,,,
0,program_change,0,0,0,6,10,,,,
0,pitchwheel,0,0,0,,10,-464,,,
0,program_change,0,0,0,6,11,,,,
0,pitchwheel,0,0,0,,11,-208,,,
0,program_change,0,0,0,6,12,,,,
0,pitchwheel,0,0,0,,12,-553,,,
0,set_tempo,0,1,0,,,,500000,,
154,note_on,154,0,0,,7,,,79,127
204,note_off,50,0,0,,7,,,79,127
206,note_on,2,0,0,,5,,,77,127
256,note_off,50,0,0,,5,,,77,127
258,note_on,2,0,0,,7,,,79,127
308,note_off,50,0,0,,7,,,79,127
310,note_on,2,0,0,,5,,,77,127
360,note_off,50,0,0,,5,,,77,127
362,note_on,2,0,0,,4,,,76,127
463,note_off,101,0,0,,4,,,76,127
465,note_on,2,0,0,,5,,,77,127
668,note_off,203,0,0,,5,,,77,127
670,note_on,2,0,0,,7,,,79,127
771,note_off,101,0,0,,7,,,79,127
773,note_on,2,0,0,,10,,,81,127
1079,note_off,306,0,0,,10,,,81,127
1081,note_on,2,0,0,,11,,,82,127
1081,note_on,0,0,0,,2,,,74,127
1387,note_off,306,0,0,,2,,,74,127
1387,note_off,0,0,0,,11,,,82,127
1389,note_on,2,0,0,,10,,,81,127
1389,note_on,0,0,0,,0,,,72,127
1695,note_off,306,0,0,,0,,,72,127
1695,note_off,0,0,0,,10,,,81,127
1697,note_on,2,0,0,,7,,,79,127
1697,note_on,0,0,0,,11,,,70,127
2003,note_off,306,0,0,,11,,,70,127
2005,note_on,2,0,0,,10,,,69,127
2311,note_off,306,0,0,,7,,,79,127
2313,note_on,2,0,0,,7,,,79,127
2414,note_off,101,0,0,,7,,,79,127
2416,note_on,2,0,0,,5,,,77,127
2517,note_off,101,0,0,,5,,,77,127
2519,note_on,2,0,0,,4,,,76,127
2620,note_off,101,0,0,,4,,,76,127
2622,note_on,2,0,0,,5,,,77,127
2928,note_off,306,0,0,,5,,,77,127
2928,note_off,0,0,0,,10,,,69,127
2930,note_on,2,0,0,,5,,,65,127
2930,note_on,0,0,0,,11,,,82,127
2980,note_off,50,0,0,,11,,,82,127
2982,note_on,2,0,0,,10,,,81,127
3032,note_off,50,0,0,,10,,,81,127
3034,note_on,2,0,0,,11,,,82,127
3084,note_off,50,0,0,,11,,,82,127
3086,note_on,2,0,0,,10,,,81,127
3136,note_off,50,0,0,,10,,,81,127
3136,note_off,0,0,0,,5,,,65,127
3138,note_on,2,0,0,,4,,,64,127
3138,note_on,0,0,0,,7,,,79,127
3239,note_off,101,0,0,,7,,,79,127
3239,note_off,0,0,0,,4,,,64,127
3241,note_on,2,0,0,,5,,,65,127
3241,note_on,0,0,0,,10,,,81,127
3444,note_off,203,0,0,,10,,,81,127
3444,note_off,0,0,0,,5,,,65,127
3446,note_on,2,0,0,,7,,,67,127
3446,note_on,0,0,0,,11,,,82,127
3547,note_off,101,0,0,,11,,,82,127
3547,note_off,0,0,0,,7,,,67,127
3549,note_on,2,0,0,,10,,,69,127
3549,note_on,0,0,0,,0,,,84,127
3752,note_off,203,0,0,,0,,,84,127
3754,note_on,2,0,0,,2,,,86,127
3855,note_off,101,0,0,,2,,,86,127
3855,note_off,0,0,0,,10,,,69,127
3857,note_on,2,0,0,,2,,,62,127
3857,note_on,0,0,0,,11,,,70,127
3857,note_on,0,0,0,,2,,,74,127
4163,note_off,306,0,0,,11,,,70,127
4163,note_off,0,0,0,,2,,,62,127
4165,note_on,2,0,0,,10,,,69,127
4165,note_on,0,0,0,,0,,,60,127
4471,note_off,306,0,0,,0,,,60,127
4471,note_off,0,0,0,,10,,,69,127
4471,note_off,0,0,0,,2,,,74,127
4473,note_on,2,0,0,,11,,,58,127
4473,note_on,0,0,0,,7,,,67,127
4473,note_on,0,0,0,,4,,,76,127
4779,note_off,306,0,0,,7,,,67,127
4779,note_off,0,0,0,,11,,,58,127
4781,note_on,2,0,0,,10,,,57,127
4781,note_on,0,0,0,,5,,,65,127
5087,note_off,306,0,0,,4,,,76,127
5089,note_on,2,0,0,,7,,,79,127
5190,note_off,101,0,0,,7,,,79,127
5192,note_on,2,0,0,,5,,,77,127
5293,note_off,101,0,0,,5,,,77,127
5295,note_on,2,0,0,,4,,,76,127
5396,note_off,101,0,0,,4,,,76,127
5398,note_on,2,0,0,,5,,,77,127
5654,note_off,256,0,0,,5,,,77,127
5704,note_off,50,0,0,,5,,,65,127
5704,note_off,0,0,0,,10,,,57,127
5706,note_on,2,0,0,,2,,,74,127
5706,note_on,0,0,0,,0,,,72,127
5807,note_off,101,0,0,,0,,,72,127
5807,note_off,0,0,0,,2,,,74,127
5809,note_on,2,0,0,,12,,,71,127
5910,note_off,101,0,0,,12,,,71,127
5912,note_on,2,0,0,,0,,,72,127
6013,note_off,101,0,0,,0,,,72,127
6015,note_on,2,0,0,,10,,,81,127
6321,note_off,306,0,0,,10,,,81,127
6323,note_on,2,0,0,,0,,,72,127
6630,note_on,307,0,0,,0,,,60,127
6937,note_on,307,0,0,,10,,,69,127
7243,note_off,306,0,0,,10,,,69,127
7243,note_off,0,0,0,,0,,,72,127
7245,note_on,2,0,0,,7,,,67,127
7245,note_on,0,0,0,,11,,,70,127
7551,note_off,306,0,0,,11,,,70,127
7551,note_off,0,0,0,,7,,,67,127
7551,note_off,0,0,0,,0,,,60,127
7553,note_on,2,0,0,,4,,,76,127
7553,note_on,0,0,0,,5,,,77,127
7654,note_off,101,0,0,,5,,,77,127
7654,note_off,0,0,0,,4,,,76,127
7656,note_on,2,0,0,,2,,,74,127
7757,note_off,101,0,0,,2,,,74,127
7759,note_on,2,0,0,,4,,,76,127
7860,note_off,101,0,0,,4,,,76,127
7862,note_on,2,0,0,,7,,,79,127
8168,note_off,306,0,0,,7,,,79,127
8170,note_on,2,0,0,,11,,,70,127
8477,note_on,307,0,0,,0,,,60,127
8784,note_on,307,0,0,,7,,,67,127
9090,note_off,306,0,0,,7,,,67,127
9090,note_off,0,0,0,,11,,,70,127
9092,note_on,2,0,0,,5,,,65,127
