tick,type,time,meta,track,program,channel,pitch,tempo,note,velocity
0,copyright,0,1,0,,,,,,
0,program_change,0,0,0,6,0,,,,
0,pitchwheel,0,0,0,,0,0,,,
0,program_change,0,0,0,6,1,,,,
0,pitchwheel,0,0,0,,1,-590,,,
0,program_change,0,0,0,6,2,,,,
0,pitchwheel,0,0,0,,2,-272,,,
0,program_change,0,0,0,6,3,,,,
0,pitchwheel,0,0,0,,3,-353,,,
0,program_change,0,0,0,6,4,,,,
0,pitchwheel,0,0,0,,4,-560,,,
0,program_change,0,0,0,6,5,,,,
0,pitchwheel,0,0,0,,5,-80,,,
0,program_change,0,0,0,6,6,,,,
0,pitchwheel,0,0,0,,6,-625,,,
0,program_change,0,0,0,6,7,,,,
0,pitchwheel,0,0,0,,7,-130,,,
0,program_change,0,0,0,6,8,,,,
0,pitchwheel,0,0,0,,8,-512,,,
0,program_change,0,0,0,6,10,,,,
0,pitchwheel,0,0,0,,10,-464,,,
0,program_change,0,0,0,6,11,,,,
0,pitchwheel,0,0,0,,11,-208,,,
0,program_change,0,0,0,6,12,,,,
0,pitchwheel,0,0,0,,12,-553,,,
0,set_tempo,0,1,0,,,,500000,,
110,note_on,110,0,0,,11,,,46,127
329,note_on,219,0,0,,5,,,77,127
438,note_off,109,0,0,,5,,,77,127
439,note_on,1,0,0,,2,,,74,127
548,note_off,109,0,0,,2,,,74,127
549,note_on,1,0,0,,5,,,77,127
767,note_off,218,0,0,,5,,,77,127
767,note_off,0,0,0,,11,,,46,127
768,note_on,1,0,0,,11,,,58,127
768,note_on,0,0,0,,11,,,82,127
986,note_off,218,0,0,,11,,,82,127
986,note_off,0,0,0,,11,,,58,127
987,note_on,1,0,0,,11,,,46,127
987,note_on,0,0,0,,5,,,77,127
1205,note_off,218,0,0,,5,,,77,127
1206,note_on,1,0,0,,5,,,77,127
1315,note_off,109,0,0,,5,,,77,127
1316,note_on,1,0,0,,2,,,74,127
1425,note_off,109,0,0,,2,,,74,127
1426,note_on,1,0,0,,5,,,77,127
1644,note_off,218,0,0,,5,,,77,127
1644,note_off,0,0,0,,11,,,46,127
1645,note_on,1,0,0,,11,,,58,127
1645,note_on,0,0,0,,11,,,82,127
1863,note_off,218,0,0,,11,,,82,127
1863,note_off,0,0,0,,11,,,58,127
1864,note_on,1,0,0,,11,,,46,127
1864,note_on,0,0,0,,5,,,77,127
2082,note_off,218,0,0,,5,,,77,127
2083,note_on,1,0,0,,5,,,77,127
2192,note_off,109,0,0,,5,,,77,127
2193,note_on,1,0,0,,2,,,74,127
2302,note_off,109,0,0,,2,,,74,127
2303,note_on,1,0,0,,5,,,77,127
2521,note_off,218,0,0,,5,,,77,127
2521,note_off,0,0,0,,11,,,46,127
2522,note_on,1,0,0,,11,,,58,127
2522,note_on,0,0,0,,11,,,82,127
2740,note_off,218,0,0,,11,,,82,127
2740,note_off,0,0,0,,11,,,58,127
2741,note_on,1,0,0,,3,,,51,127
2741,note_on,0,0,0,,0,,,72,127
2959,note_off,218,0,0,,0,,,72,127
2960,note_on,1,0,0,,2,,,74,127
3069,note_off,109,0,0,,2,,,74,127
3070,note_on,1,0,0,,3,,,75,127
3179,note_off,109,0,0,,3,,,75,127
3179,note_off,0,0,0,,3,,,51,127
3180,note_on,1,0,0,,5,,,53,127
3180,note_on,0,0,0,,2,,,74,127
3289,note_off,109,0,0,,2,,,74,127
3290,note_on,1,0,0,,0,,,72,127
3399,note_off,109,0,0,,0,,,72,127
3400,note_on,1,0,0,,11,,,70,127
3509,note_off,109,0,0,,11,,,70,127
3510,note_on,1,0,0,,10,,,69,127
3619,note_off,109,0,0,,10,,,69,127
3619,note_off,0,0,0,,5,,,53,127
3620,note_on,1,0,0,,11,,,46,127
3620,note_on,0,0,0,,11,,,70,127
3838,note_off,218,0,0,,11,,,70,127
3839,note_on,1,0,0,,5,,,77,127
3948,note_off,109,0,0,,5,,,77,127
3949,note_on,1,0,0,,2,,,74,127
4058,note_off,109,0,0,,2,,,74,127
4059,note_on,1,0,0,,5,,,77,127
4277,note_off,218,0,0,,5,,,77,127
4277,note_off,0,0,0,,11,,,46,127
4278,note_on,1,0,0,,11,,,58,127
4278,note_on,0,0,0,,11,,,82,127
4496,note_off,218,0,0,,11,,,82,127
4496,note_off,0,0,0,,11,,,58,127
4497,note_on,1,0,0,,3,,,51,127
4497,note_on,0,0,0,,0,,,72,127
4715,note_off,218,0,0,,0,,,72,127
4716,note_on,1,0,0,,2,,,74,127
4825,note_off,109,0,0,,2,,,74,127
4826,note_on,1,0,0,,3,,,75,127
4935,note_off,109,0,0,,3,,,75,127
4935,note_off,0,0,0,,3,,,51,127
4936,note_on,1,0,0,,5,,,53,127
4936,note_on,0,0,0,,2,,,74,127
5045,note_off,109,0,0,,2,,,74,127
5046,note_on,1,0,0,,0,,,72,127
5155,note_off,109,0,0,,0,,,72,127
5156,note_on,1,0,0,,11,,,70,127
5265,note_off,109,0,0,,11,,,70,127
5266,note_on,1,0,0,,10,,,69,127
5375,note_off,109,0,0,,10,,,69,127
5375,note_off,0,0,0,,5,,,53,127
5376,note_on,1,0,0,,11,,,46,127
5376,note_on,0,0,0,,11,,,70,127
5594,note_off,218,0,0,,11,,,70,127
5594,note_off,0,0,0,,11,,,46,127
5595,note_on,1,0,0,,5,,,65,127
5595,note_on,0,0,0,,5,,,77,127
5704,note_off,109,0,0,,5,,,77,127
5705,note_on,1,0,0,,2,,,74,127
5814,note_off,109,0,0,,2,,,74,127
5814,note_off,0,0,0,,5,,,65,127
5815,note_on,1,0,0,,5,,,53,127
5815,note_on,0,0,0,,3,,,75,127
6033,note_off,218,0,0,,3,,,75,127
6033,note_off,0,0,0,,5,,,53,127
6034,note_on,1,0,0,,5,,,65,127
6034,note_on,0,0,0,,5,,,77,127
6143,note_off,109,0,0,,5,,,77,127
6144,note_on,1,0,0,,0,,,72,127
6253,note_off,109,0,0,,0,,,72,127
6253,note_off,0,0,0,,5,,,65,127
6254,note_on,1,0,0,,11,,,46,127
6254,note_on,0,0,0,,2,,,74,127
6472,note_off,218,0,0,,2,,,74,127
6472,note_off,0,0,0,,11,,,46,127
6473,note_on,1,0,0,,5,,,65,127
6473,note_on,0,0,0,,5,,,77,127
6582,note_off,109,0,0,,5,,,77,127
6583,note_on,1,0,0,,2,,,74,127
6692,note_off,109,0,0,,2,,,74,127
6692,note_off,0,0,0,,5,,,65,127
6693,note_on,1,0,0,,5,,,53,127
6693,note_on,0,0,0,,3,,,75,127
6911,note_off,218,0,0,,3,,,75,127
6911,note_off,0,0,0,,5,,,53,127
6912,note_on,1,0,0,,5,,,65,127
6912,note_on,0,0,0,,5,,,77,127
7021,note_off,109,0,0,,5,,,77,127
7022,note_on,1,0,0,,10,,,69,127
7131,note_off,109,0,0,,10,,,69,127
7131,note_off,0,0,0,,5,,,65,127
