tick,type,time,meta,track,program,channel,pitch,tempo,note,velocity
0,copyright,0,1,0,,,,,,
0,program_change,0,0,0,6,0,,,,
0,pitchwheel,0,0,0,,0,0,,,
0,program_change,0,0,0,6,1,,,,
0,pitchwheel,0,0,0,,1,-590,,,
0,program_change,0,0,0,6,2,,,,
0,pitchwheel,0,0,0,,2,-272,,,
0,program_change,0,0,0,6,3,,,,
0,pitchwheel,0,0,0,,3,-353,,,
0,program_change,0,0,0,6,4,,,,
0,pitchwheel,0,0,0,,4,-560,,,
0,program_change,0,0,0,6,5,,,,
0,pitchwheel,0,0,0,,5,-80,,,
0,program_change,0,0,0,6,6,,,,
0,pitchwheel,0,0,0,,6,-625,,,
0,program_change,0,0,0,6,7,,,,
0,pitchwheel,0,0,0,,7,-130,,,
0,program_change,0,0,0,6,8,,,,
0,pitchwheel,0,0,0,,8,-512,,,
0,program_change,0,0,0,6,10,,,,
0,pitchwheel,0,0,0,,10,-464,,,
0,program_change,0,0,0,6,11,,,,
0,pitchwheel,0,0,0,,11,-208,,,
0,program_change,0,0,0,6,12,,,,
0,pitchwheel,0,0,0,,12,-553,,,
0,set_tempo,0,1,0,,,,500000,,
35,note_on,35,0,0,,5,,,41,127
244,note_on,209,0,0,,10,,,81,127
347,note_off,103,0,0,,10,,,81,127
349,note_on,2,0,0,,5,,,77,127
452,note_off,103,0,0,,5,,,77,127
454,note_on,2,0,0,,0,,,72,127
661,note_off,207,0,0,,0,,,72,127
662,note_off,1,0,0,,5,,,41,127
663,note_on,1,0,0,,10,,,81,127
870,note_off,207,0,0,,10,,,81,127
872,note_on,2,0,0,,0,,,72,127
1079,note_off,207,0,0,,0,,,72,127
1081,note_on,2,0,0,,5,,,65,127
1081,note_on,0,0,0,,10,,,81,127
1288,note_off,207,0,0,,10,,,81,127
1288,note_off,0,0,0,,5,,,65,127
1290,note_on,2,0,0,,7,,,67,127
1290,note_on,0,0,0,,0,,,72,127
1358,note_off,68,0,0,,0,,,72,127
1360,note_on,2,0,0,,11,,,70,127
1428,note_off,68,0,0,,11,,,70,127
1430,note_on,2,0,0,,0,,,72,127
1498,note_off,68,0,0,,0,,,72,127
1498,note_off,0,0,0,,7,,,67,127
1500,note_on,2,0,0,,4,,,64,127
1500,note_on,0,0,0,,11,,,70,127
1568,note_off,68,0,0,,11,,,70,127
1570,note_on,2,0,0,,0,,,72,127
1638,note_off,68,0,0,,0,,,72,127
1640,note_on,2,0,0,,11,,,70,127
1708,note_off,68,0,0,,11,,,70,127
1708,note_off,0,0,0,,4,,,64,127
1710,note_on,2,0,0,,5,,,65,127
1710,note_on,0,0,0,,10,,,69,127
1917,note_off,207,0,0,,10,,,69,127
1919,note_on,2,0,0,,5,,,77,127
2022,note_off,103,0,0,,5,,,77,127
2024,note_on,2,0,0,,0,,,72,127
2124,note_off,100,0,0,,5,,,65,127
2126,note_off,2,0,0,,0,,,72,127
2128,note_on,2,0,0,,10,,,69,127
2335,note_off,207,0,0,,10,,,69,127
2337,note_on,2,0,0,,5,,,77,127
2544,note_off,207,0,0,,5,,,77,127
2546,note_on,2,0,0,,10,,,69,127
2753,note_off,207,0,0,,10,,,69,127
2755,note_on,2,0,0,,10,,,57,127
2755,note_on,0,0,0,,5,,,77,127
2962,note_off,207,0,0,,5,,,77,127
2962,note_off,0,0,0,,10,,,57,127
2964,note_on,2,0,0,,11,,,58,127
2964,note_on,0,0,0,,10,,,69,127
3032,note_off,68,0,0,,10,,,69,127
3034,note_on,2,0,0,,7,,,67,127
3102,note_off,68,0,0,,7,,,67,127
3104,note_on,2,0,0,,10,,,69,127
3172,note_off,68,0,0,,10,,,69,127
3172,note_off,0,0,0,,11,,,58,127
3174,note_on,2,0,0,,0,,,60,127
3174,note_on,0,0,0,,7,,,67,127
3242,note_off,68,0,0,,7,,,67,127
3244,note_on,2,0,0,,10,,,69,127
3312,note_off,68,0,0,,10,,,69,127
3314,note_on,2,0,0,,7,,,67,127
3382,note_off,68,0,0,,7,,,67,127
3382,note_off,0,0,0,,0,,,60,127
3384,note_on,2,0,0,,5,,,53,127
3384,note_on,0,0,0,,5,,,65,127
3591,note_off,207,0,0,,5,,,65,127
3591,note_off,0,0,0,,5,,,53,127
3593,note_on,2,0,0,,5,,,65,127
3696,note_off,103,0,0,,5,,,65,127
3698,note_on,2,0,0,,0,,,60,127
3801,note_off,103,0,0,,0,,,60,127
3803,note_on,2,0,0,,10,,,57,127
4010,note_off,207,0,0,,10,,,57,127
4012,note_on,2,0,0,,5,,,65,127
4219,note_off,207,0,0,,5,,,65,127
4221,note_on,2,0,0,,10,,,57,127
4428,note_off,207,0,0,,10,,,57,127
4430,note_on,2,0,0,,5,,,65,127
4430,note_on,0,0,0,,0,,,72,127
4637,note_off,207,0,0,,0,,,72,127
4637,note_off,0,0,0,,5,,,65,127
4639,note_on,2,0,0,,7,,,67,127
4639,note_on,0,0,0,,2,,,74,127
4846,note_off,207,0,0,,2,,,74,127
4846,note_off,0,0,0,,7,,,67,127
4848,note_on,2,0,0,,11,,,58,127
4848,note_on,0,0,0,,4,,,76,127
5055,note_off,207,0,0,,4,,,76,127
5055,note_off,0,0,0,,11,,,58,127
5057,note_on,2,0,0,,10,,,57,127
5057,note_on,0,0,0,,5,,,77,127
5264,note_off,207,0,0,,10,,,57,127
5266,note_on,2,0,0,,5,,,65,127
5369,note_off,103,0,0,,5,,,65,127
5371,note_on,2,0,0,,0,,,60,127
5471,note_off,100,0,0,,5,,,77,127
5473,note_off,2,0,0,,0,,,60,127
5475,note_on,2,0,0,,10,,,57,127
5682,note_off,207,0,0,,10,,,57,127
5684,note_on,2,0,0,,5,,,65,127
5891,note_off,207,0,0,,5,,,65,127
5893,note_on,2,0,0,,10,,,57,127
6100,note_off,207,0,0,,10,,,57,127
6102,note_on,2,0,0,,5,,,65,127
6102,note_on,0,0,0,,0,,,72,127
6309,note_off,207,0,0,,0,,,72,127
6309,note_off,0,0,0,,5,,,65,127
6311,note_on,2,0,0,,7,,,55,127
6311,note_on,0,0,0,,0,,,72,127
6379,note_off,68,0,0,,0,,,72,127
6381,note_on,2,0,0,,11,,,70,127
6449,note_off,68,0,0,,11,,,70,127
6451,note_on,2,0,0,,0,,,72,127
6519,note_off,68,0,0,,0,,,72,127
6519,note_off,0,0,0,,7,,,55,127
6521,note_on,2,0,0,,4,,,64,127
6521,note_on,0,0,0,,11,,,70,127
6589,note_off,68,0,0,,11,,,70,127
6591,note_on,2,0,0,,0,,,72,127
6659,note_off,68,0,0,,0,,,72,127
6661,note_on,2,0,0,,11,,,70,127
6729,note_off,68,0,0,,11,,,70,127
6729,note_off,0,0,0,,4,,,64,127
6731,note_on,2,0,0,,5,,,53,127
6731,note_on,0,0,0,,10,,,69,127
6938,note_off,207,0,0,,10,,,69,127
6938,note_off,0,0,0,,5,,,53,127
