tick,type,key,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,note,velocity
4640,note_on,,10,0,1,,,,,,,,,,,,,,0,55,0
4642,note_on,,2,0,1,,,,,,,,,,,,,,0,76,50
4660,note_on,,18,0,1,,,,,,,,,,,,,,0,77,0
4746,note_on,,86,0,1,,,,,,,,,,,,,,0,74,64
4758,note_on,,12,0,1,,,,,,,,,,,,,,0,76,0
4792,note_on,,34,0,1,,,,,,,,,,,,,,0,74,0
4814,control_change,,22,0,1,,,,,,,,,,,,64,0,0,,
4816,note_on,,2,0,1,,,,,,,,,,,,,,0,62,0
4860,note_on,,44,0,1,,,,,,,,,,,,,,0,74,72
4868,note_on,,8,0,1,,,,,,,,,,,,,,0,57,43
4872,note_on,,4,0,1,,,,,,,,,,,,,,0,64,0
5114,note_on,,242,0,1,,,,,,,,,,,,,,0,61,62
5170,note_on,,56,0,1,,,,,,,,,,,,,,0,57,0
5352,note_on,,182,0,1,,,,,,,,,,,,,,0,73,44
5358,note_on,,6,0,1,,,,,,,,,,,,,,0,64,66
5364,note_on,,6,0,1,,,,,,,,,,,,,,0,61,0
5422,note_on,,58,0,1,,,,,,,,,,,,,,0,74,0
5594,note_on,,172,0,1,,,,,,,,,,,,,,0,64,0
5620,note_on,,26,0,1,,,,,,,,,,,,,,0,69,39
5724,note_on,,104,0,1,,,,,,,,,,,,,,0,69,0
5744,note_on,,20,0,1,,,,,,,,,,,,,,0,67,49
5838,note_on,,94,0,1,,,,,,,,,,,,,,0,67,0
5868,note_on,,30,0,1,,,,,,,,,,,,,,0,65,29
5974,note_on,,106,0,1,,,,,,,,,,,,,,0,65,0
5976,note_on,,2,0,1,,,,,,,,,,,,,,0,64,42
6056,note_on,,80,0,1,,,,,,,,,,,,,,0,64,0
6080,note_on,,24,0,1,,,,,,,,,,,,,,0,73,0
6094,note_on,,14,0,1,,,,,,,,,,,,,,0,81,51
6100,note_on,,6,0,1,,,,,,,,,,,,,,0,62,38
6220,note_on,,120,0,1,,,,,,,,,,,,,,0,81,0
6276,note_on,,56,0,1,,,,,,,,,,,,,,0,62,0
6366,note_on,,90,0,1,,,,,,,,,,,,,,0,72,60
6376,note_on,,10,0,1,,,,,,,,,,,,,,0,67,32
