tick,type,time,meta,track,program,channel,pitch,tempo,note,velocity
0,copyright,0,1,0,,,,,,
0,program_change,0,0,0,6,0,,,,
0,pitchwheel,0,0,0,,0,0,,,
0,program_change,0,0,0,6,1,,,,
0,pitchwheel,0,0,0,,1,-590,,,
0,program_change,0,0,0,6,2,,,,
0,pitchwheel,0,0,0,,2,-272,,,
0,program_change,0,0,0,6,3,,,,
0,pitchwheel,0,0,0,,3,-353,,,
0,program_change,0,0,0,6,4,,,,
0,pitchwheel,0,0,0,,4,-560,,,
0,program_change,0,0,0,6,5,,,,
0,pitchwheel,0,0,0,,5,-80,,,
0,program_change,0,0,0,6,6,,,,
0,pitchwheel,0,0,0,,6,-625,,,
0,program_change,0,0,0,6,7,,,,
0,pitchwheel,0,0,0,,7,-130,,,
0,program_change,0,0,0,6,8,,,,
0,pitchwheel,0,0,0,,8,-512,,,
0,program_change,0,0,0,6,10,,,,
0,pitchwheel,0,0,0,,10,-464,,,
0,program_change,0,0,0,6,11,,,,
0,pitchwheel,0,0,0,,11,-208,,,
0,program_change,0,0,0,6,12,,,,
0,pitchwheel,0,0,0,,12,-553,,,
0,set_tempo,0,1,0,,,,500000,,
144,note_on,144,0,0,,2,,,50,127
144,note_on,0,0,0,,10,,,57,127
144,note_on,0,0,0,,2,,,62,127
144,note_on,0,0,0,,2,,,74,127
238,note_off,94,0,0,,2,,,74,127
240,note_on,2,0,0,,4,,,76,127
334,note_off,94,0,0,,4,,,76,127
336,note_on,2,0,0,,5,,,77,127
430,note_off,94,0,0,,5,,,77,127
432,note_on,2,0,0,,4,,,76,127
718,note_off,286,0,0,,4,,,76,127
720,note_on,2,0,0,,2,,,74,127
1006,note_off,286,0,0,,2,,,74,127
1006,note_off,0,0,0,,2,,,62,127
1006,note_off,0,0,0,,10,,,57,127
1006,note_off,0,0,0,,2,,,50,127
1008,note_on,2,0,0,,11,,,58,127
1008,note_on,0,0,0,,7,,,55,127
1008,note_on,0,0,0,,2,,,62,127
1008,note_on,0,0,0,,11,,,82,127
1294,note_off,286,0,0,,11,,,82,127
1296,note_on,2,0,0,,1,,,73,127
1582,note_off,286,0,0,,1,,,73,127
1584,note_on,2,0,0,,2,,,74,127
1839,note_off,255,0,0,,2,,,74,127
1871,note_off,32,0,0,,2,,,62,127
1871,note_off,0,0,0,,7,,,55,127
1871,note_off,0,0,0,,11,,,58,127
1873,note_on,2,0,0,,1,,,61,127
1873,note_on,0,0,0,,10,,,57,127
1873,note_on,0,0,0,,7,,,55,127
1873,note_on,0,0,0,,4,,,64,127
1873,note_on,0,0,0,,4,,,76,127
1967,note_off,94,0,0,,4,,,76,127
1969,note_on,2,0,0,,5,,,77,127
2063,note_off,94,0,0,,5,,,77,127
2065,note_on,2,0,0,,7,,,79,127
2159,note_off,94,0,0,,7,,,79,127
2161,note_on,2,0,0,,5,,,77,127
2447,note_off,286,0,0,,5,,,77,127
2449,note_on,2,0,0,,4,,,76,127
2735,note_off,286,0,0,,4,,,76,127
2735,note_off,0,0,0,,4,,,64,127
2735,note_off,0,0,0,,7,,,55,127
2735,note_off,0,0,0,,10,,,57,127
2735,note_off,0,0,0,,1,,,61,127
2737,note_on,2,0,0,,5,,,53,127
2737,note_on,0,0,0,,2,,,62,127
2737,note_on,0,0,0,,10,,,57,127
2737,note_on,0,0,0,,10,,,81,127
3023,note_off,286,0,0,,10,,,81,127
3025,note_on,2,0,0,,8,,,68,127
3311,note_off,286,0,0,,8,,,68,127
3313,note_on,2,0,0,,10,,,69,127
3575,note_off,262,0,0,,10,,,69,127
3599,note_off,24,0,0,,10,,,57,127
3599,note_off,0,0,0,,2,,,62,127
3599,note_off,0,0,0,,5,,,53,127
3601,note_on,2,0,0,,7,,,55,127
3601,note_on,0,0,0,,4,,,52,127
3601,note_on,0,0,0,,1,,,61,127
3601,note_on,0,0,0,,10,,,57,127
3601,note_on,0,0,0,,1,,,73,127
3695,note_off,94,0,0,,1,,,73,127
3697,note_on,2,0,0,,2,,,74,127
3791,note_off,94,0,0,,2,,,74,127
3793,note_on,2,0,0,,4,,,76,127
3887,note_off,94,0,0,,4,,,76,127
3889,note_on,2,0,0,,2,,,74,127
4175,note_off,286,0,0,,2,,,74,127
4177,note_on,2,0,0,,1,,,73,127
4463,note_off,286,0,0,,1,,,73,127
4463,note_off,0,0,0,,10,,,57,127
4463,note_off,0,0,0,,1,,,61,127
4463,note_off,0,0,0,,4,,,52,127
4463,note_off,0,0,0,,7,,,55,127
4465,note_on,2,0,0,,2,,,62,127
4465,note_on,0,0,0,,5,,,53,127
4465,note_on,0,0,0,,2,,,74,127
4751,note_off,286,0,0,,2,,,62,127
4753,note_on,2,0,0,,5,,,41,127
4753,note_on,0,0,0,,10,,,69,127
4825,note_off,72,0,0,,2,,,74,127
5035,note_off,210,0,0,,5,,,53,127
5039,note_off,4,0,0,,10,,,69,127
5039,note_off,0,0,0,,5,,,41,127
5041,note_on,2,0,0,,7,,,43,127
5041,note_on,0,0,0,,7,,,67,127
5327,note_off,286,0,0,,7,,,67,127
5327,note_off,0,0,0,,7,,,43,127
5329,note_on,2,0,0,,10,,,45,127
5329,note_on,0,0,0,,5,,,65,127
5471,note_off,142,0,0,,5,,,65,127
5473,note_on,2,0,0,,7,,,67,127
5615,note_off,142,0,0,,7,,,67,127
5617,note_on,2,0,0,,5,,,65,127
5903,note_off,286,0,0,,5,,,65,127
5903,note_off,0,0,0,,10,,,45,127
5905,note_on,2,0,0,,10,,,45,127
5905,note_on,0,0,0,,4,,,64,127
6191,note_off,286,0,0,,4,,,64,127
6191,note_off,0,0,0,,10,,,45,127
6193,note_on,2,0,0,,2,,,38,127
6193,note_on,0,0,0,,2,,,62,127
6853,note_off,660,0,0,,2,,,38,127
7055,note_off,202,0,0,,2,,,62,127
7057,note_on,2,0,0,,2,,,50,127
7057,note_on,0,0,0,,2,,,62,127
7057,note_on,0,0,0,,10,,,57,127
7057,note_on,0,0,0,,2,,,74,127
7199,note_off,142,0,0,,2,,,74,127
7201,note_on,2,0,0,,4,,,76,127
7343,note_off,142,0,0,,4,,,76,127
7345,note_on,2,0,0,,5,,,77,127
7487,note_off,142,0,0,,5,,,77,127
7489,note_on,2,0,0,,4,,,76,127
7631,note_off,142,0,0,,4,,,76,127
7633,note_on,2,0,0,,2,,,74,127
7919,note_off,286,0,0,,2,,,74,127
7919,note_off,0,0,0,,10,,,57,127
7919,note_off,0,0,0,,2,,,62,127
7919,note_off,0,0,0,,2,,,50,127
7921,note_on,2,0,0,,7,,,55,127
7921,note_on,0,0,0,,11,,,82,127
8207,note_off,286,0,0,,11,,,82,127
8207,note_off,0,0,0,,7,,,55,127
8209,note_on,2,0,0,,11,,,58,127
8209,note_on,0,0,0,,1,,,73,127
8495,note_off,286,0,0,,1,,,73,127
8495,note_off,0,0,0,,11,,,58,127
