tick,type,time,meta,track,program,channel,pitch,tempo,note,velocity
0,copyright,0,1,0,,,,,,
0,program_change,0,0,0,6,0,,,,
0,pitchwheel,0,0,0,,0,0,,,
0,program_change,0,0,0,6,1,,,,
0,pitchwheel,0,0,0,,1,-590,,,
0,program_change,0,0,0,6,2,,,,
0,pitchwheel,0,0,0,,2,-272,,,
0,program_change,0,0,0,6,3,,,,
0,pitchwheel,0,0,0,,3,-353,,,
0,program_change,0,0,0,6,4,,,,
0,pitchwheel,0,0,0,,4,-560,,,
0,program_change,0,0,0,6,5,,,,
0,pitchwheel,0,0,0,,5,-80,,,
0,program_change,0,0,0,6,6,,,,
0,pitchwheel,0,0,0,,6,-625,,,
0,program_change,0,0,0,6,7,,,,
0,pitchwheel,0,0,0,,7,-130,,,
0,program_change,0,0,0,6,8,,,,
0,pitchwheel,0,0,0,,8,-512,,,
0,program_change,0,0,0,6,10,,,,
0,pitchwheel,0,0,0,,10,-464,,,
0,program_change,0,0,0,6,11,,,,
0,pitchwheel,0,0,0,,11,-208,,,
0,program_change,0,0,0,6,12,,,,
0,pitchwheel,0,0,0,,12,-553,,,
0,set_tempo,0,1,0,,,,500000,,
121,note_on,121,0,0,,2,,,50,127
121,note_on,0,0,0,,12,,,83,127
159,note_off,38,0,0,,12,,,83,127
162,note_on,3,0,0,,10,,,81,127
200,note_off,38,0,0,,10,,,81,127
203,note_on,3,0,0,,12,,,83,127
241,note_off,38,0,0,,12,,,83,127
244,note_on,3,0,0,,10,,,81,127
363,note_off,119,0,0,,2,,,50,127
366,note_on,3,0,0,,6,,,54,127
606,note_off,240,0,0,,6,,,54,127
609,note_on,3,0,0,,10,,,57,127
849,note_off,240,0,0,,10,,,57,127
849,note_off,0,0,0,,10,,,81,127
852,note_on,3,0,0,,2,,,62,127
852,note_on,0,0,0,,12,,,83,127
1092,note_off,240,0,0,,12,,,83,127
1092,note_off,0,0,0,,2,,,62,127
1095,note_on,3,0,0,,6,,,66,127
1095,note_on,0,0,0,,10,,,81,127
1335,note_off,240,0,0,,6,,,66,127
1338,note_on,3,0,0,,10,,,69,127
1578,note_off,240,0,0,,10,,,69,127
1578,note_off,0,0,0,,10,,,81,127
1581,note_on,3,0,0,,7,,,67,127
1581,note_on,0,0,0,,11,,,82,127
1581,note_on,0,0,0,,12,,,83,127
1702,note_off,121,0,0,,12,,,83,127
1821,note_off,119,0,0,,11,,,82,127
1824,note_on,3,0,0,,12,,,83,127
2064,note_off,240,0,0,,12,,,83,127
2067,note_on,3,0,0,,7,,,79,127
2307,note_off,240,0,0,,7,,,79,127
2307,note_off,0,0,0,,7,,,67,127
2310,note_on,3,0,0,,7,,,67,127
2310,note_on,0,0,0,,4,,,76,127
2310,note_on,0,0,0,,3,,,75,127
2431,note_off,121,0,0,,4,,,76,127
2550,note_off,119,0,0,,3,,,75,127
2553,note_on,3,0,0,,4,,,76,127
2793,note_off,240,0,0,,4,,,76,127
2796,note_on,3,0,0,,12,,,71,127
3036,note_off,240,0,0,,12,,,71,127
3036,note_off,0,0,0,,7,,,67,127
3039,note_on,3,0,0,,7,,,67,127
3039,note_on,0,0,0,,2,,,74,127
3097,note_off,58,0,0,,2,,,74,127
3100,note_on,3,0,0,,1,,,73,127
3158,note_off,58,0,0,,1,,,73,127
3161,note_on,3,0,0,,12,,,71,127
3219,note_off,58,0,0,,12,,,71,127
3222,note_on,3,0,0,,1,,,73,127
3280,note_off,58,0,0,,1,,,73,127
3280,note_off,0,0,0,,7,,,67,127
3283,note_on,3,0,0,,6,,,66,127
3283,note_on,0,0,0,,2,,,74,127
3523,note_off,240,0,0,,6,,,66,127
3526,note_on,3,0,0,,2,,,62,127
3766,note_off,240,0,0,,2,,,62,127
3767,note_off,1,0,0,,2,,,74,127
3768,note_on,1,0,0,,4,,,64,127
4008,note_off,240,0,0,,4,,,64,127
4011,note_on,3,0,0,,1,,,61,127
4132,note_on,121,0,0,,4,,,76,127
4190,note_off,58,0,0,,4,,,76,127
4193,note_on,3,0,0,,6,,,78,127
4251,note_off,58,0,0,,6,,,78,127
4251,note_off,0,0,0,,1,,,61,127
4254,note_on,3,0,0,,10,,,57,127
4254,note_on,0,0,0,,10,,,81,127
4312,note_off,58,0,0,,10,,,81,127
4315,note_on,3,0,0,,7,,,79,127
4373,note_off,58,0,0,,7,,,79,127
4376,note_on,3,0,0,,6,,,78,127
4434,note_off,58,0,0,,6,,,78,127
4437,note_on,3,0,0,,7,,,79,127
4495,note_off,58,0,0,,7,,,79,127
4495,note_off,0,0,0,,10,,,57,127
4498,note_on,3,0,0,,2,,,62,127
4498,note_on,0,0,0,,6,,,78,127
4576,note_off,78,0,0,,6,,,78,127
4579,note_on,3,0,0,,2,,,86,127
4657,note_off,78,0,0,,2,,,86,127
4660,note_on,3,0,0,,10,,,81,127
4738,note_off,78,0,0,,10,,,81,127
4741,note_on,3,0,0,,6,,,78,127
4819,note_off,78,0,0,,6,,,78,127
4822,note_on,3,0,0,,2,,,74,127
4900,note_off,78,0,0,,2,,,74,127
4903,note_on,3,0,0,,1,,,73,127
4981,note_off,78,0,0,,1,,,73,127
4981,note_off,0,0,0,,2,,,62,127
4984,note_on,3,0,0,,6,,,66,127
4984,note_on,0,0,0,,2,,,74,127
5224,note_off,240,0,0,,6,,,66,127
5227,note_on,3,0,0,,4,,,64,127
5348,note_off,121,0,0,,2,,,74,127
5467,note_off,119,0,0,,4,,,64,127
5470,note_on,3,0,0,,1,,,61,127
5591,note_on,121,0,0,,4,,,76,127
5649,note_off,58,0,0,,4,,,76,127
5652,note_on,3,0,0,,6,,,78,127
5710,note_off,58,0,0,,6,,,78,127
5710,note_off,0,0,0,,1,,,61,127
5713,note_on,3,0,0,,10,,,57,127
5713,note_on,0,0,0,,10,,,81,127
5771,note_off,58,0,0,,10,,,81,127
5774,note_on,3,0,0,,7,,,79,127
5832,note_off,58,0,0,,7,,,79,127
5835,note_on,3,0,0,,6,,,78,127
5893,note_off,58,0,0,,6,,,78,127
5896,note_on,3,0,0,,7,,,79,127
5954,note_off,58,0,0,,7,,,79,127
5954,note_off,0,0,0,,10,,,57,127
5957,note_on,3,0,0,,2,,,62,127
5957,note_on,0,0,0,,6,,,78,127
6035,note_off,78,0,0,,6,,,78,127
6038,note_on,3,0,0,,2,,,86,127
6116,note_off,78,0,0,,2,,,86,127
6119,note_on,3,0,0,,10,,,81,127
6197,note_off,78,0,0,,10,,,81,127
6200,note_on,3,0,0,,6,,,78,127
6278,note_off,78,0,0,,6,,,78,127
6281,note_on,3,0,0,,2,,,74,127
6359,note_off,78,0,0,,2,,,74,127
6362,note_on,3,0,0,,1,,,73,127
6440,note_off,78,0,0,,1,,,73,127
6440,note_off,0,0,0,,2,,,62,127
6443,note_on,3,0,0,,6,,,66,127
6443,note_on,0,0,0,,2,,,74,127
