tick,type,time,meta,track,program,channel,pitch,tempo,note,velocity
0,copyright,0,1,0,,,,,,
0,program_change,0,0,0,6,0,,,,
0,pitchwheel,0,0,0,,0,0,,,
0,program_change,0,0,0,6,1,,,,
0,pitchwheel,0,0,0,,1,-590,,,
0,program_change,0,0,0,6,2,,,,
0,pitchwheel,0,0,0,,2,-272,,,
0,program_change,0,0,0,6,3,,,,
0,pitchwheel,0,0,0,,3,-353,,,
0,program_change,0,0,0,6,4,,,,
0,pitchwheel,0,0,0,,4,-560,,,
0,program_change,0,0,0,6,5,,,,
0,pitchwheel,0,0,0,,5,-80,,,
0,program_change,0,0,0,6,6,,,,
0,pitchwheel,0,0,0,,6,-625,,,
0,program_change,0,0,0,6,7,,,,
0,pitchwheel,0,0,0,,7,-130,,,
0,program_change,0,0,0,6,8,,,,
0,pitchwheel,0,0,0,,8,-512,,,
0,program_change,0,0,0,6,10,,,,
0,pitchwheel,0,0,0,,10,-464,,,
0,program_change,0,0,0,6,11,,,,
0,pitchwheel,0,0,0,,11,-208,,,
0,program_change,0,0,0,6,12,,,,
0,pitchwheel,0,0,0,,12,-553,,,
0,set_tempo,0,1,0,,,,500000,,
121,note_on,121,0,0,,7,,,67,127
192,note_off,71,0,0,,7,,,67,127
234,note_on,42,0,0,,7,,,67,127
364,note_on,130,0,0,,11,,,70,127
385,note_off,21,0,0,,7,,,67,127
484,note_off,99,0,0,,11,,,70,127
485,note_on,1,0,0,,10,,,69,127
605,note_off,120,0,0,,10,,,69,127
606,note_on,1,0,0,,0,,,72,127
726,note_off,120,0,0,,0,,,72,127
727,note_on,1,0,0,,11,,,70,127
847,note_off,120,0,0,,11,,,70,127
848,note_on,1,0,0,,2,,,74,127
968,note_off,120,0,0,,2,,,74,127
969,note_on,1,0,0,,0,,,72,127
1089,note_off,120,0,0,,0,,,72,127
1090,note_on,1,0,0,,7,,,55,127
1090,note_on,0,0,0,,3,,,75,127
1201,note_off,111,0,0,,7,,,55,127
1210,note_off,9,0,0,,3,,,75,127
1211,note_on,1,0,0,,7,,,55,127
1211,note_on,0,0,0,,2,,,74,127
1331,note_off,120,0,0,,7,,,55,127
1332,note_on,1,0,0,,11,,,58,127
1452,note_off,120,0,0,,11,,,58,127
1453,note_on,1,0,0,,10,,,57,127
1573,note_off,120,0,0,,10,,,57,127
1574,note_on,1,0,0,,0,,,60,127
1694,note_off,120,0,0,,0,,,60,127
1695,note_on,1,0,0,,11,,,58,127
1815,note_off,120,0,0,,11,,,58,127
1816,note_on,1,0,0,,2,,,62,127
1936,note_off,120,0,0,,2,,,62,127
1936,note_off,0,0,0,,2,,,74,127
1937,note_on,1,0,0,,0,,,60,127
1937,note_on,0,0,0,,7,,,79,127
2057,note_off,120,0,0,,0,,,60,127
2058,note_on,1,0,0,,3,,,63,127
2178,note_off,120,0,0,,3,,,63,127
2178,note_off,0,0,0,,7,,,79,127
2179,note_on,1,0,0,,2,,,62,127
2179,note_on,0,0,0,,6,,,78,127
2299,note_off,120,0,0,,2,,,62,127
2300,note_on,1,0,0,,6,,,66,127
2420,note_off,120,0,0,,6,,,66,127
2420,note_off,0,0,0,,6,,,78,127
2421,note_on,1,0,0,,4,,,64,127
2421,note_on,0,0,0,,7,,,79,127
2541,note_off,120,0,0,,4,,,64,127
2542,note_on,1,0,0,,7,,,67,127
2662,note_off,120,0,0,,7,,,67,127
2662,note_off,0,0,0,,7,,,79,127
2663,note_on,1,0,0,,6,,,66,127
2663,note_on,0,0,0,,10,,,81,127
2783,note_off,120,0,0,,6,,,66,127
2784,note_on,1,0,0,,10,,,69,127
2904,note_off,120,0,0,,10,,,69,127
2904,note_off,0,0,0,,10,,,81,127
2905,note_on,1,0,0,,2,,,62,127
2905,note_on,0,0,0,,0,,,72,127
3025,note_off,120,0,0,,2,,,62,127
3026,note_on,1,0,0,,6,,,66,127
3146,note_off,120,0,0,,6,,,66,127
3146,note_off,0,0,0,,0,,,72,127
3147,note_on,1,0,0,,7,,,55,127
3147,note_on,0,0,0,,11,,,70,127
3267,note_off,120,0,0,,7,,,55,127
3268,note_on,1,0,0,,11,,,58,127
3388,note_off,120,0,0,,11,,,58,127
3388,note_off,0,0,0,,11,,,70,127
3389,note_on,1,0,0,,10,,,57,127
3389,note_on,0,0,0,,0,,,72,127
3509,note_off,120,0,0,,10,,,57,127
3510,note_on,1,0,0,,0,,,60,127
3630,note_off,120,0,0,,0,,,60,127
3630,note_off,0,0,0,,0,,,72,127
3631,note_on,1,0,0,,11,,,58,127
3631,note_on,0,0,0,,2,,,74,127
3751,note_off,120,0,0,,11,,,58,127
3752,note_on,1,0,0,,2,,,62,127
3872,note_off,120,0,0,,2,,,62,127
3872,note_off,0,0,0,,2,,,74,127
3873,note_on,1,0,0,,0,,,60,127
3873,note_on,0,0,0,,7,,,67,127
3993,note_off,120,0,0,,0,,,60,127
3994,note_on,1,0,0,,3,,,63,127
4114,note_off,120,0,0,,3,,,63,127
4114,note_off,0,0,0,,7,,,67,127
4115,note_on,1,0,0,,2,,,50,127
4115,note_on,0,0,0,,6,,,66,127
4235,note_off,120,0,0,,2,,,50,127
4236,note_on,1,0,0,,6,,,54,127
4356,note_off,120,0,0,,6,,,54,127
4356,note_off,0,0,0,,6,,,66,127
4357,note_on,1,0,0,,4,,,52,127
4357,note_on,0,0,0,,7,,,67,127
4477,note_off,120,0,0,,4,,,52,127
4478,note_on,1,0,0,,7,,,55,127
4598,note_off,120,0,0,,7,,,55,127
4598,note_off,0,0,0,,7,,,67,127
4599,note_on,1,0,0,,6,,,54,127
4599,note_on,0,0,0,,10,,,69,127
4719,note_off,120,0,0,,6,,,54,127
4720,note_on,1,0,0,,10,,,57,127
4840,note_off,120,0,0,,10,,,57,127
4840,note_off,0,0,0,,10,,,69,127
4841,note_on,1,0,0,,2,,,50,127
4841,note_on,0,0,0,,0,,,60,127
4961,note_off,120,0,0,,2,,,50,127
4962,note_on,1,0,0,,6,,,54,127
5082,note_off,120,0,0,,6,,,54,127
5082,note_off,0,0,0,,0,,,60,127
5083,note_on,1,0,0,,7,,,43,127
5083,note_on,0,0,0,,11,,,58,127
5203,note_off,120,0,0,,7,,,43,127
5204,note_on,1,0,0,,11,,,46,127
5324,note_off,120,0,0,,11,,,46,127
5324,note_off,0,0,0,,11,,,58,127
5325,note_on,1,0,0,,10,,,45,127
5325,note_on,0,0,0,,0,,,60,127
5445,note_off,120,0,0,,10,,,45,127
5446,note_on,1,0,0,,0,,,48,127
5566,note_off,120,0,0,,0,,,48,127
5566,note_off,0,0,0,,0,,,60,127
5567,note_on,1,0,0,,11,,,46,127
5567,note_on,0,0,0,,2,,,62,127
5687,note_off,120,0,0,,11,,,46,127
5688,note_on,1,0,0,,2,,,50,127
5808,note_off,120,0,0,,2,,,50,127
5808,note_off,0,0,0,,2,,,62,127
