tick,type,key,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,note,velocity
0,key_signature,C,0,1,0,,,,,,,,,,,,,,,,
0,smpte_offset,,0,1,0,25,32,0,0,0,0,,,,,,,,,,
0,set_tempo,,0,1,0,,,,,,,500000,,,,,,,,,
0,time_signature,,0,1,0,,,,,,,,4,4,24,8,,,,,
0,end_of_track,,0,1,0,,,,,,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,,,,,,,64,127,0,,
0,control_change,,0,0,1,,,,,,,,,,,,64,0,0,,
0,control_change,,0,0,1,,,,,,,,,,,,64,127,0,,
0,note_on,,0,0,1,,,,,,,,,,,,,,0,83,79
210,note_on,,210,0,1,,,,,,,,,,,,,,0,83,0
224,note_on,,14,0,1,,,,,,,,,,,,,,0,81,43
282,note_on,,58,0,1,,,,,,,,,,,,,,0,81,0
282,note_on,,0,0,1,,,,,,,,,,,,,,0,80,68
334,note_on,,52,0,1,,,,,,,,,,,,,,0,80,0
474,control_change,,140,0,1,,,,,,,,,,,,64,0,0,,
562,note_on,,88,0,1,,,,,,,,,,,,,,0,78,55
565,note_on,,3,0,1,,,,,,,,,,,,,,0,81,67
840,note_on,,275,0,1,,,,,,,,,,,,,,0,78,0
862,note_on,,22,0,1,,,,,,,,,,,,,,0,75,32
958,note_on,,96,0,1,,,,,,,,,,,,,,0,75,0
966,control_change,,8,0,1,,,,,,,,,,,,64,127,0,,
1146,note_on,,180,0,1,,,,,,,,,,,,,,0,80,61
1149,note_on,,3,0,1,,,,,,,,,,,,,,0,81,0
1149,control_change,,0,0,1,,,,,,,,,,,,64,0,0,,
1158,note_on,,9,0,1,,,,,,,,,,,,,,0,76,39
1238,note_on,,80,0,1,,,,,,,,,,,,,,0,76,0
1446,note_on,,208,0,1,,,,,,,,,,,,,,0,71,47
1480,note_on,,34,0,1,,,,,,,,,,,,,,0,80,0
1502,note_on,,22,0,1,,,,,,,,,,,,,,0,71,0
1502,control_change,,0,0,1,,,,,,,,,,,,64,127,0,,
1718,control_change,,216,0,1,,,,,,,,,,,,64,0,0,,
1750,note_on,,32,0,1,,,,,,,,,,,,,,0,71,60
1750,note_on,,0,0,1,,,,,,,,,,,,,,0,78,62
1800,note_on,,50,0,1,,,,,,,,,,,,,,0,78,0
1812,note_on,,12,0,1,,,,,,,,,,,,,,0,80,57
1866,note_on,,54,0,1,,,,,,,,,,,,,,0,80,0
1866,note_on,,0,0,1,,,,,,,,,,,,,,0,78,52
1936,note_on,,70,0,1,,,,,,,,,,,,,,0,78,0
1952,note_on,,16,0,1,,,,,,,,,,,,,,0,80,40
