tick,type,time,meta,track,program,channel,pitch,tempo,note,velocity
0,copyright,0,1,0,,,,,,
0,program_change,0,0,0,6,0,,,,
0,pitchwheel,0,0,0,,0,0,,,
0,program_change,0,0,0,6,1,,,,
0,pitchwheel,0,0,0,,1,-590,,,
0,program_change,0,0,0,6,2,,,,
0,pitchwheel,0,0,0,,2,-272,,,
0,program_change,0,0,0,6,3,,,,
0,pitchwheel,0,0,0,,3,-353,,,
0,program_change,0,0,0,6,4,,,,
0,pitchwheel,0,0,0,,4,-560,,,
0,program_change,0,0,0,6,5,,,,
0,pitchwheel,0,0,0,,5,-80,,,
0,program_change,0,0,0,6,6,,,,
0,pitchwheel,0,0,0,,6,-625,,,
0,program_change,0,0,0,6,7,,,,
0,pitchwheel,0,0,0,,7,-130,,,
0,program_change,0,0,0,6,8,,,,
0,pitchwheel,0,0,0,,8,-512,,,
0,program_change,0,0,0,6,10,,,,
0,pitchwheel,0,0,0,,10,-464,,,
0,program_change,0,0,0,6,11,,,,
0,pitchwheel,0,0,0,,11,-208,,,
0,program_change,0,0,0,6,12,,,,
0,pitchwheel,0,0,0,,12,-553,,,
0,set_tempo,0,1,0,,,,500000,,
115,note_on,115,0,0,,7,,,55,127
115,note_on,0,0,0,,12,,,71,127
115,note_on,0,0,0,,7,,,79,127
173,note_on,58,0,0,,10,,,81,127
191,note_off,18,0,0,,7,,,79,127
231,note_on,40,0,0,,12,,,83,127
249,note_off,18,0,0,,10,,,81,127
289,note_on,40,0,0,,10,,,81,127
307,note_off,18,0,0,,12,,,83,127
347,note_on,40,0,0,,7,,,79,127
365,note_off,18,0,0,,10,,,81,127
576,note_off,211,0,0,,7,,,55,127
577,note_on,1,0,0,,7,,,67,127
806,note_off,229,0,0,,7,,,67,127
806,note_off,0,0,0,,7,,,79,127
806,note_off,0,0,0,,12,,,71,127
807,note_on,1,0,0,,0,,,72,127
807,note_on,0,0,0,,4,,,76,127
1036,note_off,229,0,0,,4,,,76,127
1036,note_off,0,0,0,,0,,,72,127
1037,note_on,1,0,0,,12,,,71,127
1037,note_on,0,0,0,,2,,,74,127
1266,note_off,229,0,0,,2,,,74,127
1266,note_off,0,0,0,,12,,,71,127
1267,note_on,1,0,0,,10,,,69,127
1267,note_on,0,0,0,,0,,,72,127
1496,note_off,229,0,0,,0,,,72,127
1496,note_off,0,0,0,,10,,,69,127
1497,note_on,1,0,0,,7,,,67,127
1497,note_on,0,0,0,,7,,,79,127
1497,note_on,0,0,0,,12,,,71,127
1555,note_on,58,0,0,,0,,,72,127
1573,note_off,18,0,0,,12,,,71,127
1613,note_on,40,0,0,,2,,,74,127
1631,note_off,18,0,0,,0,,,72,127
1671,note_on,40,0,0,,0,,,72,127
1689,note_off,18,0,0,,2,,,74,127
1729,note_on,40,0,0,,12,,,71,127
1747,note_off,18,0,0,,0,,,72,127
1959,note_on,212,0,0,,7,,,55,127
2188,note_off,229,0,0,,7,,,55,127
2188,note_off,0,0,0,,12,,,71,127
2188,note_off,0,0,0,,7,,,79,127
2188,note_off,0,0,0,,7,,,67,127
2189,note_on,1,0,0,,0,,,60,127
2189,note_on,0,0,0,,10,,,81,127
2189,note_on,0,0,0,,0,,,72,127
2418,note_off,229,0,0,,0,,,72,127
2418,note_off,0,0,0,,10,,,81,127
2418,note_off,0,0,0,,0,,,60,127
2419,note_on,1,0,0,,2,,,62,127
2419,note_on,0,0,0,,12,,,71,127
2419,note_on,0,0,0,,7,,,79,127
2648,note_off,229,0,0,,7,,,79,127
2648,note_off,0,0,0,,12,,,71,127
2648,note_off,0,0,0,,2,,,62,127
2649,note_on,1,0,0,,2,,,50,127
2649,note_on,0,0,0,,10,,,69,127
2649,note_on,0,0,0,,6,,,78,127
2878,note_off,229,0,0,,6,,,78,127
2878,note_off,0,0,0,,10,,,69,127
2878,note_off,0,0,0,,2,,,50,127
2879,note_on,1,0,0,,7,,,55,127
2879,note_on,0,0,0,,7,,,79,127
2879,note_on,0,0,0,,12,,,71,127
2937,note_on,58,0,0,,10,,,81,127
2955,note_off,18,0,0,,7,,,79,127
2995,note_on,40,0,0,,12,,,83,127
3013,note_off,18,0,0,,10,,,81,127
3053,note_on,40,0,0,,10,,,81,127
3071,note_off,18,0,0,,12,,,83,127
3111,note_on,40,0,0,,7,,,79,127
3129,note_off,18,0,0,,10,,,81,127
3340,note_off,211,0,0,,7,,,55,127
3341,note_on,1,0,0,,7,,,67,127
3570,note_off,229,0,0,,7,,,67,127
3570,note_off,0,0,0,,7,,,79,127
3570,note_off,0,0,0,,12,,,71,127
3571,note_on,1,0,0,,0,,,72,127
3571,note_on,0,0,0,,4,,,76,127
3800,note_off,229,0,0,,4,,,76,127
3800,note_off,0,0,0,,0,,,72,127
3801,note_on,1,0,0,,12,,,71,127
3801,note_on,0,0,0,,2,,,74,127
4030,note_off,229,0,0,,2,,,74,127
4030,note_off,0,0,0,,12,,,71,127
4031,note_on,1,0,0,,10,,,69,127
4031,note_on,0,0,0,,0,,,72,127
4260,note_off,229,0,0,,0,,,72,127
4260,note_off,0,0,0,,10,,,69,127
4261,note_on,1,0,0,,7,,,67,127
4261,note_on,0,0,0,,7,,,79,127
4261,note_on,0,0,0,,12,,,71,127
4319,note_on,58,0,0,,0,,,72,127
4337,note_off,18,0,0,,12,,,71,127
4377,note_on,40,0,0,,2,,,74,127
4395,note_off,18,0,0,,0,,,72,127
4435,note_on,40,0,0,,0,,,72,127
4453,note_off,18,0,0,,2,,,74,127
4493,note_on,40,0,0,,12,,,71,127
4511,note_off,18,0,0,,0,,,72,127
4723,note_on,212,0,0,,7,,,55,127
4952,note_off,229,0,0,,7,,,55,127
4952,note_off,0,0,0,,12,,,71,127
4952,note_off,0,0,0,,7,,,79,127
4952,note_off,0,0,0,,7,,,67,127
4953,note_on,1,0,0,,0,,,60,127
4953,note_on,0,0,0,,0,,,72,127
4953,note_on,0,0,0,,10,,,69,127
5182,note_off,229,0,0,,10,,,69,127
5182,note_off,0,0,0,,0,,,72,127
5182,note_off,0,0,0,,0,,,60,127
5183,note_on,1,0,0,,2,,,62,127
5183,note_on,0,0,0,,12,,,71,127
5183,note_on,0,0,0,,7,,,67,127
5412,note_off,229,0,0,,7,,,67,127
5412,note_off,0,0,0,,12,,,71,127
5413,note_on,1,0,0,,2,,,50,127
5413,note_on,0,0,0,,10,,,69,127
5413,note_on,0,0,0,,6,,,66,127
5639,note_off,226,0,0,,2,,,62,127
5643,note_off,4,0,0,,6,,,66,127
5643,note_off,0,0,0,,10,,,69,127
5643,note_off,0,0,0,,2,,,50,127
5644,note_on,1,0,0,,7,,,55,127
5644,note_on,0,0,0,,7,,,67,127
5702,note_on,58,0,0,,10,,,69,127
5720,note_off,18,0,0,,7,,,67,127
5760,note_on,40,0,0,,12,,,71,127
5778,note_off,18,0,0,,10,,,69,127
