tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,note,velocity,channel
3899,note_on,1,0,0,,,,,,51,127,0
3899,note_on,0,0,0,,,,,,63,127,0
3953,note_off,54,0,0,,,,,,63,127,0
3953,note_off,0,0,0,,,,,,51,127,0
3954,note_on,1,0,0,,,,,,50,127,0
3954,note_on,0,0,0,,,,,,62,127,0
4008,note_off,54,0,0,,,,,,62,127,0
4008,note_off,0,0,0,,,,,,50,127,0
4009,note_on,1,0,0,,,,,,51,127,0
4009,note_on,0,0,0,,,,,,63,127,0
4063,note_off,54,0,0,,,,,,63,127,0
4063,note_off,0,0,0,,,,,,51,127,0
4064,note_on,1,0,0,,,,,,48,127,0
4064,note_on,0,0,0,,,,,,60,127,0
4475,note_off,411,0,0,,,,,,60,127,0
4475,note_off,0,0,0,,,,,,48,127,0
4502,note_on,27,0,0,,,,,,63,127,0
4502,note_on,0,0,0,,,,,,72,127,0
4502,note_on,0,0,0,,,,,,67,127,0
4612,note_on,110,0,0,,,,,,48,127,0
4721,note_off,109,0,0,,,,,,48,127,0
4722,note_on,1,0,0,,,,,,51,127,0
4831,note_off,109,0,0,,,,,,51,127,0
4832,note_on,1,0,0,,,,,,55,127,0
4941,note_off,109,0,0,,,,,,55,127,0
4942,note_on,1,0,0,,,,,,60,127,0
5035,note_off,93,0,0,,,,,,63,127,0
5051,note_off,16,0,0,,,,,,60,127,0
5052,note_on,1,0,0,,,,,,63,127,0
5055,note_off,3,0,0,,,,,,72,127,0
5089,note_off,34,0,0,,,,,,67,127,0
5161,note_off,72,0,0,,,,,,63,127,0
5162,note_on,1,0,0,,,,,,67,127,0
5271,note_off,109,0,0,,,,,,67,127,0
5271,note_on,0,0,0,,,,,,72,127,0
5382,note_on,111,0,0,,,,,,67,127,0
5382,note_on,0,0,0,,,,,,75,127,0
5492,note_on,110,0,0,,,,,,48,127,0
5601,note_off,109,0,0,,,,,,48,127,0
5602,note_on,1,0,0,,,,,,51,127,0
5711,note_off,109,0,0,,,,,,51,127,0
5712,note_on,1,0,0,,,,,,55,127,0
5821,note_off,109,0,0,,,,,,55,127,0
5822,note_on,1,0,0,,,,,,60,127,0
5931,note_off,109,0,0,,,,,,60,127,0
5932,note_on,1,0,0,,,,,,63,127,0
5982,note_off,50,0,0,,,,,,72,127,0
6017,note_off,35,0,0,,,,,,67,127,0
6041,note_off,24,0,0,,,,,,63,127,0
6042,note_on,1,0,0,,,,,,67,127,0
6092,note_off,50,0,0,,,,,,75,127,0
6151,note_off,59,0,0,,,,,,67,127,0
6152,note_on,1,0,0,,,,,,72,127,0
6233,note_off,81,0,0,,,,,,72,127,0
6262,note_on,29,0,0,,,,,,75,127,0
6262,note_on,0,0,0,,,,,,72,127,0
6262,note_on,0,0,0,,,,,,79,127,0
6372,note_on,110,0,0,,,,,,48,127,0
6481,note_off,109,0,0,,,,,,48,127,0
6482,note_on,1,0,0,,,,,,51,127,0
6591,note_off,109,0,0,,,,,,51,127,0
6592,note_on,1,0,0,,,,,,55,127,0
6701,note_off,109,0,0,,,,,,55,127,0
6702,note_on,1,0,0,,,,,,60,127,0
6811,note_off,109,0,0,,,,,,60,127,0
6812,note_on,1,0,0,,,,,,63,127,0
6921,note_off,109,0,0,,,,,,63,127,0
6922,note_on,1,0,0,,,,,,67,127,0
6981,note_off,59,0,0,,,,,,75,127,0
7025,note_off,44,0,0,,,,,,72,127,0
7031,note_off,6,0,0,,,,,,67,127,0
7032,note_on,1,0,0,,,,,,72,127,0
7081,note_off,49,0,0,,,,,,79,127,0
7142,note_on,61,0,0,,,,,,79,127,0
7142,note_on,0,0,0,,,,,,75,127,0
7142,note_on,0,0,0,,,,,,84,127,0
7251,note_off,109,0,0,,,,,,72,127,0
7252,note_on,1,0,0,,,,,,48,127,0
7361,note_off,109,0,0,,,,,,48,127,0
7362,note_on,1,0,0,,,,,,51,127,0
7471,note_off,109,0,0,,,,,,51,127,0
7472,note_on,1,0,0,,,,,,55,127,0
7581,note_off,109,0,0,,,,,,55,127,0
7582,note_on,1,0,0,,,,,,60,127,0
7691,note_off,109,0,0,,,,,,60,127,0
7692,note_on,1,0,0,,,,,,63,127,0
7801,note_off,109,0,0,,,,,,63,127,0
