tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity,control,value
17052,note_on,,,,,10,0,1,,,0,64,36,,
17072,note_off,,,,,20,0,1,,,0,64,64,,
17111,note_off,,,,,39,0,1,,,0,69,64,,
17169,note_on,,,,,58,0,1,,,0,68,39,,
17214,note_off,,,,,45,0,1,,,0,68,64,,
17292,note_on,,,,,78,0,1,,,0,69,46,,
17400,note_on,,,,,108,0,1,,,0,52,32,,
17490,note_off,,,,,90,0,1,,,0,52,64,,
17508,note_on,,,,,18,0,1,,,0,76,46,,
17515,note_on,,,,,7,0,1,,,0,73,45,,
17520,note_on,,,,,5,0,1,,,0,49,40,,
17530,note_off,,,,,10,0,1,,,0,69,64,,
17610,note_off,,,,,80,0,1,,,0,49,64,,
17640,note_on,,,,,30,0,1,,,0,45,36,,
17730,note_off,,,,,90,0,1,,,0,45,64,,
17760,note_on,,,,,30,0,1,,,0,54,38,,
17775,note_off,,,,,15,0,1,,,0,73,64,,
17850,note_off,,,,,75,0,1,,,0,54,64,,
17880,note_on,,,,,30,0,1,,,0,50,36,,
17956,note_off,,,,,76,0,1,,,0,76,64,,
17970,note_off,,,,,14,0,1,,,0,50,64,,
17983,note_on,,,,,13,0,1,,,0,74,46,,
17997,note_on,,,,,14,0,1,,,0,71,45,,
18000,note_on,,,,,3,0,1,,,0,56,59,,
18090,note_off,,,,,90,0,1,,,0,56,64,,
18120,note_on,,,,,30,0,1,,,0,52,59,,
18210,note_off,,,,,90,0,1,,,0,52,64,,
18231,note_on,,,,,21,0,1,,,0,69,32,,
18231,note_on,,,,,0,0,1,,,0,73,49,,
18240,note_on,,,,,9,0,1,,,0,57,34,,
18242,note_off,,,,,2,0,1,,,0,71,64,,
18254,note_off,,,,,12,0,1,,,0,74,64,,
18330,note_off,,,,,76,0,1,,,0,57,64,,
18360,note_on,,,,,30,0,1,,,0,52,44,,
18450,note_off,,,,,90,0,1,,,0,52,64,,
18466,note_off,,,,,16,0,1,,,0,69,64,,
18480,note_on,,,,,14,0,1,,,0,59,56,,
18480,note_on,,,,,0,0,1,,,0,71,53,,
18488,note_off,,,,,8,0,1,,,0,73,64,,
18570,note_off,,,,,82,0,1,,,0,59,64,,
18600,note_on,,,,,30,0,1,,,0,52,34,,
18690,note_off,,,,,90,0,1,,,0,52,64,,
18720,note_on,,,,,0,0,1,,,0,61,54,,
18720,note_off,,,,,30,0,1,,,0,71,64,,
18726,note_on,,,,,6,0,1,,,0,69,55,,
18810,note_off,,,,,84,0,1,,,0,61,64,,
18840,note_on,,,,,30,0,1,,,0,52,41,,
18930,note_off,,,,,90,0,1,,,0,52,64,,
18942,note_on,,,,,12,0,1,,,0,63,31,,
18942,note_on,,,,,0,0,1,,,0,68,52,,
18960,note_on,,,,,18,0,1,,,0,63,50,,
18973,note_off,,,,,13,0,1,,,0,69,64,,
19037,note_off,,,,,64,0,1,,,0,63,64,,
19050,note_off,,,,,13,0,1,,,0,63,64,,
19067,note_off,,,,,17,0,1,,,0,68,64,,
19080,note_on,,,,,13,0,1,,,0,52,32,,
19170,note_off,,,,,90,0,1,,,0,52,64,,
19172,note_on,,,,,2,0,1,,,0,68,56,,
19178,note_on,,,,,6,0,1,,,0,64,36,,
19200,note_off,,,,,22,0,1,,,0,64,64,,
19200,note_off,,,,,0,0,1,,,0,68,64,,
19210,note_on,,,,,10,0,1,,,0,64,33,,
19216,note_on,,,,,6,0,1,,,0,68,34,,
19315,note_off,,,,,99,0,1,,,0,68,64,,
19326,note_on,,,,,11,0,1,,,0,71,42,,
19382,note_off,,,,,56,0,1,,,0,64,64,,
19435,note_on,,,,,53,0,1,,,0,68,49,,
19442,note_on,,,,,7,0,1,,,0,52,28,,
19454,note_off,,,,,12,0,1,,,0,71,64,,
19542,note_off,,,,,88,0,1,,,0,68,64,,
19553,note_on,,,,,11,0,1,,,0,64,42,,
19616,note_off,,,,,63,0,1,,,0,64,64,,
19683,note_on,,,,,67,0,1,,,0,73,49,,
19689,note_on,,,,,6,0,1,,,0,57,42,,
19712,note_off,,,,,23,0,1,,,0,52,64,,
19803,note_off,,,,,91,0,1,,,0,73,64,,
19803,note_on,,,,,0,0,1,,,0,69,53,,
19924,note_off,,,,,121,0,1,,,0,69,64,,
19925,note_on,,,,,1,0,1,,,0,75,61,,
19936,note_on,,,,,11,0,1,,,0,54,34,,
19942,note_off,,,,,6,0,1,,,0,57,64,,
20040,note_off,,,,,98,0,1,,,0,75,64,,
20040,note_on,,,,,0,0,1,,,0,71,60,,
20155,note_on,,,,,115,0,1,,,0,76,63,,
20162,note_on,,,,,0,0,1,,,0,56,43,,
20162,note_off,,,,,7,0,1,,,0,71,64,,
20162,note_off,,,,,0,0,1,,,0,54,64,,
20284,note_on,,,,,122,0,1,,,0,71,53,,
20291,note_off,,,,,7,0,1,,,0,76,64,,
20403,note_off,,,,,112,0,1,,,0,56,64,,
20404,note_on,,,,,1,0,1,,,0,68,52,,
20415,note_on,,,,,11,0,1,,,0,52,39,,
20517,note_off,,,,,102,0,1,,,0,71,64,,
20517,note_on,,,,,0,0,1,,,0,64,46,,
20532,note_off,,,,,15,0,1,,,0,68,64,,
20616,note_off,,,,,84,0,1,,,0,64,64,,
20644,note_on,,,,,28,0,1,,,0,73,61,,
20651,note_on,,,,,7,0,1,,,0,57,45,,
20677,note_off,,,,,26,0,1,,,0,52,64,,
20748,note_off,,,,,71,0,1,,,0,73,64,,
20748,note_on,,,,,0,0,1,,,0,69,53,,
20872,note_on,,,,,124,0,1,,,0,75,56,,
20880,note_off,,,,,8,0,1,,,0,69,64,,
20925,note_on,,,,,45,0,1,,,0,54,9,,
20930,note_off,,,,,5,0,1,,,0,57,64,,
20952,note_off,,,,,22,0,1,,,0,54,64,,
20978,note_off,,,,,26,0,1,,,0,75,64,,
20987,note_on,,,,,9,0,1,,,0,71,46,,
21120,note_on,,,,,133,0,1,,,0,56,53,,
21126,note_on,,,,,6,0,1,,,0,76,53,,
21133,note_off,,,,,7,0,1,,,0,71,64,,
21161,note_off,,,,,28,0,1,,,0,76,64,,
21243,note_off,,,,,82,0,1,,,0,56,64,,
21248,note_on,,,,,5,0,1,,,0,59,40,,
21360,note_on,,,,,112,0,1,,,0,80,56,,
21360,note_on,,,,,0,0,1,,,0,56,43,,
21368,note_off,,,,,8,0,1,,,0,59,64,,
21369,note_on,,,,,1,0,1,,,0,71,39,,
21447,control_change,,,,,8053,0,2,,,0,,,64,64
21479,note_off,,,,,110,0,1,,,0,56,64,,
21488,control_change,,,,,41,0,2,,,0,,,64,96
21490,note_on,,,,,11,0,1,,,0,52,45,,
21514,note_off,,,,,24,0,1,,,0,71,64,,
21540,control_change,,,,,52,0,2,,,0,,,64,127
21602,note_on,,,,,88,0,1,,,0,61,48,,
21719,note_off,,,,,117,0,1,,,0,61,64,,
21724,note_on,,,,,5,0,1,,,0,57,50,,
21729,note_off,,,,,5,0,1,,,0,52,64,,
21827,note_off,,,,,98,0,1,,,0,80,64,,
21840,note_on,,,,,0,0,1,,,0,69,50,,
21840,note_on,,,,,13,0,1,,,0,78,56,,
21851,note_on,,,,,11,0,1,,,0,63,45,,
21883,note_off,,,,,32,0,1,,,0,69,64,,
21924,control_change,,,,,384,0,2,,,0,,,64,96
21943,control_change,,,,,19,0,2,,,0,,,64,64
21960,note_off,,,,,77,0,1,,,0,63,64,,
