tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,key,control,value,channel,program,note,velocity
55660,control_change,15,0,2,,,,,,,7,68,1,,,
55660,control_change,20,0,6,,,,,,,7,48,11,,,
55660,control_change,20,0,3,,,,,,,7,68,0,,,
55662,note_off,882,0,9,,,,,,,,,7,,77,59
55668,note_off,8,0,3,,,,,,,,,0,,65,99
55668,note_off,8,0,4,,,,,,,,,12,,65,99
55680,note_on,30,0,8,,,,,,,,,6,,79,100
55680,note_on,12,0,4,,,,,,,,,12,,67,100
55680,note_on,0,0,7,,,,,,,,,4,,34,105
55680,control_change,12,0,3,,,,,,,7,69,0,,,
55680,note_on,0,0,3,,,,,,,,,0,,67,100
55680,note_off,960,0,7,,,,,,,,,4,,38,105
55680,note_on,0,0,5,,,,,,,,,3,,55,74
55680,note_off,1800,0,5,,,,,,,,,3,,53,98
55680,note_on,0,0,12,,,,,,,,,10,,55,74
55680,control_change,20,0,2,,,,,,,7,69,1,,,
55680,note_off,220,0,12,,,,,,,,,10,,53,98
55688,note_on,26,0,9,,,,,,,,,7,,82,61
55700,control_change,20,0,4,,,,,,,7,68,12,,,
55700,control_change,0,0,4,,,,,,,7,70,12,,,
55720,control_change,60,0,10,,,,,,,7,58,8,,,
55720,control_change,32,0,9,,,,,,,7,100,7,,,
55720,control_change,0,0,6,,,,,,,7,45,11,,,
55720,control_change,60,0,6,,,,,,,7,46,11,,,
55720,control_change,0,0,10,,,,,,,7,57,8,,,
55740,control_change,0,0,9,,,,,,,7,96,7,,,
55740,control_change,20,0,9,,,,,,,7,99,7,,,
55740,control_change,20,0,10,,,,,,,7,54,8,,,
55740,control_change,20,0,6,,,,,,,7,43,11,,,
55760,control_change,60,0,4,,,,,,,7,73,12,,,
55760,control_change,0,0,9,,,,,,,7,91,7,,,
55760,control_change,20,0,9,,,,,,,7,93,7,,,
55800,control_change,60,0,10,,,,,,,7,53,8,,,
55800,control_change,60,0,6,,,,,,,7,42,11,,,
55800,control_change,120,0,3,,,,,,,7,71,0,,,
55800,control_change,40,0,4,,,,,,,7,74,12,,,
55800,control_change,120,0,2,,,,,,,7,71,1,,,
55840,control_change,40,0,4,,,,,,,7,76,12,,,
55840,control_change,40,0,3,,,,,,,7,72,0,,,
55840,note_on,195,0,1,,,,,,,,,2,,58,96
55840,control_change,40,0,2,,,,,,,7,72,1,,,
55840,note_on,0,0,2,,,,,,,,,1,,62,96
55880,control_change,40,0,2,,,,,,,7,74,1,,,
55880,control_change,40,0,3,,,,,,,7,74,0,,,
55880,control_change,40,0,4,,,,,,,7,77,12,,,
55900,control_change,20,0,4,,,,,,,7,79,12,,,
55920,control_change,160,0,9,,,,,,,7,90,7,,,
55920,control_change,120,0,10,,,,,,,7,50,8,,,
55920,control_change,40,0,2,,,,,,,7,75,1,,,
55920,control_change,40,0,3,,,,,,,7,75,0,,,
55920,control_change,120,0,6,,,,,,,7,40,11,,,
55940,control_change,0,0,6,,,,,,,7,37,11,,,
55940,control_change,20,0,6,,,,,,,7,39,11,,,
55940,control_change,0,0,10,,,,,,,7,47,8,,,
55940,control_change,20,0,10,,,,,,,7,49,8,,,
55960,control_change,20,0,6,,,,,,,7,36,11,,,
55960,control_change,20,0,10,,,,,,,7,45,8,,,
55960,control_change,60,0,4,,,,,,,7,80,12,,,
55960,control_change,40,0,9,,,,,,,7,88,7,,,
55965,note_off,125,0,1,,,,,,,,,2,,58,96
55965,note_off,45,0,2,,,,,,,,,1,,62,96
55980,control_change,20,0,4,,,,,,,7,81,12,,,
56000,control_change,320,0,8,,,,,,,7,78,6,,,
56000,note_on,35,0,2,,,,,,,,,1,,67,96
56000,note_on,35,0,1,,,,,,,,,2,,62,96
56020,control_change,60,0,9,,,,,,,7,87,7,,,
56020,control_change,60,0,10,,,,,,,7,44,8,,,
56020,control_change,40,0,4,,,,,,,7,83,12,,,
56020,control_change,60,0,6,,,,,,,7,35,11,,,
56040,control_change,40,0,8,,,,,,,7,80,6,,,
56040,control_change,20,0,10,,,,,,,7,41,8,,,
56040,control_change,20,0,9,,,,,,,7,86,7,,,
56040,control_change,20,0,6,,,,,,,7,33,11,,,
56060,control_change,20,0,9,,,,,,,7,84,7,,,
56060,control_change,20,0,6,,,,,,,7,30,11,,,
56060,control_change,20,0,10,,,,,,,7,38,8,,,
56060,control_change,0,0,10,,,,,,,7,40,8,,,
56060,control_change,0,0,6,,,,,,,7,32,11,,,
56080,control_change,400,0,12,,,,,,,7,65,10,,,
56080,control_change,20,0,9,,,,,,,7,83,7,,,
56080,control_change,60,0,4,,,,,,,7,84,12,,,
56100,control_change,20,0,12,,,,,,,7,66,10,,,
56100,control_change,60,0,8,,,,,,,7,81,6,,,
56125,note_off,125,0,1,,,,,,,,,2,,62,96
56125,note_off,125,0,2,,,,,,,,,1,,67,96
56140,control_change,60,0,4,,,,,,,7,86,12,,,
56140,control_change,60,0,9,,,,,,,7,81,7,,,
56140,control_change,40,0,12,,,,,,,7,68,10,,,
56160,control_change,35,0,2,,,,,,,7,77,1,,,
56160,control_change,100,0,10,,,,,,,7,36,8,,,
56160,control_change,60,0,8,,,,,,,7,83,6,,,
56160,note_on,35,0,1,,,,,,,,,2,,67,96
56160,note_on,0,0,2,,,,,,,,,1,,70,96
56160,control_change,240,0,3,,,,,,,7,77,0,,,
56160,control_change,100,0,6,,,,,,,7,29,11,,,
56180,control_change,40,0,4,,,,,,,7,87,12,,,
56180,control_change,20,0,10,,,,,,,7,34,8,,,
56180,control_change,40,0,12,,,,,,,7,69,10,,,
