tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity,pitch
52432,note_on,,,,,0,0,3,,,,,2,,,71,14,
52432,note_on,,,,,0,0,11,,,,,10,,,59,14,
52432,note_on,,,,,224,0,11,,,,,10,,,62,24,
52448,control_change,,,,,24,0,12,,,11,45,11,,,,,
52464,control_change,,,,,16,0,12,,,11,46,11,,,,,
52488,control_change,,,,,24,0,12,,,11,47,11,,,,,
52504,control_change,,,,,16,0,12,,,11,48,11,,,,,
52528,control_change,,,,,24,0,12,,,11,49,11,,,,,
52544,control_change,,,,,16,0,12,,,11,50,11,,,,,
52568,control_change,,,,,24,0,12,,,11,51,11,,,,,
52584,control_change,,,,,16,0,12,,,11,52,11,,,,,
52600,control_change,,,,,16,0,12,,,11,53,11,,,,,
52608,note_on,,,,,8,0,12,,,,,11,,,50,78,
52624,note_off,,,,,384,0,13,,,,,12,,,43,0,
52672,note_off,,,,,64,0,12,,,,,11,,,55,0,
52752,note_off,,,,,0,0,11,,,,,10,,,59,0,
52752,note_off,,,,,320,0,3,,,,,2,,,74,0,
52752,note_off,,,,,320,0,11,,,,,10,,,62,0,
52752,note_off,,,,,0,0,3,,,,,2,,,71,0,
52816,note_on,,,,,0,0,11,,,,,10,,,59,14,
52816,note_on,,,,,64,0,11,,,,,10,,,62,24,
52816,note_on,,,,,0,0,3,,,,,2,,,71,14,
52816,note_on,,,,,64,0,3,,,,,2,,,74,24,
53136,note_off,,,,,320,0,11,,,,,10,,,62,0,
53136,note_off,,,,,320,0,3,,,,,2,,,74,0,
53136,note_off,,,,,0,0,11,,,,,10,,,59,0,
53136,note_off,,,,,0,0,3,,,,,2,,,71,0,
53184,note_on,,,,,512,0,12,,,,,11,,,55,73,
53200,note_on,,,,,0,0,11,,,,,10,,,59,14,
53200,note_on,,,,,0,0,3,,,,,2,,,71,14,
53200,note_on,,,,,64,0,11,,,,,10,,,62,24,
53200,note_on,,,,,64,0,3,,,,,2,,,74,24,
53232,note_off,,,,,48,0,12,,,,,11,,,50,0,
53360,note_off,,,,,0,0,11,,,,,10,,,59,0,
53360,note_off,,,,,160,0,3,,,,,2,,,74,0,
53360,note_off,,,,,0,0,3,,,,,2,,,71,0,
53360,note_off,,,,,160,0,11,,,,,10,,,62,0,
53376,note_on,,,,,144,0,12,,,,,11,,,54,74,
53384,note_off,,,,,8,0,12,,,,,11,,,55,0,
53392,note_on,,,,,768,0,13,,,,,12,,,38,44,
53584,note_on,,,,,0,0,3,,,,,2,,,72,14,
53584,note_on,,,,,0,0,11,,,,,10,,,60,14,
53584,note_on,,,,,224,0,11,,,,,10,,,62,24,
53584,note_on,,,,,224,0,3,,,,,2,,,74,24,
53648,note_on,,,,,264,0,12,,,,,11,,,55,80,
53688,note_off,,,,,40,0,12,,,,,11,,,54,0,
53776,note_off,,,,,384,0,13,,,,,12,,,38,0,
53792,pitchwheel,,,,,104,0,12,,,,,11,,,,,0
53792,control_change,,,,,0,0,12,,,11,53,11,,,,,
53792,note_on,,,,,0,0,12,,,,,11,,,57,76,
53832,control_change,,,,,40,0,12,,,11,54,11,,,,,
53840,note_off,,,,,8,0,12,,,,,11,,,55,0,
53872,control_change,,,,,32,0,12,,,11,55,11,,,,,
53904,note_off,,,,,0,0,11,,,,,10,,,60,0,
53904,note_off,,,,,320,0,3,,,,,2,,,74,0,
53904,note_off,,,,,0,0,3,,,,,2,,,72,0,
53904,note_off,,,,,320,0,11,,,,,10,,,62,0,
53912,control_change,,,,,40,0,12,,,11,56,11,,,,,
53952,control_change,,,,,40,0,12,,,11,57,11,,,,,
53968,note_on,,,,,64,0,3,,,,,2,,,74,24,
53968,note_on,,,,,0,0,3,,,,,2,,,72,14,
53968,note_on,,,,,0,0,11,,,,,10,,,60,14,
53968,note_on,,,,,64,0,11,,,,,10,,,62,24,
53984,control_change,,,,,32,0,12,,,11,58,11,,,,,
54024,control_change,,,,,40,0,12,,,11,59,11,,,,,
54064,control_change,,,,,40,0,12,,,11,60,11,,,,,
54104,control_change,,,,,40,0,12,,,11,61,11,,,,,
54144,control_change,,,,,40,0,12,,,11,62,11,,,,,
54176,control_change,,,,,32,0,12,,,11,63,11,,,,,
54216,control_change,,,,,40,0,12,,,11,64,11,,,,,
54256,control_change,,,,,40,0,12,,,11,65,11,,,,,
54288,note_off,,,,,0,0,11,,,,,10,,,60,0,
54288,note_off,,,,,320,0,3,,,,,2,,,74,0,
54288,note_off,,,,,320,0,11,,,,,10,,,62,0,
54288,note_off,,,,,0,0,3,,,,,2,,,72,0,
54296,control_change,,,,,40,0,12,,,11,66,11,,,,,
54328,control_change,,,,,32,0,12,,,11,54,11,,,,,
54336,note_on,,,,,8,0,12,,,,,11,,,55,70,
54352,note_on,,,,,64,0,11,,,,,10,,,62,24,
54352,note_on,,,,,0,0,3,,,,,2,,,72,14,
54352,note_on,,,,,0,0,11,,,,,10,,,60,14,
54352,note_on,,,,,64,0,3,,,,,2,,,74,24,
54384,note_off,,,,,48,0,12,,,,,11,,,57,0,
54512,note_off,,,,,160,0,3,,,,,2,,,74,0,
54512,note_off,,,,,0,0,3,,,,,2,,,72,0,
54512,note_off,,,,,160,0,11,,,,,10,,,62,0,
54512,note_off,,,,,0,0,11,,,,,10,,,60,0,
54528,note_on,,,,,144,0,12,,,,,11,,,54,82,
54536,note_off,,,,,8,0,12,,,,,11,,,55,0,
54544,note_on,,,,,768,0,13,,,,,12,,,38,44,
54736,note_on,,,,,0,0,11,,,,,10,,,60,14,
54736,note_on,,,,,224,0,11,,,,,10,,,62,24,
54736,note_on,,,,,0,0,3,,,,,2,,,72,14,
54736,note_on,,,,,224,0,3,,,,,2,,,74,24,
54816,note_on,,,,,280,0,12,,,,,11,,,55,89,
54856,note_off,,,,,40,0,12,,,,,11,,,54,0,
54928,note_off,,,,,384,0,13,,,,,12,,,38,0,
54928,note_on,,,,,72,0,12,,,,,11,,,57,82,
54960,note_off,,,,,32,0,12,,,,,11,,,55,0,
55056,note_off,,,,,320,0,11,,,,,10,,,62,0,
55056,note_off,,,,,0,0,11,,,,,10,,,60,0,
55056,note_off,,,,,0,0,3,,,,,2,,,72,0,
55056,note_off,,,,,320,0,3,,,,,2,,,74,0,
55104,note_on,,,,,144,0,12,,,,,11,,,50,86,
55120,note_on,,,,,64,0,3,,,,,2,,,74,24,
55120,note_on,,,,,0,0,3,,,,,2,,,72,14,
55120,note_on,,,,,64,0,11,,,,,10,,,62,24,
55120,note_on,,,,,0,0,11,,,,,10,,,60,14,
55144,note_off,,,,,40,0,12,,,,,11,,,57,0,
55296,note_on,,,,,152,0,12,,,,,11,,,52,83,
55360,note_off,,,,,64,0,12,,,,,11,,,50,0,
55440,note_off,,,,,0,0,3,,,,,2,,,72,0,
55440,note_off,,,,,320,0,3,,,,,2,,,74,0,
55440,note_off,,,,,0,0,11,,,,,10,,,60,0,
55440,note_off,,,,,320,0,11,,,,,10,,,62,0,
