tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
141120,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,0
141120,note_on,60,0,2,,,,,,,,,,,,,,,0,,,32,39
141148,control_change,28,0,2,,,,,,,,,,,,,,,0,64,0,,
141154,control_change,6,0,2,,,,,,,,,,,,,,,0,64,127,,
141240,note_on,86,0,2,,,,,,,,,,,,,,,0,,,32,0
141360,set_tempo,240,1,0,,,,,,,,,,,,1223990,,,,,,,
141360,note_on,120,0,2,,,,,,,,,,,,,,,0,,,44,48
141480,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,50
141480,note_on,0,0,1,,,,,,,,,,,,,,,0,,,67,0
141480,note_on,0,0,1,,,,,,,,,,,,,,,0,,,73,0
141480,note_on,360,0,1,,,,,,,,,,,,,,,0,,,76,0
141480,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,50
141480,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,59
141600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,66
141600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,56
141600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,56
141600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,0
141600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,0
141600,note_on,120,0,1,,,,,,,,,,,,,,,0,,,75,0
141600,note_on,0,0,2,,,,,,,,,,,,,,,0,,,56,55
141600,note_on,240,0,2,,,,,,,,,,,,,,,0,,,44,0
141840,set_tempo,480,1,0,,,,,,,,,,,,1278500,,,,,,,
141840,note_on,240,0,2,,,,,,,,,,,,,,,0,,,56,0
141840,note_on,240,0,1,,,,,,,,,,,,,,,0,,,80,58
142080,note_on,240,0,1,,,,,,,,,,,,,,,0,,,80,0
142094,control_change,254,0,2,,,,,,,,,,,,,,,0,64,0,,
142136,control_change,42,0,2,,,,,,,,,,,,,,,0,64,127,,
142200,note_on,64,0,2,,,,,,,,,,,,,,,0,,,32,38
142260,note_on,60,0,2,,,,,,,,,,,,,,,0,,,32,0
142320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,68
142320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,56
142320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,0
142320,note_on,240,0,1,,,,,,,,,,,,,,,0,,,68,0
142320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,56
142320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,0
142320,set_tempo,480,1,0,,,,,,,,,,,,1314924,,,,,,,
142320,note_on,60,0,2,,,,,,,,,,,,,,,0,,,32,38
142380,note_on,60,0,2,,,,,,,,,,,,,,,0,,,32,0
142440,note_on,60,0,2,,,,,,,,,,,,,,,0,,,31,38
142500,note_on,60,0,2,,,,,,,,,,,,,,,0,,,31,0
142560,set_tempo,240,1,0,,,,,,,,,,,,1232792,,,,,,,
142560,note_on,60,0,2,,,,,,,,,,,,,,,0,,,32,42
142560,note_on,240,0,1,,,,,,,,,,,,,,,0,,,75,0
142560,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,0
142560,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,0
142560,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,62
142560,note_on,0,0,1,,,,,,,,,,,,,,,0,,,80,73
142560,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,62
142588,control_change,28,0,2,,,,,,,,,,,,,,,0,64,0,,
142594,control_change,6,0,2,,,,,,,,,,,,,,,0,64,127,,
142680,note_on,86,0,2,,,,,,,,,,,,,,,0,,,32,0
142800,note_on,120,0,2,,,,,,,,,,,,,,,0,,,44,52
142920,note_on,0,0,1,,,,,,,,,,,,,,,0,,,78,64
142920,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,55
142920,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,55
142920,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,0
142920,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,0
142920,note_on,360,0,1,,,,,,,,,,,,,,,0,,,80,0
143040,note_on,0,0,2,,,,,,,,,,,,,,,0,,,56,60
143040,note_on,240,0,2,,,,,,,,,,,,,,,0,,,44,0
143040,note_on,0,0,1,,,,,,,,,,,,,,,0,,,78,72
143040,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,61
143040,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,61
143040,note_on,120,0,1,,,,,,,,,,,,,,,0,,,78,0
143040,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,0
143040,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,0
143280,note_on,240,0,1,,,,,,,,,,,,,,,0,,,80,63
143280,set_tempo,720,1,0,,,,,,,,,,,,1278500,,,,,,,
143280,note_on,240,0,2,,,,,,,,,,,,,,,0,,,56,0
143520,note_on,240,0,1,,,,,,,,,,,,,,,0,,,80,0
143534,control_change,254,0,2,,,,,,,,,,,,,,,0,64,0,,
143576,control_change,42,0,2,,,,,,,,,,,,,,,0,64,127,,
143640,note_on,64,0,2,,,,,,,,,,,,,,,0,,,32,43
143700,note_on,60,0,2,,,,,,,,,,,,,,,0,,,32,0
143760,note_on,60,0,2,,,,,,,,,,,,,,,0,,,32,43
143760,note_on,0,0,1,,,,,,,,,,,,,,,0,,,78,0
143760,set_tempo,480,1,0,,,,,,,,,,,,1363636,,,,,,,
143760,note_on,240,0,1,,,,,,,,,,,,,,,0,,,69,0
143760,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,61
143760,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,61
143760,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,0
143760,note_on,0,0,1,,,,,,,,,,,,,,,0,,,78,74
143800,set_tempo,40,1,0,,,,,,,,,,,,1428571,,,,,,,
143820,note_on,60,0,2,,,,,,,,,,,,,,,0,,,32,0
143840,set_tempo,40,1,0,,,,,,,,,,,,1500000,,,,,,,
143880,set_tempo,40,1,0,,,,,,,,,,,,1600000,,,,,,,
143880,note_on,60,0,2,,,,,,,,,,,,,,,0,,,31,43
143940,note_on,60,0,2,,,,,,,,,,,,,,,0,,,31,0
144000,set_tempo,120,1,0,,,,,,,,,,,,1232792,,,,,,,
144000,note_on,0,0,2,,,,,,,,,,,,,,,0,,,32,46
144000,control_change,60,0,2,,,,,,,,,,,,,,,0,64,0,,
144000,note_on,240,0,1,,,,,,,,,,,,,,,0,,,78,0
144000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,0
144000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,0
144000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,73,68
144000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,68
144000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,81,80
144031,control_change,31,0,2,,,,,,,,,,,,,,,0,64,127,,
144120,note_on,89,0,2,,,,,,,,,,,,,,,0,,,32,0
144240,note_on,120,0,2,,,,,,,,,,,,,,,0,,,44,52
144360,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,0
144360,note_on,0,0,1,,,,,,,,,,,,,,,0,,,73,0
144360,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,60
144360,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,60
144360,note_on,0,0,1,,,,,,,,,,,,,,,0,,,80,70
144360,note_on,360,0,1,,,,,,,,,,,,,,,0,,,81,0
144480,note_on,120,0,1,,,,,,,,,,,,,,,0,,,80,0
144480,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,0
144480,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,0
144480,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,67
144480,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,67
144480,note_on,240,0,2,,,,,,,,,,,,,,,0,,,44,0
144480,note_on,0,0,1,,,,,,,,,,,,,,,0,,,80,79
144480,note_on,0,0,2,,,,,,,,,,,,,,,0,,,56,60
144720,note_on,240,0,2,,,,,,,,,,,,,,,0,,,56,0
144720,note_on,0,0,2,,,,,,,,,,,,,,,0,,,68,59
144720,set_tempo,720,1,0,,,,,,,,,,,,1266892,,,,,,,
144840,note_on,120,0,2,,,,,,,,,,,,,,,0,,,68,0
144960,set_tempo,240,1,0,,,,,,,,,,,,1299827,,,,,,,
145080,note_on,240,0,2,,,,,,,,,,,,,,,0,,,32,36
145091,control_change,11,0,2,,,,,,,,,,,,,,,0,64,0,,
145109,control_change,18,0,2,,,,,,,,,,,,,,,0,64,127,,
145140,note_on,31,0,2,,,,,,,,,,,,,,,0,,,32,0
145200,note_on,60,0,2,,,,,,,,,,,,,,,0,,,32,36
145260,note_on,60,0,2,,,,,,,,,,,,,,,0,,,32,0
145320,note_on,60,0,2,,,,,,,,,,,,,,,0,,,31,36
145380,note_on,60,0,2,,,,,,,,,,,,,,,0,,,31,0
145440,control_change,60,0,2,,,,,,,,,,,,,,,0,64,0,,
145440,note_on,0,0,2,,,,,,,,,,,,,,,0,,,32,36
145480,set_tempo,520,1,0,,,,,,,,,,,,1244039,,,,,,,
145539,control_change,99,0,2,,,,,,,,,,,,,,,0,64,127,,
145560,note_on,21,0,2,,,,,,,,,,,,,,,0,,,32,0
145680,note_on,120,0,2,,,,,,,,,,,,,,,0,,,44,39
145920,note_on,240,0,2,,,,,,,,,,,,,,,0,,,44,0
145920,note_on,0,0,2,,,,,,,,,,,,,,,0,,,56,44
146160,note_on,0,0,2,,,,,,,,,,,,,,,0,,,68,41
146160,set_tempo,680,1,0,,,,,,,,,,,,1290045,,,,,,,
146160,note_on,240,0,2,,,,,,,,,,,,,,,0,,,56,0
146280,note_on,120,0,2,,,,,,,,,,,,,,,0,,,68,0
146400,set_tempo,240,1,0,,,,,,,,,,,,1341082,,,,,,,
146880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,41
146880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,49
146880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,0
146880,set_tempo,480,1,0,,,,,,,,,,,,1232792,,,,,,,
146880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,0
146880,note_on,2400,0,1,,,,,,,,,,,,,,,0,,,80,0
146880,note_on,0,0,2,,,,,,,,,,,,,,,0,,,36,31
