tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,program,note,velocity
35032,note_off,,472,0,3,,,,,,,2,,,,45,64
35032,note_off,,0,0,2,,,,,,,0,,,,64,64
35032,note_off,,0,0,2,,,,,,,0,,,,69,64
35040,note_on,,8,0,3,,,,,,,2,,,,49,127
35040,note_on,,0,0,2,,,,,,,0,,,,73,127
35040,note_on,,0,0,2,,,,,,,0,,,,69,127
35040,note_on,,8,0,2,,,,,,,0,,,,64,127
35272,note_off,,0,0,2,,,,,,,0,,,,64,64
35272,note_off,,0,0,2,,,,,,,0,,,,69,64
35272,note_off,,232,0,2,,,,,,,0,,,,73,64
35280,note_on,,0,0,2,,,,,,,0,,,,69,127
35280,note_on,,8,0,2,,,,,,,0,,,,64,127
35280,note_on,,0,0,2,,,,,,,0,,,,73,127
35512,note_off,,0,0,2,,,,,,,0,,,,69,64
35512,note_off,,0,0,2,,,,,,,0,,,,64,64
35512,note_off,,472,0,3,,,,,,,2,,,,49,64
35512,note_off,,232,0,2,,,,,,,0,,,,73,64
35520,note_on,,8,0,2,,,,,,,0,,,,64,127
35520,note_on,,0,0,2,,,,,,,0,,,,69,127
35520,note_on,,0,0,2,,,,,,,0,,,,73,127
35752,note_off,,232,0,2,,,,,,,0,,,,73,64
35752,note_off,,0,0,2,,,,,,,0,,,,69,64
35752,note_off,,0,0,2,,,,,,,0,,,,64,64
35760,note_on,,8,0,2,,,,,,,0,,,,64,127
35760,note_on,,0,0,2,,,,,,,0,,,,69,127
35760,note_on,,0,0,2,,,,,,,0,,,,73,127
35992,note_off,,232,0,2,,,,,,,0,,,,73,64
35992,note_off,,1432,0,1,,,,,,,3,,,,76,64
35992,note_off,,0,0,2,,,,,,,0,,,,64,64
35992,note_off,,1432,0,4,,,,,,,1,,,,76,64
35992,note_off,,0,0,2,,,,,,,0,,,,69,64
36000,note_on,,8,0,4,,,,,,,1,,,,73,127
36000,note_on,,0,0,2,,,,,,,0,,,,73,127
36000,note_on,,0,0,2,,,,,,,0,,,,69,127
36000,note_on,,488,0,3,,,,,,,2,,,,45,127
36000,note_on,,8,0,1,,,,,,,3,,,,73,127
36000,note_on,,8,0,2,,,,,,,0,,,,64,127
36232,note_off,,232,0,2,,,,,,,0,,,,73,64
36232,note_off,,232,0,1,,,,,,,3,,,,73,64
36232,note_off,,0,0,2,,,,,,,0,,,,69,64
36232,note_off,,0,0,2,,,,,,,0,,,,64,64
36232,note_off,,232,0,4,,,,,,,1,,,,73,64
36240,note_on,,8,0,1,,,,,,,3,,,,69,127
36240,note_on,,8,0,2,,,,,,,0,,,,64,127
36240,note_on,,8,0,4,,,,,,,1,,,,69,127
36240,note_on,,0,0,2,,,,,,,0,,,,73,127
36240,note_on,,0,0,2,,,,,,,0,,,,69,127
36352,note_off,,352,0,3,,,,,,,2,,,,45,64
36360,note_on,,8,0,3,,,,,,,2,,,,45,127
36472,note_off,,112,0,3,,,,,,,2,,,,45,64
36472,note_off,,232,0,4,,,,,,,1,,,,69,64
36472,note_off,,232,0,2,,,,,,,0,,,,73,64
36472,note_off,,0,0,2,,,,,,,0,,,,69,64
36472,note_off,,0,0,2,,,,,,,0,,,,64,64
36472,note_off,,232,0,1,,,,,,,3,,,,69,64
36480,note_on,,8,0,4,,,,,,,1,,,,68,127
36480,note_on,,8,0,3,,,,,,,2,,,,50,127
36480,note_on,,8,0,1,,,,,,,3,,,,68,127
36480,note_on,,8,0,2,,,,,,,0,,,,66,127
36480,note_on,,0,0,2,,,,,,,0,,,,69,127
36480,note_on,,0,0,2,,,,,,,0,,,,74,127
36712,note_off,,0,0,2,,,,,,,0,,,,69,64
36712,note_off,,232,0,2,,,,,,,0,,,,74,64
36712,note_off,,0,0,2,,,,,,,0,,,,66,64
36720,note_on,,0,0,2,,,,,,,0,,,,69,127
36720,note_on,,8,0,2,,,,,,,0,,,,66,127
36720,note_on,,0,0,2,,,,,,,0,,,,74,127
36952,note_off,,232,0,2,,,,,,,0,,,,74,64
36952,note_off,,0,0,2,,,,,,,0,,,,69,64
36952,note_off,,0,0,2,,,,,,,0,,,,66,64
36952,note_off,,472,0,1,,,,,,,3,,,,68,64
36952,note_off,,472,0,4,,,,,,,1,,,,68,64
36952,note_off,,472,0,3,,,,,,,2,,,,50,64
36960,note_on,,8,0,2,,,,,,,0,,,,66,127
36960,note_on,,0,0,2,,,,,,,0,,,,74,127
36960,note_on,,8,0,3,,,,,,,2,,,,54,127
36960,note_on,,0,0,2,,,,,,,0,,,,70,127
36960,note_on,,8,0,4,,,,,,,1,,,,66,127
36960,note_on,,8,0,1,,,,,,,3,,,,66,127
37192,note_off,,232,0,2,,,,,,,0,,,,74,64
37192,note_off,,0,0,2,,,,,,,0,,,,70,64
37192,note_off,,0,0,2,,,,,,,0,,,,66,64
37200,note_on,,0,0,2,,,,,,,0,,,,74,127
37200,note_on,,0,0,2,,,,,,,0,,,,70,127
37200,note_on,,8,0,2,,,,,,,0,,,,66,127
37432,note_off,,0,0,2,,,,,,,0,,,,66,64
37432,note_off,,232,0,2,,,,,,,0,,,,74,64
37432,note_off,,0,0,2,,,,,,,0,,,,70,64
37432,note_off,,472,0,3,,,,,,,2,,,,54,64
37432,note_off,,472,0,4,,,,,,,1,,,,66,64
37432,note_off,,472,0,1,,,,,,,3,,,,66,64
37440,note_on,,8,0,2,,,,,,,0,,,,66,127
37440,note_on,,0,0,2,,,,,,,0,,,,71,127
37440,note_on,,0,0,2,,,,,,,0,,,,74,127
37672,note_off,,232,0,2,,,,,,,0,,,,74,64
37672,note_off,,0,0,2,,,,,,,0,,,,71,64
37672,note_off,,0,0,2,,,,,,,0,,,,66,64
37680,note_on,,0,0,2,,,,,,,0,,,,71,127
37680,note_on,,8,0,2,,,,,,,0,,,,66,127
37680,note_on,,0,0,2,,,,,,,0,,,,74,127
37912,note_off,,0,0,2,,,,,,,0,,,,71,64
37912,note_off,,0,0,2,,,,,,,0,,,,66,64
37912,note_off,,232,0,2,,,,,,,0,,,,74,64
37920,note_on,,488,0,3,,,,,,,2,,,,46,127
37920,note_on,,8,0,2,,,,,,,0,,,,66,127
37920,note_on,,0,0,2,,,,,,,0,,,,74,127
37920,note_on,,0,0,2,,,,,,,0,,,,73,127
38152,note_off,,0,0,2,,,,,,,0,,,,73,64
38152,note_off,,0,0,2,,,,,,,0,,,,66,64
38152,note_off,,232,0,2,,,,,,,0,,,,74,64
38160,note_on,,8,0,2,,,,,,,0,,,,66,127
38160,note_on,,0,0,2,,,,,,,0,,,,73,127
38160,note_on,,0,0,2,,,,,,,0,,,,74,127
38272,note_off,,352,0,3,,,,,,,2,,,,46,64
38280,note_on,,8,0,3,,,,,,,2,,,,46,127
38392,note_off,,112,0,3,,,,,,,2,,,,46,64
38392,note_off,,232,0,2,,,,,,,0,,,,74,64
38392,note_off,,0,0,2,,,,,,,0,,,,73,64
38392,note_off,,0,0,2,,,,,,,0,,,,66,64
38400,note_on,,8,0,2,,,,,,,0,,,,66,127
38400,note_on,,0,0,2,,,,,,,0,,,,74,127
38400,note_on,,968,0,4,,,,,,,1,,,,74,127
38400,note_on,,8,0,3,,,,,,,2,,,,47,127
38400,note_on,,968,0,1,,,,,,,3,,,,74,127
38632,note_off,,0,0,2,,,,,,,0,,,,66,64
38632,note_off,,232,0,2,,,,,,,0,,,,74,64
38640,note_on,,8,0,2,,,,,,,0,,,,66,127
38640,note_on,,0,0,2,,,,,,,0,,,,74,127
38872,note_off,,232,0,2,,,,,,,0,,,,74,64
38872,note_off,,0,0,2,,,,,,,0,,,,66,64
38872,note_off,,472,0,3,,,,,,,2,,,,47,64
38880,note_on,,0,0,2,,,,,,,0,,,,74,127
38880,note_on,,0,0,2,,,,,,,0,,,,71,127
38880,note_on,,8,0,2,,,,,,,0,,,,66,127
38880,note_on,,8,0,3,,,,,,,2,,,,50,127
39112,note_off,,0,0,2,,,,,,,0,,,,71,64
39112,note_off,,0,0,2,,,,,,,0,,,,66,64
39112,note_off,,232,0,2,,,,,,,0,,,,74,64
39120,note_on,,8,0,2,,,,,,,0,,,,66,127
39120,note_on,,0,0,2,,,,,,,0,,,,71,127
39120,note_on,,0,0,2,,,,,,,0,,,,74,127
39352,note_off,,472,0,3,,,,,,,2,,,,50,64
39352,note_off,,232,0,2,,,,,,,0,,,,74,64
39352,note_off,,0,0,2,,,,,,,0,,,,71,64
39352,note_off,,0,0,2,,,,,,,0,,,,66,64
39360,note_on,,8,0,2,,,,,,,0,,,,66,127
39360,note_on,,0,0,2,,,,,,,0,,,,74,127
39360,note_on,,0,0,2,,,,,,,0,,,,71,127
39592,note_off,,0,0,2,,,,,,,0,,,,66,64
39592,note_off,,0,0,2,,,,,,,0,,,,71,64
39592,note_off,,232,0,2,,,,,,,0,,,,74,64
39600,note_on,,0,0,2,,,,,,,0,,,,74,127
39600,note_on,,0,0,2,,,,,,,0,,,,71,127
39600,note_on,,8,0,2,,,,,,,0,,,,66,127
39832,note_off,,0,0,2,,,,,,,0,,,,66,64
39832,note_off,,1432,0,1,,,,,,,3,,,,74,64
39832,note_off,,0,0,2,,,,,,,0,,,,71,64
39832,note_off,,232,0,2,,,,,,,0,,,,74,64
39832,note_off,,1432,0,4,,,,,,,1,,,,74,64
39840,note_on,,0,0,2,,,,,,,0,,,,74,127
39840,note_on,,8,0,4,,,,,,,1,,,,73,127
39840,note_on,,488,0,3,,,,,,,2,,,,45,127
39840,note_on,,8,0,2,,,,,,,0,,,,66,127
39840,note_on,,8,0,1,,,,,,,3,,,,73,127
39840,note_on,,0,0,2,,,,,,,0,,,,71,127
39952,note_off,,112,0,1,,,,,,,3,,,,73,64
39952,note_off,,112,0,4,,,,,,,1,,,,73,64
39960,note_on,,8,0,4,,,,,,,1,,,,71,127
39960,note_on,,8,0,1,,,,,,,3,,,,71,127
40072,note_off,,232,0,2,,,,,,,0,,,,74,64
40072,note_off,,0,0,2,,,,,,,0,,,,71,64
40072,note_off,,0,0,2,,,,,,,0,,,,66,64
40072,note_off,,112,0,4,,,,,,,1,,,,71,64
40072,note_off,,112,0,1,,,,,,,3,,,,71,64
40080,note_on,,0,0,2,,,,,,,0,,,,74,127
40080,note_on,,8,0,1,,,,,,,3,,,,69,127
40080,note_on,,8,0,4,,,,,,,1,,,,69,127
40080,note_on,,8,0,2,,,,,,,0,,,,66,127
40080,note_on,,0,0,2,,,,,,,0,,,,71,127
40192,note_off,,352,0,3,,,,,,,2,,,,45,64
40192,note_off,,112,0,4,,,,,,,1,,,,69,64
40192,note_off,,112,0,1,,,,,,,3,,,,69,64
40200,note_on,,8,0,3,,,,,,,2,,,,45,127
40200,note_on,,8,0,4,,,,,,,1,,,,68,127
40200,note_on,,8,0,1,,,,,,,3,,,,68,127
40312,note_off,,232,0,2,,,,,,,0,,,,74,64
40312,note_off,,112,0,3,,,,,,,2,,,,45,64
40312,note_off,,0,0,2,,,,,,,0,,,,66,64
40312,note_off,,112,0,4,,,,,,,1,,,,68,64
40312,note_off,,0,0,2,,,,,,,0,,,,71,64
40312,note_off,,112,0,1,,,,,,,3,,,,68,64
40320,note_on,,8,0,4,,,,,,,1,,,,66,127
40320,note_on,,8,0,1,,,,,,,3,,,,66,127
40320,note_on,,8,0,3,,,,,,,2,,,,44,127
40320,note_on,,8,0,2,,,,,,,0,,,,64,127
40320,note_on,,0,0,2,,,,,,,0,,,,74,127
40320,note_on,,0,0,2,,,,,,,0,,,,71,127
40552,note_off,,0,0,2,,,,,,,0,,,,64,64
40552,note_off,,0,0,2,,,,,,,0,,,,71,64
40552,note_off,,232,0,2,,,,,,,0,,,,74,64
40560,note_on,,0,0,2,,,,,,,0,,,,74,127
40560,note_on,,0,0,2,,,,,,,0,,,,71,127
40560,note_on,,8,0,2,,,,,,,0,,,,64,127
40792,note_off,,472,0,3,,,,,,,2,,,,44,64
40792,note_off,,0,0,2,,,,,,,0,,,,71,64
40792,note_off,,232,0,2,,,,,,,0,,,,74,64
40792,note_off,,0,0,2,,,,,,,0,,,,64,64
40792,note_off,,472,0,4,,,,,,,1,,,,66,64
40792,note_off,,472,0,1,,,,,,,3,,,,66,64
40800,note_on,,8,0,4,,,,,,,1,,,,64,127
40800,note_on,,0,0,2,,,,,,,0,,,,71,127
40800,note_on,,8,0,3,,,,,,,2,,,,52,127
40800,note_on,,8,0,1,,,,,,,3,,,,64,127
40800,note_on,,8,0,2,,,,,,,0,,,,64,127
41032,note_off,,0,0,2,,,,,,,0,,,,64,64
41032,note_off,,232,0,2,,,,,,,0,,,,71,64
41040,note_on,,0,0,2,,,,,,,0,,,,71,127
41040,note_on,,8,0,2,,,,,,,0,,,,64,127
41272,note_off,,0,0,2,,,,,,,0,,,,64,64
41272,note_off,,232,0,2,,,,,,,0,,,,71,64
41272,note_off,,472,0,3,,,,,,,2,,,,52,64
41272,note_off,,472,0,4,,,,,,,1,,,,64,64
41272,note_off,,472,0,1,,,,,,,3,,,,64,64
41280,note_on,,0,0,2,,,,,,,0,,,,76,127
41280,note_on,,8,0,2,,,,,,,0,,,,64,127
41512,note_off,,232,0,2,,,,,,,0,,,,76,64
41512,note_off,,0,0,2,,,,,,,0,,,,64,64
41520,note_on,,0,0,2,,,,,,,0,,,,76,127
41520,note_on,,8,0,2,,,,,,,0,,,,64,127
41752,note_off,,0,0,2,,,,,,,0,,,,64,64
41752,note_off,,232,0,2,,,,,,,0,,,,76,64
41760,note_on,,0,0,2,,,,,,,0,,,,74,127
41760,note_on,,0,0,2,,,,,,,0,,,,71,127
41760,note_on,,8,0,2,,,,,,,0,,,,64,127
41760,note_on,,488,0,3,,,,,,,2,,,,32,127
41992,note_off,,0,0,2,,,,,,,0,,,,64,64
41992,note_off,,232,0,2,,,,,,,0,,,,74,64
41992,note_off,,0,0,2,,,,,,,0,,,,71,64
42000,note_on,,0,0,2,,,,,,,0,,,,71,127
42000,note_on,,8,0,2,,,,,,,0,,,,64,127
42000,note_on,,0,0,2,,,,,,,0,,,,74,127
42112,note_off,,352,0,3,,,,,,,2,,,,32,64
42120,note_on,,8,0,3,,,,,,,2,,,,32,127
42232,note_off,,0,0,2,,,,,,,0,,,,71,64
42232,note_off,,0,0,2,,,,,,,0,,,,64,64
42232,note_off,,112,0,3,,,,,,,2,,,,32,64
42232,note_off,,232,0,2,,,,,,,0,,,,74,64
42240,note_on,,0,0,2,,,,,,,0,,,,64,127
42240,note_on,,0,0,2,,,,,,,0,,,,73,127
42240,note_on,,8,0,2,,,,,,,0,,,,61,127
42240,note_on,,968,0,1,,,,,,,3,,,,64,127
42240,note_on,,968,0,4,,,,,,,1,,,,64,127
42240,note_on,,8,0,3,,,,,,,2,,,,33,127
42472,note_off,,0,0,2,,,,,,,0,,,,61,64
42472,note_off,,232,0,2,,,,,,,0,,,,73,64
42472,note_off,,0,0,2,,,,,,,0,,,,64,64
42480,note_on,,8,0,2,,,,,,,0,,,,61,127
42480,note_on,,0,0,2,,,,,,,0,,,,64,127
42480,note_on,,0,0,2,,,,,,,0,,,,73,127
42712,note_off,,0,0,2,,,,,,,0,,,,64,64
42712,note_off,,0,0,2,,,,,,,0,,,,61,64
42712,note_off,,232,0,2,,,,,,,0,,,,73,64
42712,note_off,,472,0,3,,,,,,,2,,,,33,64
42720,note_on,,8,0,3,,,,,,,2,,,,45,127
42720,note_on,,8,0,2,,,,,,,0,,,,61,127
42720,note_on,,0,0,2,,,,,,,0,,,,64,127
42720,note_on,,0,0,2,,,,,,,0,,,,71,127
42952,note_off,,0,0,2,,,,,,,0,,,,61,64
42952,note_off,,232,0,2,,,,,,,0,,,,71,64
42952,note_off,,0,0,2,,,,,,,0,,,,64,64
42960,note_on,,0,0,2,,,,,,,0,,,,71,127
42960,note_on,,0,0,2,,,,,,,0,,,,64,127
42960,note_on,,8,0,2,,,,,,,0,,,,61,127
43192,note_off,,472,0,3,,,,,,,2,,,,45,64
43192,note_off,,232,0,2,,,,,,,0,,,,71,64
43192,note_off,,0,0,2,,,,,,,0,,,,64,64
43192,note_off,,0,0,2,,,,,,,0,,,,61,64
43192,note_off,,952,0,4,,,,,,,1,,,,64,64
43192,note_off,,952,0,1,,,,,,,3,,,,64,64
43200,note_on,,8,0,4,,,,,,,1,,,,76,127
43200,note_on,,8,0,1,,,,,,,3,,,,76,127
43200,note_on,,8,0,2,,,,,,,0,,,,61,127
43200,note_on,,0,0,2,,,,,,,0,,,,64,127
43200,note_on,,0,0,2,,,,,,,0,,,,69,127
43432,note_off,,232,0,2,,,,,,,0,,,,69,64
43432,note_off,,0,0,2,,,,,,,0,,,,64,64
43432,note_off,,0,0,2,,,,,,,0,,,,61,64
43440,note_on,,0,0,2,,,,,,,0,,,,69,127
43440,note_on,,0,0,2,,,,,,,0,,,,64,127
43440,note_on,,8,0,2,,,,,,,0,,,,61,127
43672,note_off,,0,0,2,,,,,,,0,,,,64,64
43672,note_off,,0,0,2,,,,,,,0,,,,61,64
43672,note_off,,232,0,2,,,,,,,0,,,,69,64
43680,note_on,,8,0,2,,,,,,,0,,,,61,127
43680,note_on,,488,0,3,,,,,,,2,,,,37,127
43680,note_on,,0,0,2,,,,,,,0,,,,64,127
43680,note_on,,0,0,2,,,,,,,0,,,,68,127
43912,note_off,,232,0,2,,,,,,,0,,,,68,64
43912,note_off,,0,0,2,,,,,,,0,,,,64,64
43912,note_off,,0,0,2,,,,,,,0,,,,61,64
43920,note_on,,0,0,2,,,,,,,0,,,,64,127
43920,note_on,,0,0,2,,,,,,,0,,,,68,127
43920,note_on,,8,0,2,,,,,,,0,,,,61,127
44032,note_off,,352,0,3,,,,,,,2,,,,37,64
44040,note_on,,8,0,3,,,,,,,2,,,,37,127
44152,note_off,,232,0,2,,,,,,,0,,,,68,64
44152,note_off,,0,0,2,,,,,,,0,,,,64,64
44152,note_off,,952,0,1,,,,,,,3,,,,76,64
44152,note_off,,0,0,2,,,,,,,0,,,,61,64
44152,note_off,,112,0,3,,,,,,,2,,,,37,64
44152,note_off,,952,0,4,,,,,,,1,,,,76,64
44160,note_on,,0,0,2,,,,,,,0,,,,64,127
44160,note_on,,0,0,2,,,,,,,0,,,,66,127
44160,note_on,,8,0,3,,,,,,,2,,,,38,127
44160,note_on,,8,0,4,,,,,,,1,,,,78,127
44160,note_on,,8,0,1,,,,,,,3,,,,78,127
44160,note_on,,8,0,2,,,,,,,0,,,,61,127
44392,note_off,,232,0,2,,,,,,,0,,,,66,64
44392,note_off,,0,0,2,,,,,,,0,,,,64,64
44392,note_off,,0,0,2,,,,,,,0,,,,61,64
44400,note_on,,8,0,2,,,,,,,0,,,,61,127
44400,note_on,,0,0,2,,,,,,,0,,,,64,127
44400,note_on,,0,0,2,,,,,,,0,,,,66,127
44632,note_off,,0,0,2,,,,,,,0,,,,64,64
44632,note_off,,0,0,2,,,,,,,0,,,,61,64
44632,note_off,,232,0,2,,,,,,,0,,,,66,64
44632,note_off,,472,0,3,,,,,,,2,,,,38,64
44640,note_on,,0,0,2,,,,,,,0,,,,61,127
44640,note_on,,0,0,2,,,,,,,0,,,,66,127
44640,note_on,,8,0,2,,,,,,,0,,,,58,127
44640,note_on,,8,0,3,,,,,,,2,,,,50,127
44872,note_off,,232,0,2,,,,,,,0,,,,66,64
44872,note_off,,0,0,2,,,,,,,0,,,,58,64
44872,note_off,,0,0,2,,,,,,,0,,,,61,64
44880,note_on,,0,0,2,,,,,,,0,,,,61,127
44880,note_on,,0,0,2,,,,,,,0,,,,66,127
44880,note_on,,8,0,2,,,,,,,0,,,,58,127
45112,note_off,,0,0,2,,,,,,,0,,,,58,64
45112,note_off,,952,0,1,,,,,,,3,,,,78,64
45112,note_off,,232,0,2,,,,,,,0,,,,66,64
45112,note_off,,472,0,3,,,,,,,2,,,,50,64
45112,note_off,,0,0,2,,,,,,,0,,,,61,64
45112,note_off,,952,0,4,,,,,,,1,,,,78,64
45120,note_on,,8,0,4,,,,,,,1,,,,66,127
45120,note_on,,8,0,2,,,,,,,0,,,,59,127
45120,note_on,,0,0,2,,,,,,,0,,,,62,127
45120,note_on,,0,0,2,,,,,,,0,,,,66,127
45120,note_on,,8,0,1,,,,,,,3,,,,66,127
45352,note_off,,232,0,2,,,,,,,0,,,,66,64
45352,note_off,,0,0,2,,,,,,,0,,,,62,64
45352,note_off,,0,0,2,,,,,,,0,,,,59,64
45360,note_on,,0,0,2,,,,,,,0,,,,62,127
45360,note_on,,0,0,2,,,,,,,0,,,,66,127
45360,note_on,,8,0,2,,,,,,,0,,,,59,127
45592,note_off,,232,0,2,,,,,,,0,,,,66,64
45592,note_off,,0,0,2,,,,,,,0,,,,62,64
45592,note_off,,0,0,2,,,,,,,0,,,,59,64
45600,note_on,,8,0,2,,,,,,,0,,,,66,127
45600,note_on,,0,0,2,,,,,,,0,,,,71,127
45600,note_on,,488,0,3,,,,,,,2,,,,38,127
45832,note_off,,232,0,2,,,,,,,0,,,,71,64
45832,note_off,,0,0,2,,,,,,,0,,,,66,64
45840,note_on,,8,0,2,,,,,,,0,,,,66,127
45840,note_on,,0,0,2,,,,,,,0,,,,71,127
45952,note_off,,352,0,3,,,,,,,2,,,,38,64
45960,note_on,,8,0,3,,,,,,,2,,,,38,127
46072,note_off,,232,0,2,,,,,,,0,,,,71,64
46072,note_off,,952,0,1,,,,,,,3,,,,66,64
46072,note_off,,112,0,3,,,,,,,2,,,,38,64
46072,note_off,,0,0,2,,,,,,,0,,,,66,64
46072,note_off,,952,0,4,,,,,,,1,,,,66,64
46080,note_on,,8,0,4,,,,,,,1,,,,68,127
46080,note_on,,8,0,1,,,,,,,3,,,,68,127
46080,note_on,,0,0,2,,,,,,,0,,,,74,127
46080,note_on,,0,0,2,,,,,,,0,,,,71,127
46080,note_on,,8,0,2,,,,,,,0,,,,64,127
46080,note_on,,8,0,3,,,,,,,2,,,,40,127
46312,note_off,,232,0,2,,,,,,,0,,,,74,64
46312,note_off,,0,0,2,,,,,,,0,,,,71,64
46312,note_off,,0,0,2,,,,,,,0,,,,64,64
46320,note_on,,0,0,2,,,,,,,0,,,,74,127
46320,note_on,,0,0,2,,,,,,,0,,,,71,127
46320,note_on,,8,0,2,,,,,,,0,,,,64,127
46552,note_off,,0,0,2,,,,,,,0,,,,71,64
46552,note_off,,0,0,2,,,,,,,0,,,,64,64
46552,note_off,,472,0,3,,,,,,,2,,,,40,64
46552,note_off,,232,0,2,,,,,,,0,,,,74,64
46560,note_on,,8,0,3,,,,,,,2,,,,52,127
46560,note_on,,0,0,2,,,,,,,0,,,,71,127
46560,note_on,,0,0,2,,,,,,,0,,,,74,127
46560,note_on,,8,0,2,,,,,,,0,,,,64,127
46792,note_off,,232,0,2,,,,,,,0,,,,74,64
46792,note_off,,0,0,2,,,,,,,0,,,,71,64
46792,note_off,,0,0,2,,,,,,,0,,,,64,64
46800,note_on,,8,0,2,,,,,,,0,,,,64,127
46800,note_on,,0,0,2,,,,,,,0,,,,71,127
46800,note_on,,0,0,2,,,,,,,0,,,,74,127
47032,note_off,,232,0,2,,,,,,,0,,,,74,64
47032,note_off,,0,0,2,,,,,,,0,,,,64,64
47032,note_off,,0,0,2,,,,,,,0,,,,71,64
47032,note_off,,472,0,3,,,,,,,2,,,,52,64
47040,note_on,,8,0,2,,,,,,,0,,,,64,127
47040,note_on,,0,0,2,,,,,,,0,,,,71,127
47272,note_off,,232,0,2,,,,,,,0,,,,71,64
47272,note_off,,0,0,2,,,,,,,0,,,,64,64
47280,note_on,,8,0,2,,,,,,,0,,,,64,127
47280,note_on,,0,0,2,,,,,,,0,,,,71,127
47512,note_off,,1432,0,4,,,,,,,1,,,,68,64
47512,note_off,,232,0,2,,,,,,,0,,,,71,64
47512,note_off,,0,0,2,,,,,,,0,,,,64,64
47512,note_off,,1432,0,1,,,,,,,3,,,,68,64
47520,note_on,,488,0,3,,,,,,,2,,,,40,127
47520,note_on,,0,0,2,,,,,,,0,,,,68,127
47520,note_on,,0,0,2,,,,,,,0,,,,64,127
47520,note_on,,8,0,2,,,,,,,0,,,,62,127
47520,note_on,,8,0,1,,,,,,,3,,,,69,127
47520,note_on,,8,0,4,,,,,,,1,,,,69,127
47752,note_off,,232,0,2,,,,,,,0,,,,68,64
47752,note_off,,232,0,4,,,,,,,1,,,,69,64
47752,note_off,,232,0,1,,,,,,,3,,,,69,64
47752,note_off,,0,0,2,,,,,,,0,,,,62,64
47752,note_off,,0,0,2,,,,,,,0,,,,64,64
47760,note_on,,8,0,4,,,,,,,1,,,,71,127
47760,note_on,,8,0,1,,,,,,,3,,,,71,127
47760,note_on,,0,0,2,,,,,,,0,,,,68,127
47760,note_on,,0,0,2,,,,,,,0,,,,64,127
47760,note_on,,8,0,2,,,,,,,0,,,,62,127
47872,note_off,,352,0,3,,,,,,,2,,,,40,64
47880,note_on,,8,0,3,,,,,,,2,,,,40,127
47992,note_off,,0,0,2,,,,,,,0,,,,62,64
47992,note_off,,0,0,2,,,,,,,0,,,,64,64
47992,note_off,,232,0,2,,,,,,,0,,,,68,64
47992,note_off,,112,0,3,,,,,,,2,,,,40,64
47992,note_off,,232,0,1,,,,,,,3,,,,71,64
47992,note_off,,232,0,4,,,,,,,1,,,,71,64
48000,note_on,,8,0,3,,,,,,,2,,,,45,127
48000,note_on,,8,0,1,,,,,,,3,,,,69,127
48000,note_on,,8,0,2,,,,,,,0,,,,61,127
48000,note_on,,0,0,2,,,,,,,0,,,,64,127
48000,note_on,,0,0,2,,,,,,,0,,,,69,127
48000,note_on,,8,0,4,,,,,,,1,,,,69,127
48232,note_off,,0,0,2,,,,,,,0,,,,61,64
48232,note_off,,0,0,2,,,,,,,0,,,,64,64
48232,note_off,,232,0,2,,,,,,,0,,,,69,64
48240,note_on,,8,0,2,,,,,,,0,,,,61,127
48240,note_on,,0,0,2,,,,,,,0,,,,64,127
48240,note_on,,0,0,2,,,,,,,0,,,,69,127
48472,note_off,,0,0,2,,,,,,,0,,,,64,64
48472,note_off,,232,0,2,,,,,,,0,,,,69,64
48472,note_off,,0,0,2,,,,,,,0,,,,61,64
48472,note_off,,472,0,3,,,,,,,2,,,,45,64
48480,note_on,,8,0,3,,,,,,,2,,,,40,127
48480,note_on,,0,0,2,,,,,,,0,,,,64,127
48480,note_on,,8,0,2,,,,,,,0,,,,61,127
48480,note_on,,0,0,2,,,,,,,0,,,,69,127
48712,note_off,,0,0,2,,,,,,,0,,,,64,64
48712,note_off,,0,0,2,,,,,,,0,,,,61,64
48712,note_off,,232,0,2,,,,,,,0,,,,69,64
48720,note_on,,8,0,2,,,,,,,0,,,,61,127
48720,note_on,,0,0,2,,,,,,,0,,,,64,127
48720,note_on,,0,0,2,,,,,,,0,,,,69,127
48952,note_off,,472,0,3,,,,,,,2,,,,40,64
48952,note_off,,232,0,2,,,,,,,0,,,,69,64
48952,note_off,,0,0,2,,,,,,,0,,,,64,64
48952,note_off,,0,0,2,,,,,,,0,,,,61,64
48960,note_on,,8,0,2,,,,,,,0,,,,61,127
48960,note_on,,0,0,2,,,,,,,0,,,,64,127
48960,note_on,,0,0,2,,,,,,,0,,,,69,127
49192,note_off,,232,0,2,,,,,,,0,,,,69,64
49192,note_off,,0,0,2,,,,,,,0,,,,61,64
49192,note_off,,0,0,2,,,,,,,0,,,,64,64
49200,note_on,,8,0,2,,,,,,,0,,,,61,127
49200,note_on,,0,0,2,,,,,,,0,,,,64,127
49200,note_on,,0,0,2,,,,,,,0,,,,69,127
49432,note_off,,232,0,2,,,,,,,0,,,,69,64
49432,note_off,,0,0,2,,,,,,,0,,,,64,64
49432,note_off,,0,0,2,,,,,,,0,,,,61,64
49432,note_off,,1432,0,4,,,,,,,1,,,,69,64
49432,note_off,,1432,0,1,,,,,,,3,,,,69,64
49440,note_on,,0,0,2,,,,,,,0,,,,69,127
