tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity
7296,note_off,,,,,0,0,2,,,1,60,64
7296,note_off,,,,,0,0,2,,,1,72,64
7296,note_off,,,,,0,0,2,,,1,41,64
7440,note_on,,,,,2064,0,1,,,0,65,80
7440,note_on,,,,,144,0,2,,,1,65,80
7440,note_on,,,,,0,0,2,,,1,53,80
7632,note_off,,,,,0,0,2,,,1,65,64
7632,note_off,,,,,192,0,1,,,0,65,64
7632,note_off,,,,,192,0,2,,,1,53,64
7680,note_on,,,,,48,0,2,,,1,70,80
7680,note_on,,,,,0,0,2,,,1,50,80
7680,note_on,,,,,0,0,2,,,1,58,80
7680,note_on,,,,,0,0,2,,,1,65,80
7680,note_on,,,,,48,0,1,,,0,70,80
7968,note_off,,,,,288,0,1,,,0,70,64
7968,note_off,,,,,0,0,2,,,1,70,64
7968,note_off,,,,,0,0,2,,,1,50,64
7968,note_off,,,,,0,0,2,,,1,58,64
7968,note_off,,,,,288,0,2,,,1,65,64
8040,note_on,,,,,0,0,2,,,1,50,80
8040,note_on,,,,,72,0,2,,,1,70,80
8040,note_on,,,,,72,0,1,,,0,70,80
8040,note_on,,,,,0,0,2,,,1,58,80
8040,note_on,,,,,0,0,2,,,1,65,80
8136,note_off,,,,,96,0,1,,,0,70,64
8136,note_off,,,,,96,0,2,,,1,50,64
8136,note_off,,,,,0,0,2,,,1,70,64
8136,note_off,,,,,0,0,2,,,1,65,64
8136,note_off,,,,,0,0,2,,,1,58,64
8160,note_on,,,,,0,0,2,,,1,72,80
8160,note_on,,,,,0,0,2,,,1,51,80
8160,note_on,,,,,24,0,2,,,1,58,80
8160,note_on,,,,,24,0,1,,,0,72,80
8160,note_on,,,,,0,0,2,,,1,67,80
8352,note_off,,,,,192,0,1,,,0,72,64
8352,note_off,,,,,0,0,2,,,1,58,64
8352,note_off,,,,,192,0,2,,,1,67,64
8352,note_off,,,,,0,0,2,,,1,72,64
8352,note_off,,,,,0,0,2,,,1,51,64
8400,note_on,,,,,0,0,2,,,1,70,80
8400,note_on,,,,,48,0,2,,,1,58,80
8400,note_on,,,,,0,0,2,,,1,50,80
8400,note_on,,,,,0,0,2,,,1,65,80
8400,note_on,,,,,48,0,1,,,0,70,80
8592,note_off,,,,,192,0,2,,,1,65,64
8592,note_off,,,,,0,0,2,,,1,70,64
8592,note_off,,,,,192,0,1,,,0,70,64
8592,note_off,,,,,0,0,2,,,1,50,64
8592,note_off,,,,,0,0,2,,,1,58,64
8640,note_on,,,,,48,0,1,,,0,74,80
8640,note_on,,,,,0,0,2,,,1,65,80
8640,note_on,,,,,0,0,2,,,1,53,80
8640,note_on,,,,,0,0,2,,,1,74,80
8640,note_on,,,,,48,0,2,,,1,58,80
9024,note_off,,,,,0,0,2,,,1,58,64
9024,note_off,,,,,384,0,2,,,1,74,64
9024,note_off,,,,,384,0,1,,,0,74,64
9120,note_on,,,,,0,0,2,,,1,57,80
9120,note_on,,,,,96,0,2,,,1,72,80
9120,note_on,,,,,96,0,1,,,0,72,80
9312,note_off,,,,,192,0,1,,,0,72,64
9312,note_off,,,,,192,0,2,,,1,57,64
9360,note_on,,,,,48,0,2,,,1,56,80
9408,note_off,,,,,0,0,2,,,1,53,64
9408,note_off,,,,,48,0,2,,,1,65,64
9504,note_off,,,,,96,0,2,,,1,72,64
9552,note_off,,,,,48,0,2,,,1,56,64
9600,note_on,,,,,0,0,2,,,1,63,80
9600,note_on,,,,,0,0,2,,,1,60,80
9600,note_on,,,,,48,0,2,,,1,75,80
9600,note_on,,,,,288,0,1,,,0,75,80
9600,note_on,,,,,0,0,2,,,1,55,80
9600,note_on,,,,,0,0,2,,,1,48,80
9600,note_on,,,,,0,0,2,,,1,67,80
9792,note_off,,,,,192,0,2,,,1,48,64
9792,note_off,,,,,0,0,2,,,1,75,64
9792,note_off,,,,,192,0,1,,,0,75,64
9840,note_on,,,,,48,0,2,,,1,74,80
9840,note_on,,,,,0,0,2,,,1,50,80
9840,note_on,,,,,48,0,1,,,0,74,80
9936,note_off,,,,,0,0,2,,,1,74,64
9936,note_off,,,,,96,0,1,,,0,74,64
9936,note_off,,,,,96,0,2,,,1,50,64
9960,note_on,,,,,24,0,1,,,0,72,80
9960,note_on,,,,,0,0,2,,,1,51,80
9960,note_on,,,,,24,0,2,,,1,72,80
9984,note_off,,,,,0,0,2,,,1,63,64
9984,note_off,,,,,0,0,2,,,1,55,64
9984,note_off,,,,,24,0,2,,,1,67,64
9984,note_off,,,,,0,0,2,,,1,60,64
10056,note_off,,,,,96,0,1,,,0,72,64
10056,note_off,,,,,0,0,2,,,1,72,64
10056,note_off,,,,,72,0,2,,,1,51,64
10080,note_on,,,,,0,0,2,,,1,62,80
10080,note_on,,,,,0,0,2,,,1,65,80
10080,note_on,,,,,0,0,2,,,1,74,80
10080,note_on,,,,,0,0,2,,,1,58,80
10080,note_on,,,,,0,0,2,,,1,70,80
10080,note_on,,,,,24,0,1,,,0,74,80
10080,note_on,,,,,24,0,2,,,1,53,80
10272,note_off,,,,,192,0,1,,,0,74,64
10272,note_off,,,,,192,0,2,,,1,65,64
10272,note_off,,,,,0,0,2,,,1,70,64
10272,note_off,,,,,0,0,2,,,1,53,64
10272,note_off,,,,,0,0,2,,,1,58,64
10272,note_off,,,,,0,0,2,,,1,74,64
10272,note_off,,,,,0,0,2,,,1,62,64
10320,note_on,,,,,0,0,2,,,1,53,80
10320,note_on,,,,,0,0,2,,,1,72,80
10320,note_on,,,,,48,0,1,,,0,72,80
10320,note_on,,,,,0,0,2,,,1,65,80
10320,note_on,,,,,0,0,2,,,1,69,80
10320,note_on,,,,,48,0,2,,,1,63,80
10320,note_on,,,,,0,0,2,,,1,57,80
10320,note_on,,,,,0,0,2,,,1,60,80
10416,note_off,,,,,96,0,1,,,0,72,64
10440,note_on,,,,,24,0,1,,,0,72,80
10440,note_on,,,,,0,0,1,,,0,72,80
10512,note_off,,,,,0,0,2,,,1,63,64
10512,note_off,,,,,0,0,2,,,1,69,64
10512,note_off,,,,,0,0,2,,,1,65,64
10512,note_off,,,,,0,0,2,,,1,53,64
10512,note_off,,,,,0,0,2,,,1,57,64
10512,note_off,,,,,0,0,2,,,1,72,64
10512,note_off,,,,,192,0,2,,,1,60,64
10536,note_off,,,,,0,0,1,,,0,72,64
10536,note_off,,,,,96,0,1,,,0,72,64
10560,note_on,,,,,0,0,2,,,1,46,80
10560,note_on,,,,,0,0,2,,,1,53,80
10560,note_on,,,,,0,0,2,,,1,70,80
10560,note_on,,,,,0,0,2,,,1,65,80
10560,note_on,,,,,0,0,2,,,1,58,80
10560,note_on,,,,,48,0,2,,,1,62,80
10560,note_on,,,,,24,0,1,,,0,70,80
10848,note_off,,,,,0,0,2,,,1,58,64
10848,note_off,,,,,0,0,2,,,1,46,64
10848,note_off,,,,,288,0,2,,,1,53,64
10920,note_on,,,,,72,0,2,,,1,46,80
11016,note_off,,,,,96,0,2,,,1,46,64
11040,note_on,,,,,24,0,2,,,1,46,80
11040,note_on,,,,,0,0,2,,,1,45,80
11136,note_off,,,,,0,0,2,,,1,62,64
11136,note_off,,,,,0,0,2,,,1,65,64
11136,note_off,,,,,96,0,2,,,1,70,64
11136,note_off,,,,,576,0,1,,,0,70,64
11232,note_off,,,,,0,0,2,,,1,46,64
11232,note_off,,,,,96,0,2,,,1,45,64
11280,note_on,,,,,0,0,2,,,1,58,80
11280,note_on,,,,,0,0,2,,,1,44,80
11280,note_on,,,,,48,0,2,,,1,46,80
11472,note_off,,,,,0,0,2,,,1,44,64
11472,note_off,,,,,192,0,2,,,1,58,64
11472,note_off,,,,,0,0,2,,,1,46,64
11520,note_on,,,,,0,0,2,,,1,43,80
11520,note_on,,,,,48,0,2,,,1,46,80
11520,note_on,,,,,0,0,2,,,1,63,80
11520,note_on,,,,,0,0,2,,,1,58,80
11712,note_off,,,,,192,0,2,,,1,58,64
11712,note_off,,,,,0,0,2,,,1,63,64
11712,note_off,,,,,0,0,2,,,1,43,64
11712,note_off,,,,,0,0,2,,,1,46,64
11760,note_on,,,,,48,0,2,,,1,50,80
11760,note_on,,,,,0,0,2,,,1,41,80
11760,note_on,,,,,0,0,2,,,1,65,80
11760,note_on,,,,,0,0,2,,,1,58,80
11856,note_off,,,,,0,0,2,,,1,41,64
11856,note_off,,,,,0,0,2,,,1,65,64
11856,note_off,,,,,0,0,2,,,1,50,64
11856,note_off,,,,,96,0,2,,,1,58,64
11880,note_on,,,,,0,0,2,,,1,51,80
11880,note_on,,,,,24,0,2,,,1,39,80
11880,note_on,,,,,0,0,2,,,1,58,80
11880,note_on,,,,,0,0,2,,,1,67,80
11976,note_off,,,,,96,0,2,,,1,67,64
11976,note_off,,,,,0,0,2,,,1,58,64
11976,note_off,,,,,0,0,2,,,1,51,64
11976,note_off,,,,,0,0,2,,,1,39,64
12000,note_on,,,,,24,0,2,,,1,50,80
12000,note_on,,,,,0,0,2,,,1,41,80
12000,note_on,,,,,0,0,2,,,1,65,80
12000,note_on,,,,,0,0,2,,,1,58,80
12192,note_off,,,,,0,0,2,,,1,58,64
12192,note_off,,,,,0,0,2,,,1,65,64
12192,note_off,,,,,192,0,2,,,1,41,64
12192,note_off,,,,,0,0,2,,,1,50,64
12240,note_on,,,,,0,0,2,,,1,41,80
12240,note_on,,,,,0,0,2,,,1,65,80
12240,note_on,,,,,0,0,2,,,1,57,80
12240,note_on,,,,,48,0,2,,,1,51,80
12432,note_off,,,,,192,0,2,,,1,41,64
12432,note_off,,,,,0,0,2,,,1,51,64
12432,note_off,,,,,0,0,2,,,1,65,64
12432,note_off,,,,,0,0,2,,,1,57,64
12480,note_on,,,,,0,0,2,,,1,50,80
12480,note_on,,,,,0,0,2,,,1,65,80
12480,note_on,,,,,0,0,2,,,1,46,80
12480,note_on,,,,,48,0,2,,,1,58,80
13056,note_off,,,,,0,0,2,,,1,46,64
13056,note_off,,,,,0,0,2,,,1,58,64
13056,note_off,,,,,0,0,2,,,1,65,64
13056,note_off,,,,,576,0,2,,,1,50,64
13200,note_on,,,,,0,0,2,,,1,58,80
13200,note_on,,,,,144,0,2,,,1,70,80
13200,note_on,,,,,2064,0,1,,,0,70,80
13392,note_off,,,,,0,0,2,,,1,70,64
13392,note_off,,,,,192,0,2,,,1,58,64
