tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
151680,note_on,0,0,1,,,,,,,,,,,,,,,0,,,67,82
151680,note_on,0,0,1,,,,,,,,,,,,,,,0,,,74,0
151680,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,0
151680,note_on,0,0,1,,,,,,,,,,,,,,,0,,,86,0
151680,note_on,0,0,1,,,,,,,,,,,,,,,0,,,64,82
151680,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,82
151680,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,98
151680,note_on,0,0,2,,,,,,,,,,,,,,,0,,,43,70
151680,note_on,0,0,2,,,,,,,,,,,,,,,0,,,55,82
151680,set_tempo,240,1,0,,,,,,,,,,,,458015,,,,,,,
151680,note_on,480,0,1,,,,,,,,,,,,,,,0,,,83,0
151680,note_on,174,0,2,,,,,,,,,,,,,,,0,,,43,0
151794,control_change,114,0,2,,,,,,,,,,,,,,,0,64,127,,
152040,note_on,246,0,2,,,,,,,,,,,,,,,0,,,55,0
152040,note_on,0,0,2,,,,,,,,,,,,,,,0,,,43,0
152040,note_on,0,0,2,,,,,,,,,,,,,,,0,,,31,64
152040,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,75
152040,note_on,360,0,1,,,,,,,,,,,,,,,0,,,76,0
152040,note_on,0,0,2,,,,,,,,,,,,,,,0,,,43,76
152040,set_tempo,360,1,0,,,,,,,,,,,,437956,,,,,,,
152040,note_on,0,0,1,,,,,,,,,,,,,,,0,,,88,89
152040,note_on,0,0,1,,,,,,,,,,,,,,,0,,,84,75
152040,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,0
152040,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,75
152040,note_on,0,0,1,,,,,,,,,,,,,,,0,,,67,0
152040,note_on,0,0,1,,,,,,,,,,,,,,,0,,,64,0
152130,note_on,90,0,2,,,,,,,,,,,,,,,0,,,43,0
152130,note_on,0,0,1,,,,,,,,,,,,,,,0,,,84,0
152130,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,0
152130,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,0
152130,note_on,90,0,1,,,,,,,,,,,,,,,0,,,88,0
152130,note_on,0,0,2,,,,,,,,,,,,,,,0,,,31,0
152160,note_on,0,0,1,,,,,,,,,,,,,,,0,,,84,86
152160,note_on,0,0,1,,,,,,,,,,,,,,,0,,,88,102
152160,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,86
152160,note_on,30,0,1,,,,,,,,,,,,,,,0,,,76,86
152160,note_on,30,0,2,,,,,,,,,,,,,,,0,,,31,74
152160,note_on,0,0,2,,,,,,,,,,,,,,,0,,,43,88
152368,control_change,208,0,2,,,,,,,,,,,,,,,0,64,0,,
152400,set_tempo,360,1,0,,,,,,,,,,,,530973,,,,,,,
152640,note_on,0,0,2,,,,,,,,,,,,,,,0,,,55,85
152640,note_on,0,0,2,,,,,,,,,,,,,,,0,,,31,0
152640,note_on,272,0,2,,,,,,,,,,,,,,,0,,,43,0
152640,note_on,480,0,1,,,,,,,,,,,,,,,0,,,84,0
152640,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,0
152640,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,0
152640,note_on,0,0,1,,,,,,,,,,,,,,,0,,,88,0
152640,note_on,0,0,2,,,,,,,,,,,,,,,0,,,43,72
152640,set_tempo,240,1,0,,,,,,,,,,,,493827,,,,,,,
152640,note_on,0,0,1,,,,,,,,,,,,,,,0,,,77,86
152640,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,101
152640,note_on,0,0,1,,,,,,,,,,,,,,,0,,,67,86
152640,note_on,0,0,1,,,,,,,,,,,,,,,0,,,71,86
