tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,control,value,channel,program,data,note,velocity,pitch
7540,note_on,,0,0,11,,,,,,,,,10,,,63,54,
7540,note_on,,0,0,11,,,,,,,,,10,,,59,54,
7540,note_on,,0,0,11,,,,,,,,,10,,,67,0,
7540,note_on,,24,0,5,,,,,,,,,4,,,59,44,
7540,note_on,,24,0,11,,,,,,,,,10,,,64,0,
7541,note_on,,0,0,5,,,,,,,,,4,,,52,0,
7541,note_on,,1,0,5,,,,,,,,,4,,,64,0,
7561,note_on,,24,0,8,,,,,,,,,7,,,75,36,
7562,note_on,,24,0,4,,,,,,,,,3,,,63,36,
7564,note_on,,3,0,8,,,,,,,,,7,,,71,0,
7566,note_on,,4,0,4,,,,,,,,,3,,,59,0,
7585,note_on,,21,0,8,,,,,,,,,7,,,78,38,
7586,set_tempo,750000,48,1,0,,,,,,,,,,,,,,
7586,note_on,,48,0,14,,,,,,,,,13,,,47,0,
7586,note_on,,20,0,4,,,,,,,,,3,,,66,38,
7588,note_on,,3,0,8,,,,,,,,,7,,,75,0,
7590,note_on,,4,0,4,,,,,,,,,3,,,63,0,
7609,note_on,,21,0,8,,,,,,,,,7,,,81,41,
7610,note_on,,20,0,4,,,,,,,,,3,,,69,41,
7612,note_on,,3,0,8,,,,,,,,,7,,,78,0,
7614,note_on,,4,0,4,,,,,,,,,3,,,66,0,
7625,text,,89,1,12,,,,,,,,,,,,,,
7625,program_change,,0,0,12,,,,,,,,,11,49,,,,
7626,text,,1,1,12,,,,,,,,,,,,,,
7626,sysex,,0,0,12,,,,,,,,,,,"(65, 16, 66, 18, 64, 27, 50, 62, 53)",,,
7628,text,,2,1,12,,,,,,,,,,,,,,
7628,sysex,,0,0,12,,,,,,,,,,,"(65, 16, 66, 18, 64, 27, 51, 78, 36)",,,
7630,text,,2,1,12,,,,,,,,,,,,,,
7630,sysex,,0,0,12,,,,,,,,,,,"(65, 16, 66, 18, 64, 27, 52, 44, 69)",,,
7632,sysex,,0,0,12,,,,,,,,,,,"(65, 16, 66, 18, 64, 27, 53, 100, 12)",,,
7632,note_on,,2,0,12,,,,,,,,,11,,,47,0,
7632,text,,0,1,12,,,,,,,,,,,,,,
7633,note_on,,21,0,8,,,,,,,,,7,,,80,38,
7633,note_on,,96,0,13,,,,,,,,,12,,,47,0,
7633,program_change,,0,0,13,,,,,,,,,12,49,,,,
7634,set_tempo,882352,48,1,0,,,,,,,,,,,,,,
7634,sysex,,1,0,13,,,,,,,,,,,"(65, 16, 66, 18, 64, 28, 52, 46, 66)",,,
7634,sysex,,0,0,13,,,,,,,,,,,"(65, 16, 66, 18, 64, 28, 53, 100, 11)",,,
7634,sysex,,0,0,13,,,,,,,,,,,"(65, 16, 66, 18, 64, 28, 54, 64, 46)",,,
7634,note_on,,96,0,3,,,,,,,,,2,,,62,0,
7634,sysex,,0,0,12,,,,,,,,,,,"(65, 16, 66, 18, 64, 27, 54, 44, 67)",,,
7634,note_on,,20,0,4,,,,,,,,,3,,,68,38,
7634,note_on,,0,0,3,,,,,,,,,2,,,66,0,
7634,text,,2,1,12,,,,,,,,,,,,,,
7635,note_on,,96,0,1,,,,,,,,,0,,,69,0,
7635,note_on,,0,0,1,,,,,,,,,0,,,71,0,
7636,note_on,,3,0,8,,,,,,,,,7,,,81,0,
7636,note_on,,0,0,5,,,,,,,,,4,,,59,0,
7636,note_on,,95,0,5,,,,,,,,,4,,,47,0,
7638,note_on,,4,0,4,,,,,,,,,3,,,69,0,
7657,note_on,,21,0,8,,,,,,,,,7,,,78,36,
7658,note_on,,20,0,4,,,,,,,,,3,,,66,36,
7660,note_on,,3,0,8,,,,,,,,,7,,,80,0,
7662,note_on,,4,0,4,,,,,,,,,3,,,68,0,
7680,note_on,,46,0,12,,,,,,,,,11,,,44,29,
7681,note_on,,21,0,8,,,,,,,,,7,,,76,34,
7681,note_on,,47,0,13,,,,,,,,,12,,,32,29,
7682,note_on,,20,0,4,,,,,,,,,3,,,64,34,
7682,note_on,,48,0,3,,,,,,,,,2,,,71,54,
7682,note_on,,0,0,6,,,,,,,,,5,,,64,34,
7682,note_on,,0,0,6,,,,,,,,,5,,,68,34,
7682,note_on,,0,0,6,,,,,,,,,5,,,71,0,
7682,note_on,,144,0,6,,,,,,,,,5,,,59,0,
7682,note_on,,1008,0,2,,,,,,,,,1,,,71,54,
7682,set_tempo,845070,48,1,0,,,,,,,,,,,,,,
7683,note_on,,48,0,1,,,,,,,,,0,,,83,74,
7683,note_on,,0,0,9,,,,,,,,,8,,,68,34,
7683,note_on,,0,0,9,,,,,,,,,8,,,71,34,
7683,note_on,,0,0,9,,,,,,,,,8,,,71,0,
7683,note_on,,144,0,9,,,,,,,,,8,,,69,0,
7684,note_on,,0,0,11,,,,,,,,,10,,,59,0,
7684,control_change,,48,0,5,,,,,,,11,96,4,,,,,
7684,note_on,,3,0,8,,,,,,,,,7,,,78,0,
7684,note_on,,144,0,11,,,,,,,,,10,,,63,0,
7684,note_on,,0,0,11,,,,,,,,,10,,,61,54,
7686,note_on,,4,0,4,,,,,,,,,3,,,66,0,
7728,note_on,,48,0,12,,,,,,,,,11,,,44,0,
7728,note_on,,0,0,12,,,,,,,,,11,,,40,31,
7729,note_on,,45,0,8,,,,,,,,,7,,,76,0,
7729,note_on,,0,0,13,,,,,,,,,12,,,28,31,
7729,note_on,,48,0,13,,,,,,,,,12,,,32,0,
7730,note_on,,48,0,6,,,,,,,,,5,,,64,0,
7730,note_on,,0,0,3,,,,,,,,,2,,,68,55,
7730,note_on,,48,0,2,,,,,,,,,1,,,71,0,
7730,note_on,,44,0,4,,,,,,,,,3,,,64,0,
7730,note_on,,0,0,2,,,,,,,,,1,,,68,55,
7730,note_on,,0,0,6,,,,,,,,,5,,,68,0,
7730,note_on,,48,0,3,,,,,,,,,2,,,71,0,
7731,note_on,,48,0,9,,,,,,,,,8,,,68,0,
7731,note_on,,0,0,1,,,,,,,,,0,,,80,75,
7731,note_on,,0,0,9,,,,,,,,,8,,,71,0,
7731,note_on,,48,0,1,,,,,,,,,0,,,83,0,
7732,note_on,,48,0,11,,,,,,,,,10,,,61,0,
7776,note_on,,48,0,12,,,,,,,,,11,,,40,0,
7776,note_on,,0,0,12,,,,,,,,,11,,,49,30,
7777,note_on,,0,0,13,,,,,,,,,12,,,37,30,
7777,note_on,,48,0,13,,,,,,,,,12,,,28,0,
7778,note_on,,48,0,2,,,,,,,,,1,,,68,0,
7778,note_on,,0,0,3,,,,,,,,,2,,,64,54,
7778,note_on,,0,0,2,,,,,,,,,1,,,64,54,
7778,note_on,,48,0,3,,,,,,,,,2,,,68,0,
7779,note_on,,48,0,1,,,,,,,,,0,,,80,0,
7779,note_on,,0,0,1,,,,,,,,,0,,,76,74,
7780,control_change,,48,0,11,,,,,,,11,96,10,,,,,
7822,control_change,,93,0,8,,,,,,,11,96,7,,,,,
7824,note_on,,0,0,12,,,,,,,,,11,,,47,30,
7824,note_on,,48,0,12,,,,,,,,,11,,,49,0,
7824,control_change,,93,0,9,,,,,,,11,96,8,,,,,
7825,note_on,,0,0,13,,,,,,,,,12,,,35,30,
7825,note_on,,48,0,13,,,,,,,,,12,,,37,0,
7825,note_on,,0,0,8,,,,,,,,,7,,,71,36,
7825,control_change,,3,0,8,,,,,,,11,96,7,,,,,
7826,control_change,,96,0,4,,,,,,,11,123,3,,,,,
7826,note_on,,0,0,4,,,,,,,,,3,,,63,24,
7826,note_on,,0,0,3,,,,,,,,,2,,,59,54,
7826,note_on,,0,0,2,,,,,,,,,1,,,59,54,
7826,note_on,,0,0,4,,,,,,,,,3,,,57,14,
7826,note_on,,48,0,2,,,,,,,,,1,,,64,0,
7826,note_on,,48,0,3,,,,,,,,,2,,,64,0,
7826,set_tempo,821917,144,1,0,,,,,,,,,,,,,,
7827,note_on,,48,0,1,,,,,,,,,0,,,76,0,
7827,note_on,,0,0,1,,,,,,,,,0,,,71,74,
7827,note_on,,3,0,9,,,,,,,,,8,,,59,36,
7828,note_on,,0,0,5,,,,,,,,,4,,,59,41,
7828,control_change,,144,0,5,,,,,,,11,123,4,,,,,
7828,note_on,,0,0,5,,,,,,,,,4,,,66,53,
7830,control_change,,4,0,4,,,,,,,11,122,3,,,,,
7832,control_change,,4,0,5,,,,,,,11,122,4,,,,,
7834,control_change,,4,0,4,,,,,,,11,121,3,,,,,
7836,control_change,,4,0,5,,,,,,,11,121,4,,,,,
7838,control_change,,4,0,4,,,,,,,11,120,3,,,,,
7840,control_change,,4,0,5,,,,,,,11,120,4,,,,,
7842,control_change,,4,0,4,,,,,,,11,119,3,,,,,
7844,control_change,,4,0,5,,,,,,,11,119,4,,,,,
7846,control_change,,4,0,4,,,,,,,11,118,3,,,,,
7848,control_change,,4,0,5,,,,,,,11,118,4,,,,,
7849,note_on,,24,0,8,,,,,,,,,7,,,75,39,
7850,control_change,,4,0,4,,,,,,,11,117,3,,,,,
7851,note_on,,24,0,9,,,,,,,,,8,,,63,39,
7852,control_change,,4,0,5,,,,,,,11,117,4,,,,,
7852,note_on,,3,0,8,,,,,,,,,7,,,71,0,
7854,control_change,,4,0,4,,,,,,,11,116,3,,,,,
7854,note_on,,3,0,9,,,,,,,,,8,,,59,0,
7856,control_change,,4,0,5,,,,,,,11,116,4,,,,,
7858,control_change,,4,0,4,,,,,,,11,115,3,,,,,
7860,control_change,,4,0,5,,,,,,,11,115,4,,,,,
7862,control_change,,4,0,4,,,,,,,11,114,3,,,,,
7864,control_change,,4,0,5,,,,,,,11,114,4,,,,,
7866,control_change,,4,0,4,,,,,,,11,113,3,,,,,
7868,control_change,,4,0,5,,,,,,,11,113,4,,,,,
7870,control_change,,4,0,4,,,,,,,11,112,3,,,,,
7872,control_change,,4,0,5,,,,,,,11,112,4,,,,,
7872,note_on,,48,0,12,,,,,,,,,11,,,47,0,
7873,note_on,,48,0,13,,,,,,,,,12,,,35,0,
7873,note_on,,21,0,8,,,,,,,,,7,,,78,42,
7874,note_on,,48,0,2,,,,,,,,,1,,,59,0,
7874,note_on,,48,0,3,,,,,,,,,2,,,59,0,
7874,control_change,,4,0,4,,,,,,,11,111,3,,,,,
7875,note_on,,48,0,1,,,,,,,,,0,,,71,0,
7875,note_on,,21,0,9,,,,,,,,,8,,,66,42,
7876,control_change,,4,0,5,,,,,,,11,111,4,,,,,
7876,note_on,,3,0,8,,,,,,,,,7,,,75,0,
7878,control_change,,4,0,4,,,,,,,11,110,3,,,,,
7878,note_on,,3,0,9,,,,,,,,,8,,,63,0,
7880,control_change,,4,0,5,,,,,,,11,110,4,,,,,
7882,control_change,,4,0,4,,,,,,,11,109,3,,,,,
7884,control_change,,4,0,5,,,,,,,11,109,4,,,,,
7886,control_change,,4,0,4,,,,,,,11,108,3,,,,,
7888,control_change,,4,0,5,,,,,,,11,108,4,,,,,
7890,control_change,,4,0,4,,,,,,,11,107,3,,,,,
7892,control_change,,4,0,5,,,,,,,11,107,4,,,,,
7894,control_change,,4,0,4,,,,,,,11,106,3,,,,,
7896,control_change,,4,0,5,,,,,,,11,106,4,,,,,
7897,note_on,,21,0,8,,,,,,,,,7,,,81,48,
7898,control_change,,4,0,4,,,,,,,11,105,3,,,,,
7899,note_on,,21,0,9,,,,,,,,,8,,,69,48,
7900,note_on,,3,0,8,,,,,,,,,7,,,78,0,
7900,control_change,,4,0,5,,,,,,,11,105,4,,,,,
7902,control_change,,4,0,4,,,,,,,11,104,3,,,,,
7902,note_on,,3,0,9,,,,,,,,,8,,,66,0,
7904,control_change,,4,0,5,,,,,,,11,104,4,,,,,
7906,control_change,,4,0,4,,,,,,,11,103,3,,,,,
7908,control_change,,4,0,5,,,,,,,11,103,4,,,,,
7910,control_change,,4,0,4,,,,,,,11,102,3,,,,,
7912,control_change,,4,0,5,,,,,,,11,102,4,,,,,
7914,control_change,,4,0,4,,,,,,,11,101,3,,,,,
7916,control_change,,4,0,5,,,,,,,11,101,4,,,,,
7918,control_change,,4,0,4,,,,,,,11,100,3,,,,,
7920,control_change,,4,0,5,,,,,,,11,100,4,,,,,
7921,note_on,,21,0,8,,,,,,,,,7,,,80,53,
7922,control_change,,4,0,4,,,,,,,11,99,3,,,,,
7923,note_on,,21,0,9,,,,,,,,,8,,,68,53,
7924,note_on,,3,0,8,,,,,,,,,7,,,81,0,
7924,control_change,,4,0,5,,,,,,,11,99,4,,,,,
7926,control_change,,4,0,4,,,,,,,11,98,3,,,,,
7926,note_on,,3,0,9,,,,,,,,,8,,,69,0,
7928,control_change,,4,0,5,,,,,,,11,98,4,,,,,
7930,control_change,,4,0,4,,,,,,,11,97,3,,,,,
7932,control_change,,4,0,5,,,,,,,11,97,4,,,,,
7934,control_change,,4,0,4,,,,,,,11,96,3,,,,,
7936,control_change,,4,0,5,,,,,,,11,96,4,,,,,
7938,control_change,,4,0,4,,,,,,,11,95,3,,,,,
7940,control_change,,4,0,5,,,,,,,11,95,4,,,,,
7942,control_change,,4,0,4,,,,,,,11,94,3,,,,,
7944,control_change,,4,0,5,,,,,,,11,94,4,,,,,
7945,note_on,,21,0,8,,,,,,,,,7,,,78,57,
7946,control_change,,4,0,4,,,,,,,11,93,3,,,,,
7947,note_on,,21,0,9,,,,,,,,,8,,,66,57,
7948,control_change,,4,0,5,,,,,,,11,93,4,,,,,
