tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,pitch,note,velocity
22443,note_on,51,0,7,,,,,,,,,11,,,,65,80
22445,note_on,51,0,8,,,,,,,,,12,,,,59,78
22445,note_on,0,0,8,,,,,,,,,12,,,,62,78
22447,note_on,120,0,9,,,,,,,,,13,,,,43,0
22450,control_change,16,0,1,,,,,,,,,0,11,45,,,
22451,note_on,120,0,10,,,,,,,,,14,,,,31,0
22464,control_change,24,0,6,,,,,,,,,10,11,49,,,
22466,control_change,16,0,1,,,,,,,,,0,11,46,,,
22482,control_change,16,0,1,,,,,,,,,0,11,47,,,
22488,control_change,24,0,6,,,,,,,,,10,11,51,,,
22498,control_change,16,0,1,,,,,,,,,0,11,48,,,
22512,note_on,69,0,7,,,,,,,,,11,,,,65,0
22512,control_change,24,0,6,,,,,,,,,10,11,53,,,
22514,note_on,69,0,8,,,,,,,,,12,,,,62,0
22514,note_on,0,0,8,,,,,,,,,12,,,,59,0
22514,control_change,16,0,1,,,,,,,,,0,11,49,,,
22530,control_change,16,0,1,,,,,,,,,0,11,50,,,
22536,control_change,24,0,6,,,,,,,,,10,11,55,,,
22546,control_change,16,0,1,,,,,,,,,0,11,51,,,
22560,note_on,0,0,6,,,,,,,,,10,,,,71,100
22560,control_change,0,0,6,,,,,,,,,10,11,57,,,
22560,note_on,24,0,6,,,,,,,,,10,,,,67,0
22562,note_on,16,0,1,,,,,,,,,0,,,,79,0
22562,control_change,0,0,1,,,,,,,,,0,11,52,,,
22562,note_on,0,0,1,,,,,,,,,0,,,,83,83
22563,note_on,51,0,7,,,,,,,,,11,,,,65,80
22565,note_on,51,0,8,,,,,,,,,12,,,,62,78
22565,note_on,240,0,2,,,,,,,,,1,,,,71,0
22565,note_on,0,0,8,,,,,,,,,12,,,,59,78
22632,note_on,69,0,7,,,,,,,,,11,,,,65,0
22634,note_on,69,0,8,,,,,,,,,12,,,,59,0
22634,note_on,0,0,8,,,,,,,,,12,,,,62,0
22660,note_on,100,0,6,,,,,,,,,10,,,,71,0
22680,set_tempo,240,1,0,,,,,,246914,,,,,,,,
22680,note_on,20,0,6,,,,,,,,,10,,,,74,100
22682,note_on,120,0,1,,,,,,,,,0,,,,83,0
22682,note_on,0,0,1,,,,,,,,,0,,,,86,83
22683,note_on,51,0,7,,,,,,,,,11,,,,65,80
22685,note_on,0,0,8,,,,,,,,,12,,,,62,78
22685,note_on,51,0,8,,,,,,,,,12,,,,59,78
22752,note_on,69,0,7,,,,,,,,,11,,,,65,0
22754,note_on,0,0,8,,,,,,,,,12,,,,59,0
22754,note_on,69,0,8,,,,,,,,,12,,,,62,0
22800,set_tempo,120,1,0,,,,,,279720,,,,,,,,
22803,note_on,51,0,7,,,,,,,,,11,,,,65,80
22805,note_on,0,0,8,,,,,,,,,12,,,,62,78
22805,note_on,51,0,8,,,,,,,,,12,,,,59,78
22872,note_on,69,0,7,,,,,,,,,11,,,,65,0
22874,note_on,0,0,8,,,,,,,,,12,,,,59,0
22874,note_on,69,0,8,,,,,,,,,12,,,,62,0
22920,note_on,240,0,6,,,,,,,,,10,,,,74,0
22920,note_on,0,0,6,,,,,,,,,10,,,,71,100
22920,control_change,0,0,6,,,,,,,,,10,11,57,,,
22922,note_on,0,0,1,,,,,,,,,0,,,,83,83
22922,note_on,240,0,1,,,,,,,,,0,,,,86,0
22923,note_on,51,0,7,,,,,,,,,11,,,,65,80
22925,note_on,51,0,8,,,,,,,,,12,,,,59,78
22925,note_on,0,0,8,,,,,,,,,12,,,,62,78
22944,control_change,24,0,6,,,,,,,,,10,11,55,,,
22968,control_change,24,0,6,,,,,,,,,10,11,53,,,
22980,note_on,0,0,6,,,,,,,,,10,,,,67,100
22980,note_on,12,0,6,,,,,,,,,10,,,,71,0
22982,note_on,60,0,1,,,,,,,,,0,,,,83,0
22982,note_on,0,0,1,,,,,,,,,0,,,,79,83
22992,control_change,12,0,6,,,,,,,,,10,11,51,,,
22992,note_on,69,0,7,,,,,,,,,11,,,,65,0
22994,note_on,69,0,8,,,,,,,,,12,,,,62,0
22994,note_on,0,0,8,,,,,,,,,12,,,,59,0
23016,control_change,24,0,6,,,,,,,,,10,11,49,,,
23020,note_on,4,0,6,,,,,,,,,10,,,,67,0
23040,note_on,0,0,6,,,,,,,,,10,,,,66,100
23040,control_change,20,0,6,,,,,,,,,10,11,47,,,
23040,set_tempo,240,1,0,,,,,,246914,,,,,,,,
23042,note_on,60,0,1,,,,,,,,,0,,,,79,0
23042,note_on,0,0,1,,,,,,,,,0,,,,78,83
23043,note_on,51,0,7,,,,,,,,,11,,,,63,80
23045,note_on,51,0,8,,,,,,,,,12,,,,60,78
23112,note_on,69,0,7,,,,,,,,,11,,,,63,0
23114,note_on,69,0,8,,,,,,,,,12,,,,60,0
23160,set_tempo,120,1,0,,,,,,279720,,,,,,,,
23163,note_on,51,0,7,,,,,,,,,11,,,,63,80
23165,note_on,51,0,8,,,,,,,,,12,,,,60,78
23232,note_on,69,0,7,,,,,,,,,11,,,,63,0
23234,note_on,69,0,8,,,,,,,,,12,,,,60,0
23280,note_on,240,0,6,,,,,,,,,10,,,,66,0
23280,note_on,0,0,6,,,,,,,,,10,,,,69,100
