tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,note,velocity
5600,set_tempo,,,,,20,1,0,,366076,,,,,,,
5625,note_on,,,,,0,0,1,,,,,0,,,71,0
5625,note_on,,,,,40,0,1,,,,,0,,,83,0
5625,set_tempo,,,,,25,1,0,,367197,,,,,,,
5640,note_on,,,,,120,0,2,,,,,0,,,61,0
5640,note_on,,,,,0,0,1,,,,,0,,,79,55
5640,note_on,,,,,15,0,1,,,,,0,,,67,55
5640,note_on,,,,,0,0,2,,,,,0,,,64,41
5730,note_on,,,,,90,0,2,,,,,0,,,64,0
5760,control_change,,,,,0,0,1,,,,,0,64,96,,
5760,note_on,,,,,0,0,1,,,,,0,,,78,46
5760,note_on,,,,,0,0,1,,,,,0,,,66,46
5760,note_on,,,,,0,0,1,,,,,0,,,67,0
5760,note_on,,,,,30,0,2,,,,,0,,,57,0
5760,note_on,,,,,120,0,1,,,,,0,,,79,0
5760,note_on,,,,,0,0,2,,,,,0,,,62,40
5760,note_on,,,,,0,0,2,,,,,0,,,50,40
5775,set_tempo,,,,,150,1,0,,364963,,,,,,,
5780,set_tempo,,,,,5,1,0,,362756,,,,,,,
5795,set_tempo,,,,,15,1,0,,359496,,,,,,,
5805,set_tempo,,,,,10,1,0,,358422,,,,,,,
5815,set_tempo,,,,,10,1,0,,356294,,,,,,,
5830,set_tempo,,,,,15,1,0,,355239,,,,,,,
5865,set_tempo,,,,,35,1,0,,356294,,,,,,,
5880,set_tempo,,,,,15,1,0,,357355,,,,,,,
5880,note_on,,,,,120,0,2,,,,,0,,,62,0
5880,note_on,,,,,0,0,2,,,,,0,,,54,35
5910,set_tempo,,,,,30,1,0,,358422,,,,,,,
5915,set_tempo,,,,,5,1,0,,359496,,,,,,,
5925,set_tempo,,,,,10,1,0,,360576,,,,,,,
5935,set_tempo,,,,,10,1,0,,361663,,,,,,,
5940,set_tempo,,,,,5,1,0,,362756,,,,,,,
5945,control_change,,,,,185,0,1,,,,,0,64,0,,
5970,note_on,,,,,0,0,2,,,,,0,,,50,0
5970,note_on,,,,,25,0,1,,,,,0,,,78,0
5970,note_on,,,,,90,0,2,,,,,0,,,54,0
5970,set_tempo,,,,,30,1,0,,364963,,,,,,,
5970,note_on,,,,,0,0,1,,,,,0,,,66,0
5985,set_tempo,,,,,15,1,0,,366076,,,,,,,
5990,set_tempo,,,,,5,1,0,,367197,,,,,,,
6000,note_on,,,,,30,0,1,,,,,0,,,57,53
6000,note_on,,,,,0,0,1,,,,,0,,,66,53
6000,control_change,,,,,0,0,1,,,,,0,64,0,,
6000,set_tempo,,,,,10,1,0,,351082,,,,,,,
6005,set_tempo,,,,,5,1,0,,351082,,,,,,,
6015,set_tempo,,,,,10,1,0,,352112,,,,,,,
6045,set_tempo,,,,,30,1,0,,353148,,,,,,,
6065,set_tempo,,,,,20,1,0,,354191,,,,,,,
6075,set_tempo,,,,,10,1,0,,356294,,,,,,,
6095,set_tempo,,,,,20,1,0,,357355,,,,,,,
6120,note_on,,,,,120,0,1,,,,,0,,,73,48
6120,note_on,,,,,150,0,2,,,,,0,,,45,48
6120,control_change,,,,,0,0,1,,,,,0,64,96,,
6125,set_tempo,,,,,30,1,0,,358422,,,,,,,
6135,set_tempo,,,,,10,1,0,,359496,,,,,,,
6145,set_tempo,,,,,10,1,0,,360576,,,,,,,
6160,set_tempo,,,,,15,1,0,,361663,,,,,,,
6170,set_tempo,,,,,10,1,0,,362756,,,,,,,
6180,set_tempo,,,,,10,1,0,,363856,,,,,,,
6190,set_tempo,,,,,10,1,0,,364963,,,,,,,
6225,set_tempo,,,,,35,1,0,,366076,,,,,,,
6240,note_on,,,,,0,0,1,,,,,0,,,57,33
6240,note_on,,,,,0,0,1,,,,,0,,,66,33
6240,control_change,,,,,0,0,1,,,,,0,64,0,,
6240,note_on,,,,,120,0,1,,,,,0,,,66,0
6240,note_on,,,,,0,0,1,,,,,0,,,57,0
6255,set_tempo,,,,,30,1,0,,367197,,,,,,,
6285,note_on,,,,,0,0,1,,,,,0,,,57,0
6285,note_on,,,,,45,0,1,,,,,0,,,66,0
6295,set_tempo,,,,,40,1,0,,368324,,,,,,,
6300,set_tempo,,,,,5,1,0,,369458,,,,,,,
6300,note_on,,,,,15,0,1,,,,,0,,,59,36
6300,note_on,,,,,0,0,1,,,,,0,,,67,36
6345,note_on,,,,,45,0,1,,,,,0,,,67,0
6345,note_on,,,,,0,0,1,,,,,0,,,59,0
6360,note_on,,,,,15,0,1,,,,,0,,,55,39
6360,note_on,,,,,0,0,1,,,,,0,,,64,39
6475,set_tempo,,,,,175,1,0,,372902,,,,,,,
6480,note_on,,,,,120,0,1,,,,,0,,,64,0
6480,note_on,,,,,0,0,1,,,,,0,,,55,0
6480,note_on,,,,,360,0,2,,,,,0,,,45,0
6480,note_on,,,,,0,0,1,,,,,0,,,54,35
6480,note_on,,,,,0,0,1,,,,,0,,,62,35
6480,note_on,,,,,0,0,1,,,,,0,,,74,35
6480,control_change,,,,,0,0,1,,,,,0,64,95,,
6480,note_on,,,,,0,0,2,,,,,0,,,50,39
6480,note_on,,,,,0,0,1,,,,,0,,,73,0
6505,set_tempo,,,,,30,1,0,,377595,,,,,,,
6660,set_tempo,,,,,155,1,0,,461893,,,,,,,
6690,note_on,,,,,210,0,2,,,,,0,,,50,0
6690,note_on,,,,,0,0,1,,,,,0,,,62,0
6690,control_change,,,,,0,0,1,,,,,0,64,0,,
6690,note_on,,,,,0,0,1,,,,,0,,,54,0
