tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,pitch,note,velocity
71400,note_on,5,0,1,,,,,,,,0,,,,84,85
71400,note_on,0,0,1,,,,,,,,0,,,,75,85
71401,note_on,0,0,7,,,,,,,,6,,,,60,80
71401,control_change,15,0,7,,,,,,,,6,11,93,,,
71401,note_on,0,0,2,,,,,,,,1,,,,75,85
71401,note_on,0,0,2,,,,,,,,1,,,,72,85
71401,control_change,5,0,2,,,,,,,,1,11,79,,,
71401,control_change,24,0,10,,,,,,,,11,11,89,,,
71401,note_on,0,0,7,,,,,,,,6,,,,72,80
71402,note_on,5,0,3,,,,,,,,2,,,,63,85
71402,note_on,0,0,3,,,,,,,,2,,,,72,85
71402,control_change,0,0,3,,,,,,,,2,11,79,,,
71403,note_on,15,0,5,,,,,,,,4,,,,48,74
71403,control_change,0,0,5,,,,,,,,4,11,93,,,
71403,control_change,24,0,11,,,,,,,,12,11,89,,,
71403,note_on,0,0,5,,,,,,,,4,,,,60,74
71404,note_on,0,0,6,,,,,,,,5,,,,67,74
71404,note_on,0,0,6,,,,,,,,5,,,,63,74
71404,control_change,15,0,6,,,,,,,,5,11,93,,,
71405,control_change,5,0,4,,,,,,,,3,11,89,,,
71405,note_on,0,0,4,,,,,,,,3,,,,48,85
71406,control_change,24,0,12,,,,,,,,13,11,89,,,
71409,control_change,24,0,13,,,,,,,,14,11,89,,,
71409,note_on,11,0,8,,,,,,,,15,,,,48,67
71419,control_change,18,0,7,,,,,,,,6,11,92,,,
71421,control_change,18,0,5,,,,,,,,4,11,92,,,
71422,control_change,18,0,6,,,,,,,,5,11,92,,,
71424,control_change,24,0,9,,,,,,,,10,11,88,,,
71424,control_change,24,0,1,,,,,,,,0,11,79,,,
71425,control_change,24,0,10,,,,,,,,11,11,88,,,
71425,control_change,24,0,2,,,,,,,,1,11,79,,,
71425,note_on,16,0,8,,,,,,,,15,,,,48,0
71426,control_change,24,0,3,,,,,,,,2,11,79,,,
71427,control_change,24,0,11,,,,,,,,12,11,88,,,
71429,control_change,24,0,4,,,,,,,,3,11,88,,,
71430,control_change,24,0,12,,,,,,,,13,11,88,,,
71433,control_change,24,0,13,,,,,,,,14,11,88,,,
71437,control_change,18,0,7,,,,,,,,6,11,92,,,
71438,note_on,13,0,8,,,,,,,,15,,,,48,65
71439,control_change,18,0,5,,,,,,,,4,11,92,,,
71440,control_change,18,0,6,,,,,,,,5,11,92,,,
71441,note_on,0,0,10,,,,,,,,11,,,,63,0
71441,note_on,16,0,10,,,,,,,,11,,,,55,0
71443,note_on,0,0,11,,,,,,,,12,,,,63,0
71443,note_on,16,0,11,,,,,,,,12,,,,60,0
71446,note_on,16,0,12,,,,,,,,13,,,,48,0
71448,control_change,24,0,9,,,,,,,,10,11,87,,,
71448,control_change,24,0,1,,,,,,,,0,11,78,,,
71449,control_change,8,0,10,,,,,,,,11,11,87,,,
71449,control_change,24,0,2,,,,,,,,1,11,78,,,
71449,note_on,16,0,13,,,,,,,,14,,,,36,0
71450,control_change,24,0,3,,,,,,,,2,11,78,,,
71451,control_change,8,0,11,,,,,,,,12,11,87,,,
71453,control_change,24,0,4,,,,,,,,3,11,87,,,
71454,note_on,16,0,8,,,,,,,,15,,,,48,0
71454,control_change,8,0,12,,,,,,,,13,11,87,,,
71455,control_change,18,0,7,,,,,,,,6,11,91,,,
71457,control_change,18,0,5,,,,,,,,4,11,91,,,
71457,control_change,8,0,13,,,,,,,,14,11,87,,,
71458,control_change,18,0,6,,,,,,,,5,11,91,,,
71460,note_on,12,0,9,,,,,,,,10,,,,84,0
71460,note_on,0,0,9,,,,,,,,10,,,,83,115
71461,note_on,0,0,10,,,,,,,,11,,,,55,100
71461,note_on,12,0,10,,,,,,,,11,,,,63,100
71463,note_on,12,0,11,,,,,,,,12,,,,63,99
71463,note_on,0,0,11,,,,,,,,12,,,,60,99
71466,note_on,12,0,12,,,,,,,,13,,,,48,98
71467,note_on,13,0,8,,,,,,,,15,,,,48,66
71469,note_on,12,0,13,,,,,,,,14,,,,36,91
71472,control_change,24,0,1,,,,,,,,0,11,77,,,
71472,control_change,12,0,9,,,,,,,,10,11,87,,,
71473,control_change,18,0,7,,,,,,,,6,11,90,,,
