tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,pitch,note,velocity
258724,control_change,0,0,2,,,,,,,,,1,11,82,,,
258725,note_on,24,0,3,,,,,,,,,2,,,,74,0
258725,note_on,0,0,3,,,,,,,,,2,,,,77,0
258725,note_on,0,0,3,,,,,,,,,2,,,,72,101
258725,note_on,0,0,3,,,,,,,,,2,,,,76,101
258725,control_change,0,0,3,,,,,,,,,2,11,82,,,
258726,control_change,24,0,8,,,,,,,,,7,11,92,,,
258727,note_on,0,0,8,,,,,,,,,7,,,,55,0
258727,note_on,1,0,8,,,,,,,,,7,,,,64,0
258728,control_change,24,0,13,,,,,,,,,12,11,92,,,
258728,note_on,0,0,13,,,,,,,,,12,,,,64,112
258729,note_on,0,0,4,,,,,,,,,3,,,,60,100
258729,note_on,0,0,4,,,,,,,,,3,,,,62,0
258729,control_change,0,0,4,,,,,,,,,3,11,92,,,
258729,note_on,24,0,4,,,,,,,,,3,,,,65,0
258729,note_on,0,0,4,,,,,,,,,3,,,,64,100
258732,note_on,24,0,14,,,,,,,,,13,,,,60,112
258732,control_change,0,0,14,,,,,,,,,13,11,92,,,
258732,control_change,24,0,9,,,,,,,,,8,11,92,,,
258733,note_on,1,0,9,,,,,,,,,8,,,,48,0
258733,note_on,0,0,9,,,,,,,,,8,,,,48,110
258734,note_on,0,0,15,,,,,,,,,14,,,,36,112
258734,note_on,60,0,15,,,,,,,,,14,,,,36,0
258735,note_on,60,0,10,,,,,,,,,15,,,,48,0
258735,note_on,0,0,10,,,,,,,,,15,,,,48,87
258745,control_change,23,0,7,,,,,,,,,6,11,93,,,
258745,control_change,24,0,1,,,,,,,,,0,11,83,,,
258748,control_change,24,0,2,,,,,,,,,1,11,83,,,
258749,control_change,24,0,3,,,,,,,,,2,11,83,,,
258750,control_change,23,0,8,,,,,,,,,7,11,93,,,
258752,control_change,24,0,13,,,,,,,,,12,11,93,,,
258753,control_change,24,0,4,,,,,,,,,3,11,93,,,
258756,control_change,23,0,9,,,,,,,,,8,11,93,,,
258756,control_change,24,0,14,,,,,,,,,13,11,93,,,
258769,control_change,24,0,7,,,,,,,,,6,11,94,,,
258769,control_change,24,0,1,,,,,,,,,0,11,83,,,
258772,control_change,24,0,2,,,,,,,,,1,11,83,,,
258773,control_change,24,0,3,,,,,,,,,2,11,83,,,
258774,control_change,24,0,8,,,,,,,,,7,11,94,,,
258776,control_change,24,0,13,,,,,,,,,12,11,94,,,
258777,control_change,24,0,4,,,,,,,,,3,11,94,,,
258780,control_change,24,0,9,,,,,,,,,8,11,94,,,
258780,control_change,24,0,14,,,,,,,,,13,11,94,,,
258788,note_on,12,0,13,,,,,,,,,12,,,,64,0
258792,note_on,12,0,14,,,,,,,,,13,,,,60,0
258793,control_change,24,0,7,,,,,,,,,6,11,95,,,
258793,control_change,24,0,1,,,,,,,,,0,11,84,,,
258796,control_change,24,0,2,,,,,,,,,1,11,84,,,
258797,control_change,24,0,3,,,,,,,,,2,11,84,,,
258798,control_change,24,0,8,,,,,,,,,7,11,95,,,
258800,control_change,12,0,13,,,,,,,,,12,11,95,,,
258801,control_change,24,0,4,,,,,,,,,3,11,95,,,
258804,control_change,12,0,14,,,,,,,,,13,11,95,,,
258804,control_change,24,0,9,,,,,,,,,8,11,95,,,
258817,control_change,24,0,1,,,,,,,,,0,11,85,,,
