tick,type,time,meta,track,tempo,note,velocity,channel
1440,note_off,30,0,2,,81,64,0
1440,note_on,0,0,2,,89,64,0
1440,note_off,0,0,1,,60,64,0
1440,note_on,0,0,1,,57,64,0
1440,note_off,120,0,1,,57,64,0
1470,note_off,30,0,2,,89,64,0
1470,note_on,0,0,2,,74,64,0
1500,note_off,30,0,2,,74,64,0
1500,note_on,0,0,2,,87,64,0
1530,note_off,30,0,2,,87,64,0
1530,note_on,0,0,2,,77,64,0
1560,note_off,120,0,1,,57,64,0
1560,note_on,0,0,1,,56,64,0
1560,note_on,0,0,2,,88,64,0
1560,note_off,30,0,2,,77,64,0
1590,note_on,0,0,2,,76,64,0
1590,note_off,30,0,2,,88,64,0
1620,note_on,0,0,2,,76,64,0
1620,note_off,30,0,2,,76,64,0
1650,note_on,0,0,2,,74,64,0
1650,note_off,30,0,2,,76,64,0
1680,note_off,30,0,2,,74,64,0
1680,note_on,0,0,2,,74,64,0
1680,note_on,0,0,1,,57,64,0
1680,note_on,0,0,1,,52,64,0
1680,note_on,0,0,1,,45,64,0
1680,note_off,0,0,1,,56,64,0
1680,note_off,0,0,1,,59,64,0
1680,note_off,120,0,1,,52,64,0
1710,note_on,0,0,2,,76,64,0
1710,note_off,30,0,2,,74,64,0
1740,note_on,0,0,2,,72,64,0
1740,note_off,30,0,2,,76,64,0
1770,note_off,30,0,2,,72,64,0
1770,note_on,0,0,2,,76,64,0
1800,note_off,0,0,1,,52,64,0
1800,note_off,0,0,1,,57,64,0
1800,note_off,30,0,2,,76,64,0
1800,note_off,120,0,1,,45,64,0
1800,note_on,0,0,2,,71,64,0
1830,note_off,30,0,2,,71,64,0
1830,note_on,0,0,2,,76,64,0
1860,note_on,0,0,2,,69,64,0
1860,note_off,30,0,2,,76,64,0
1890,note_on,0,0,2,,76,64,0
1890,note_off,30,0,2,,69,64,0
1920,note_on,120,0,1,,57,64,0
1920,note_on,0,0,1,,60,64,0
1920,note_off,30,0,2,,76,64,0
1920,note_on,0,0,2,,69,64,0
1950,note_off,30,0,2,,69,64,0
1950,note_on,0,0,2,,76,64,0
1980,note_off,30,0,2,,76,64,0
1980,note_on,0,0,2,,72,64,0
2010,note_on,0,0,2,,69,64,0
2010,note_off,30,0,2,,72,64,0
2040,note_on,0,0,1,,59,64,0
2040,note_off,30,0,2,,69,64,0
2040,note_on,0,0,2,,68,64,0
2040,note_off,120,0,1,,57,64,0
2040,note_on,0,0,1,,62,64,0
2040,note_off,0,0,1,,60,64,0
2070,note_off,30,0,2,,68,64,0
2070,note_on,0,0,2,,77,64,0
2070,note_off,30,0,1,,59,64,0
2070,note_off,0,0,1,,62,64,0
2100,note_on,0,0,1,,60,64,0
2100,note_on,30,0,1,,57,64,0
2100,note_on,0,0,2,,69,64,0
2100,note_off,30,0,2,,77,64,0
2130,note_on,0,0,2,,76,64,0
2130,note_off,0,0,1,,60,64,0
2130,note_off,30,0,1,,57,64,0
2130,note_off,30,0,2,,69,64,0
2160,note_off,30,0,2,,76,64,0
2160,note_on,30,0,1,,56,64,0
2160,note_on,0,0,1,,59,64,0
2160,note_on,0,0,2,,64,64,0
2175,note_off,15,0,2,,64,64,0
2190,note_on,15,0,2,,83,64,0
2220,note_off,30,0,2,,83,64,0
2220,note_on,0,0,2,,77,64,0
2250,note_off,30,0,2,,77,64,0
2250,note_on,0,0,2,,76,64,0
2280,note_on,0,0,1,,54,64,0
2280,note_on,0,0,2,,75,64,0
2280,note_off,30,0,2,,76,64,0
2280,note_off,120,0,1,,56,64,0
2280,note_on,0,0,1,,57,64,0
2280,note_off,0,0,1,,59,64,0
2310,note_off,30,0,1,,54,64,0
2310,note_off,0,0,1,,57,64,0
2310,note_off,30,0,2,,75,64,0
2310,note_on,0,0,2,,84,64,0
2340,note_on,30,0,1,,56,64,0
2340,note_on,0,0,1,,59,64,0
2340,note_off,30,0,2,,84,64,0
2340,note_on,0,0,2,,76,64,0
2370,note_off,30,0,2,,76,64,0
2370,note_off,30,0,1,,56,64,0
2370,note_off,0,0,1,,59,64,0
2370,note_on,0,0,2,,83,64,0
2400,note_on,30,0,1,,57,64,0
2400,note_on,0,0,1,,60,64,0
2400,note_on,0,0,2,,69,64,0
2400,note_off,30,0,2,,83,64,0
